,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,68,sqrt,18,35,None,None,None,None,0.9327272727272727,ok,1.1492756800726056
1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,45,log2,4,7,None,None,None,None,0.9672727272727273,ok,2.401707640150562
2,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,61,log2,10,9,None,None,None,None,0.9527272727272728,ok,4.418571884045377
3,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,nnClassifier,tanh,None,9.0,None,None,constant,None,None,None,None,3.0,None,sgd,None,0.08,ok,30.175080735003576
4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,nnClassifier,relu,None,23.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,0.016363636363636365,ok,42.00985095510259
5,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,18,log2,11,11,None,None,None,None,0.9418181818181818,ok,43.95046487101354
6,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,21,log2,7,6,None,None,None,None,0.9581818181818181,ok,45.13320559007116
7,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,nnClassifier,tanh,None,17.0,None,None,invscaling,None,None,None,None,4.0,None,sgd,None,0.0,ok,60.42744488501921
8,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,kneighborsClassifier,None,brute,None,None,15.0,None,None,None,None,None,None,5.0,None,distance,0.9709090909090909,ok,60.51230170298368
9,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,kneighborsClassifier,None,auto,None,None,8.0,None,None,None,None,None,None,9.0,None,distance,0.9781818181818182,ok,60.596010401146486
10,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,76,auto,14,31,None,None,None,None,0.9127272727272727,ok,61.70175389503129
11,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,34.0,None,None,None,None,None,None,8.0,None,uniform,0.9745454545454545,ok,61.874995411140844
