,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,nnClassifier,identity,None,15,None,None,invscaling,None,None,None,None,2,None,lbfgs,None,0.03272727272727273,ok,1.5036628020461649
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,23.0,None,None,None,None,None,None,6.0,None,uniform,0.9836363636363636,ok,1.5739906791131943
2,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,nnClassifier,tanh,None,25,None,None,invscaling,None,None,None,None,4,None,sgd,None,0.0,ok,13.274663679068908
3,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,54.0,auto,8.0,38.0,None,None,None,None,0.9509090909090909,ok,14.440242995042354
4,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,kneighborsClassifier,None,auto,None,None,12.0,None,None,None,None,None,None,6.0,None,distance,0.990909090909091,ok,14.58744629798457
5,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,kneighborsClassifier,None,brute,None,None,11.0,None,None,None,None,None,None,6.0,None,distance,0.9927272727272727,ok,14.66427028621547
6,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,9.0,None,None,None,None,None,None,2.0,None,uniform,0.9636363636363636,ok,14.726069851079956
7,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,22.0,None,None,None,None,None,None,3.0,None,uniform,0.9872727272727273,ok,14.803347515175119
8,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,10.0,log2,17.0,11.0,None,None,None,None,0.9545454545454546,ok,16.640810718061402
9,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,20.0,None,None,None,None,None,None,7.0,None,uniform,0.9854545454545455,ok,16.73152027418837
