,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
81,1,1,1,1,1,0,1,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,21.0,None,None,None,None,None,None,1.0,None,distance,0.8594377510040161,ok,228.03934855712578
82,1,0,1,1,1,0,0,1,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,29.0,None,None,None,None,None,None,1.0,None,distance,0.9969879518072289,ok,228.10340848006308
83,0,0,1,1,1,0,1,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,87.0,auto,17.0,35.0,None,None,None,None,0.9678714859437751,ok,229.51323141204193
84,1,0,0,0,1,0,0,1,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,35.0,None,None,None,None,None,None,4.0,None,distance,0.9879518072289156,ok,229.5766229671426
85,1,1,1,1,1,0,1,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,24.0,None,None,None,None,None,None,3.0,None,distance,0.8815261044176707,ok,229.6422834021505
86,1,0,1,1,1,0,0,1,0,0,1,1,1,0,nnClassifier,relu,None,17,None,None,constant,None,None,None,None,5,None,sgd,None,0.7098393574297188,ok,254.4326574630104
87,0,0,1,1,1,0,1,1,0,0,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,21.0,None,None,None,None,None,None,6.0,None,uniform,0.9789156626506024,ok,254.54619085299782
88,1,0,1,1,1,0,0,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,17.0,None,None,None,None,None,None,5.0,None,distance,0.9959839357429718,ok,254.74720864696428
89,1,0,0,0,1,0,1,1,0,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,36.0,sqrt,13.0,16.0,None,None,None,None,0.9588353413654619,ok,256.14694463601336
90,1,1,1,1,1,0,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,12.0,None,None,None,None,None,None,1.0,None,distance,0.856425702811245,ok,256.2899559510406
91,1,0,1,1,1,0,1,1,0,0,1,1,1,0,nnClassifier,tanh,None,28,None,None,adaptive,None,None,None,None,1,None,adam,None,0.7078313253012049,ok,276.40494332206436
92,0,0,1,1,1,0,0,1,0,0,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,27.0,None,None,None,None,None,None,7.0,None,distance,0.9789156626506024,ok,276.4915560320951
93,1,0,0,0,1,1,1,1,1,0,1,1,0,0,kneighborsClassifier,None,brute,None,None,8.0,None,None,None,None,None,None,5.0,None,distance,0.9839357429718876,ok,276.69253455707803
94,1,1,1,1,1,0,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,25.0,None,None,None,None,None,None,2.0,None,distance,0.856425702811245,ok,276.75861872406676
95,1,0,1,1,1,0,1,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,14.0,log2,20.0,7.0,None,None,None,None,0.9789156626506024,ok,278.2498353270348
96,0,0,1,1,1,0,1,1,0,0,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,18.0,None,None,None,None,None,None,9.0,None,uniform,0.9779116465863453,ok,278.36641962407157
97,1,0,1,1,1,1,0,1,1,0,1,1,0,1,nnClassifier,identity,None,21,None,None,invscaling,None,None,None,None,9,None,lbfgs,None,0.7218875502008032,ok,278.6509255419951
98,1,0,0,0,1,0,1,1,0,0,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,37.0,None,None,None,None,None,None,3.0,None,distance,0.9839357429718876,ok,278.71762862917967
99,1,1,1,1,0,0,0,0,0,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,6.0,None,None,None,None,None,None,1.0,None,distance,0.8534136546184738,ok,278.7831722861156
