,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,34,auto,19,9,None,None,None,None,0.9628514056224899,ok,1.3044932659249753
1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,51,auto,3,32,None,None,None,None,0.9759036144578314,ok,3.365233652992174
2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,77,auto,12,26,None,None,None,None,0.9156626506024096,ok,4.685908781830221
3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,nnClassifier,tanh,None,26.0,None,None,adaptive,None,None,None,None,7.0,None,sgd,None,0.7690763052208835,ok,23.760777208954096
4,1,0,1,0,0,1,0,0,0,1,1,0,0,0,kneighborsClassifier,None,brute,None,None,39.0,None,None,None,None,None,None,5.0,None,uniform,0.9307228915662651,ok,23.94784332998097
5,1,0,1,1,0,1,0,1,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,32,log2,14,26,None,None,None,None,0.9698795180722891,ok,25.439735463820398
6,1,1,1,0,0,1,1,1,0,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,65,log2,12,22,None,None,None,None,0.9508032128514057,ok,27.260682412888855
7,1,0,0,1,1,0,1,0,0,0,1,1,1,0,nnClassifier,identity,None,25.0,None,None,invscaling,None,None,None,None,9.0,None,sgd,None,0.7660642570281124,ok,38.369522660039365
8,1,0,1,0,0,0,0,0,1,0,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,13.0,None,None,None,None,None,None,10.0,None,uniform,0.9327309236947792,ok,38.43624683492817
9,0,0,0,0,1,1,1,0,0,1,0,1,0,0,kneighborsClassifier,None,kd_tree,None,None,26.0,None,None,None,None,None,None,2.0,None,uniform,0.9146586345381527,ok,38.50069481995888
10,0,1,1,0,0,1,1,1,1,0,0,0,0,1,nnClassifier,logistic,None,30.0,None,None,adaptive,None,None,None,None,10.0,None,adam,None,0.7540160642570282,ok,57.64883127482608
11,1,0,1,1,1,1,0,1,0,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,13,auto,15,9,None,None,None,None,0.9728915662650602,ok,59.42683395603672
12,0,0,0,0,1,0,1,0,0,0,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,3.0,None,None,None,None,None,None,2.0,None,uniform,0.893574297188755,ok,59.4981461558491
