,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,46,sqrt,13,20,None,None,None,None,0.9769076305220884,ok,1.5370786602143198
1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,41,log2,17,32,None,None,None,None,0.9578313253012049,ok,2.685254035051912
2,1,0,1,0,1,1,0,0,0,0,1,1,1,1,nnClassifier,identity,None,21.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,0.7419678714859438,ok,3.0014577622059733
3,1,1,1,0,1,1,0,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,49,log2,9,11,None,None,None,None,0.9738955823293173,ok,4.384811343159527
4,1,1,0,1,1,0,1,0,1,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,97,sqrt,4,26,None,None,None,None,0.9628514056224899,ok,5.5378364361822605
5,1,0,1,0,0,0,1,0,1,1,0,1,0,0,nnClassifier,logistic,None,25.0,None,None,constant,None,None,None,None,7.0,None,adam,None,0.7419678714859438,ok,27.67484651808627
6,1,1,1,0,0,0,1,0,1,0,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,21.0,None,None,None,None,None,None,2.0,None,distance,0.8393574297188755,ok,27.716366620035842
7,1,1,1,0,0,1,0,1,0,0,0,0,0,0,nnClassifier,tanh,None,24.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,0.75,ok,43.06311045400798
8,1,0,0,0,0,0,0,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,5,auto,15,17,None,None,None,None,0.9036144578313253,ok,43.9317303141579
9,1,0,1,1,0,0,0,0,0,1,1,1,1,1,nnClassifier,logistic,None,24.0,None,None,invscaling,None,None,None,None,7.0,None,sgd,None,0.8483935742971888,ok,45.71741080400534
10,1,1,1,0,1,1,0,1,1,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,55,sqrt,17,27,None,None,None,None,0.9728915662650602,ok,47.00793144409545
11,0,1,0,0,1,1,0,1,0,0,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,37.0,None,None,None,None,None,None,3.0,None,distance,0.9417670682730924,ok,47.05166610120796
12,1,0,0,1,0,1,1,1,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,40.0,None,None,None,None,None,None,6.0,None,uniform,0.964859437751004,ok,47.12055499316193
13,1,1,1,0,0,0,1,0,1,0,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,8.0,None,None,None,None,None,None,5.0,None,uniform,0.8975903614457831,ok,47.18258122517727
14,1,1,0,1,1,1,1,0,0,0,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,7,sqrt,15,16,None,None,None,None,0.9518072289156626,ok,48.560110294027254
15,0,0,0,0,1,1,1,0,1,0,0,1,1,1,kneighborsClassifier,None,auto,None,None,11.0,None,None,None,None,None,None,2.0,None,uniform,0.9558232931726908,ok,48.632801982108504
16,0,1,1,1,1,0,0,1,0,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,84,log2,7,12,None,None,None,None,0.9799196787148594,ok,50.045555137097836
17,0,1,1,0,0,1,1,1,1,0,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,26.0,None,None,None,None,None,None,6.0,None,uniform,0.9578313253012049,ok,50.115909732179716
18,1,0,1,0,0,0,0,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,34,auto,5,13,None,None,None,None,0.9487951807228916,ok,51.87998624611646
