activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,20,mse,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,12,adaptive,24,sqrt,6,29,kneighborsRegressor,6,7,sgd,distance,-0.09029595362887766
identity,ball_tree,31,poisson,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,30,constant,51,auto,6,30,nnRegressor,7,4,adam,distance,-0.13444743351850064
identity,ball_tree,21,poisson,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,16,constant,26,log2,16,30,kneighborsRegressor,8,7,adam,uniform,-0.03746667694288086
logistic,kd_tree,16,mae,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,11,invscaling,27,auto,19,38,kneighborsRegressor,9,5,lbfgs,distance,-0.21118859775192522
tanh,ball_tree,19,mse,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,38,constant,76,auto,3,22,randomForestRegressor,9,1,sgd,uniform,0.15207656797730074
logistic,ball_tree,12,mae,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,28,invscaling,45,auto,14,31,randomForestRegressor,3,4,adam,distance,0.21941413698170775
tanh,brute,16,mse,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,29,adaptive,55,auto,13,30,kneighborsRegressor,4,6,sgd,distance,0.3351019185471812
relu,auto,11,mae,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,10,invscaling,58,log2,18,27,randomForestRegressor,4,10,sgd,distance,0.04957220476151192
logistic,kd_tree,31,mse,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,31,adaptive,88,log2,4,17,nnRegressor,9,3,adam,uniform,0.015500452253389807
identity,ball_tree,13,poisson,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,16,constant,48,auto,15,14,kneighborsRegressor,5,4,lbfgs,distance,0.20440345501152835
tanh,kd_tree,21,poisson,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,21,adaptive,94,sqrt,12,13,kneighborsRegressor,9,2,adam,uniform,-0.7073381686107736
tanh,brute,15,poisson,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,36,constant,99,auto,6,32,nnRegressor,8,2,lbfgs,uniform,0.174954488330895
tanh,auto,26,poisson,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,40,invscaling,37,sqrt,6,38,nnRegressor,7,6,sgd,uniform,-0.07866243840333542
