activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,12,poisson,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,2,constant,100,sqrt,5,27,kneighborsRegressor,2,1,lbfgs,distance,-0.23373172097051031
identity,brute,24,poisson,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,12,invscaling,52,sqrt,15,5,kneighborsRegressor,9,4,sgd,uniform,-0.271942361352002
tanh,ball_tree,26,mae,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,37,constant,87,auto,6,15,kneighborsRegressor,7,2,adam,distance,0.15996692150822778
relu,brute,30,mae,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,22,constant,8,log2,2,12,kneighborsRegressor,10,7,sgd,uniform,0.11207152247547336
logistic,ball_tree,28,mae,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,31,invscaling,65,sqrt,15,12,randomForestRegressor,4,10,sgd,distance,0.35114970772650655
relu,kd_tree,13,mae,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,23,constant,83,log2,16,24,nnRegressor,9,2,adam,distance,0.5314072207612491
logistic,auto,20,mae,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,23,invscaling,51,log2,6,35,kneighborsRegressor,10,9,adam,uniform,-0.010225201670886808
relu,ball_tree,27,mse,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,28,invscaling,14,log2,19,38,nnRegressor,6,3,sgd,distance,-1.523046986805856
tanh,kd_tree,30,poisson,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,26,adaptive,18,auto,4,19,kneighborsRegressor,8,5,lbfgs,uniform,0.16831129570575198
relu,ball_tree,17,mse,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,13,constant,61,sqrt,5,33,randomForestRegressor,3,2,sgd,uniform,0.24425393703840093
relu,brute,14,poisson,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,23,invscaling,40,auto,13,9,randomForestRegressor,1,1,lbfgs,distance,0.05653096797753443
relu,ball_tree,19,mse,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,12,adaptive,32,log2,19,31,nnRegressor,4,3,adam,distance,0.2921475055791356
identity,brute,9,poisson,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,6,invscaling,18,log2,7,31,nnRegressor,3,3,sgd,uniform,0.1121859211153945
logistic,kd_tree,13,poisson,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,22,adaptive,45,auto,13,36,randomForestRegressor,2,2,lbfgs,uniform,0.0967986764107176
relu,kd_tree,19,poisson,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,25,invscaling,90,log2,11,31,kneighborsRegressor,4,2,adam,distance,-0.4751677385370796
tanh,kd_tree,30,poisson,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,14,adaptive,1,log2,9,13,randomForestRegressor,2,1,adam,distance,0.15255875759818283
tanh,kd_tree,19,mse,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,27,constant,45,log2,20,7,kneighborsRegressor,2,1,lbfgs,distance,-0.8605182333517372
