activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,32,poisson,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,16,invscaling,97,sqrt,5,11,randomForestRegressor,10,4,sgd,distance,0.21482016155401285
relu,brute,21,poisson,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,14,constant,35,sqrt,16,27,randomForestRegressor,8,7,lbfgs,uniform,0.02522758141118009
relu,brute,23,poisson,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,12,constant,17,log2,14,30,randomForestRegressor,7,10,lbfgs,uniform,0.041318736699816117
logistic,ball_tree,25,mae,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,2,constant,64,sqrt,3,17,kneighborsRegressor,3,7,lbfgs,distance,0.46562816534558205
identity,ball_tree,22,poisson,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,17,invscaling,12,auto,14,11,kneighborsRegressor,10,3,sgd,uniform,-0.19272673855488787
identity,kd_tree,15,mse,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,18,constant,69,auto,11,28,nnRegressor,4,5,adam,distance,0.06822203850236108
identity,brute,14,poisson,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,25,invscaling,91,sqrt,18,27,randomForestRegressor,5,1,adam,distance,0.05097922687583789
tanh,kd_tree,25,poisson,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,37,invscaling,8,sqrt,18,13,randomForestRegressor,4,4,adam,uniform,0.01755875466690393
relu,brute,13,poisson,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,33,adaptive,21,sqrt,14,10,nnRegressor,6,4,lbfgs,distance,0.10825082593132784
relu,brute,18,mae,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,32,invscaling,43,sqrt,11,7,randomForestRegressor,4,6,adam,distance,0.08784814555877718
identity,brute,16,mae,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,10,constant,80,sqrt,6,21,randomForestRegressor,3,1,sgd,uniform,0.3389213689916465
logistic,auto,27,mse,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,22,invscaling,41,log2,14,40,randomForestRegressor,2,7,adam,distance,0.005567540525348469
logistic,brute,25,mae,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,10,constant,20,sqrt,8,40,nnRegressor,5,5,lbfgs,distance,0.2641238218137226
tanh,kd_tree,23,mse,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,25,constant,74,log2,17,14,randomForestRegressor,4,3,sgd,distance,0.25322715419828545
relu,ball_tree,21,mse,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,9,adaptive,80,log2,20,38,nnRegressor,1,6,sgd,distance,0.4318921176914021
relu,auto,11,poisson,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,15,invscaling,1,log2,18,36,nnRegressor,6,7,lbfgs,distance,-0.009562699515751616
logistic,brute,15,mae,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,21,constant,51,log2,15,32,kneighborsRegressor,4,5,adam,uniform,-0.0038981206983117467
relu,kd_tree,29,mae,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,17,invscaling,12,auto,12,35,nnRegressor,6,4,adam,uniform,0.23704662043232316
tanh,kd_tree,16,mse,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,33,adaptive,33,log2,5,6,kneighborsRegressor,4,6,adam,distance,-0.01650507289959391
tanh,ball_tree,19,mae,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,31,constant,88,auto,11,12,kneighborsRegressor,3,3,lbfgs,distance,0.05138283851763403
logistic,brute,32,poisson,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,40,adaptive,18,sqrt,19,21,randomForestRegressor,3,5,adam,distance,0.061305457230250715
