activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,29,mae,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,17,constant,76,auto,16,32,nnRegressor,7,1,adam,distance,0.25226108447694373
identity,kd_tree,23,poisson,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,39,adaptive,28,sqrt,10,15,randomForestRegressor,5,4,lbfgs,uniform,0.03576231446621825
identity,auto,20,mae,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,17,constant,30,sqrt,16,37,nnRegressor,10,5,lbfgs,uniform,0.4036296100636264
relu,brute,30,mse,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,17,constant,83,sqrt,5,18,randomForestRegressor,7,9,adam,distance,0.13051084268006452
tanh,brute,21,poisson,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,30,adaptive,82,log2,19,30,kneighborsRegressor,9,7,adam,distance,0.17310154426672864
relu,kd_tree,21,poisson,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,24,constant,80,log2,4,10,nnRegressor,10,9,sgd,uniform,0.22104389512625688
relu,auto,13,poisson,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,28,invscaling,18,log2,13,3,nnRegressor,10,8,lbfgs,distance,-0.253242215299176
logistic,auto,22,poisson,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,17,adaptive,36,sqrt,20,12,nnRegressor,8,9,lbfgs,distance,0.13985360565383753
relu,kd_tree,14,mse,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,40,invscaling,57,auto,17,26,kneighborsRegressor,2,2,sgd,distance,-0.16000009572662077
relu,brute,13,poisson,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,18,constant,43,sqrt,12,40,kneighborsRegressor,9,10,lbfgs,distance,-0.09872922974756837
tanh,kd_tree,12,mse,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,30,constant,92,auto,20,6,kneighborsRegressor,9,7,adam,uniform,-0.04301289270962183
tanh,kd_tree,14,mae,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,27,constant,16,auto,11,32,kneighborsRegressor,7,4,adam,uniform,0.3946976145732519
relu,ball_tree,28,mae,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,40,adaptive,41,sqrt,19,21,nnRegressor,10,4,sgd,uniform,0.3948598148832647
relu,ball_tree,30,mae,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,3,adaptive,46,log2,17,18,randomForestRegressor,9,10,adam,uniform,0.017204393417302843
logistic,kd_tree,11,mae,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,40,adaptive,43,auto,8,29,nnRegressor,5,5,lbfgs,distance,0.028380460595212376
logistic,kd_tree,18,mse,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,39,constant,24,sqrt,14,27,nnRegressor,9,10,sgd,uniform,0.079752449541306
identity,auto,27,mse,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,2,constant,87,auto,12,14,kneighborsRegressor,5,6,lbfgs,uniform,-0.058011563971002156
relu,kd_tree,19,mae,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,24,invscaling,27,log2,8,4,nnRegressor,9,4,sgd,distance,-0.5453054691969619
