,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
66,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,1,auto,10,10,None,None,None,None,0.9703849950641659,ok,142.1112424309831
67,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,6,auto,11,5,None,None,None,None,0.9713721618953604,ok,143.1193556028884
68,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,81,sqrt,14,8,None,None,None,None,0.9703849950641659,ok,144.36860506609082
69,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,8,auto,9,4,None,None,None,None,0.9693978282329714,ok,145.5173388600815
70,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,65,sqrt,13,6,None,None,None,None,0.9703849950641659,ok,146.76679466897622
71,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,98,sqrt,17,13,None,None,None,None,0.9703849950641659,ok,147.99714762996882
72,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,64,sqrt,19,2,None,None,None,None,0.9703849950641659,ok,149.21556417108513
73,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,25,auto,7,10,None,None,None,None,0.9684106614017769,ok,150.51270363293588
74,0,1,1,randomForestClassifier,None,None,None,gini,None,None,15,auto,10,21,None,None,None,None,0.9674234945705824,ok,151.56838487903588
75,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,73,sqrt,15,8,None,None,None,None,0.9713721618953604,ok,152.81431500404142
76,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,86,sqrt,18,17,None,None,None,None,0.9703849950641659,ok,154.04251702409238
77,0,1,1,nnClassifier,logistic,None,28,None,None,constant,None,None,None,None,6,None,lbfgs,None,0.9427443237907206,ok,159.1601123069413
78,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,2,auto,13,11,None,None,None,None,0.9684106614017769,ok,159.73637079889886
79,1,1,0,kneighborsClassifier,None,ball_tree,None,None,16,None,None,None,None,None,None,1,None,distance,0.9378084896347483,ok,159.77327231992967
80,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,82,sqrt,16,19,None,None,None,None,0.9703849950641659,ok,161.016257887939
81,0,0,1,randomForestClassifier,None,None,None,gini,None,None,92,sqrt,17,4,None,None,None,None,0.9703849950641659,ok,162.04597486299463
82,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,19,auto,12,14,None,None,None,None,0.9703849950641659,ok,163.29781736806035
83,0,1,0,nnClassifier,relu,None,20,None,None,constant,None,None,None,None,2,None,sgd,None,0.9605133267522211,ok,167.97052416810766
84,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,13,auto,11,6,None,None,None,None,0.9693978282329714,ok,169.240215604892
85,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,70,sqrt,20,7,None,None,None,None,0.9693978282329714,ok,170.39265108807012
86,0,0,1,kneighborsClassifier,None,kd_tree,None,None,31,None,None,None,None,None,None,5,None,uniform,0.9654491609081934,ok,170.45478001609445
87,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,5,log2,2,30,None,None,None,None,0.9703849950641659,ok,171.38410434289835
88,0,1,1,nnClassifier,logistic,None,21,None,None,invscaling,None,None,None,None,10,None,lbfgs,None,0.9437314906219151,ok,173.11754255997948
89,1,0,0,randomForestClassifier,None,None,None,gini,None,None,49,sqrt,16,3,None,None,None,None,0.9684106614017769,ok,173.95065515697934
90,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,40,sqrt,15,22,None,None,None,None,0.9713721618953604,ok,175.19583187391981
91,0,1,1,kneighborsClassifier,None,brute,None,None,6,None,None,None,None,None,None,7,None,distance,0.9674234945705824,ok,175.3671254538931
92,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,39,sqrt,14,27,None,None,None,None,0.9703849950641659,ok,176.61688624694943
93,1,0,0,nnClassifier,tanh,None,8,None,None,adaptive,None,None,None,None,5,None,adam,None,0.9605133267522211,ok,182.86354937311262
94,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,60,log2,18,16,None,None,None,None,0.9703849950641659,ok,184.10338766896166
95,0,1,1,kneighborsClassifier,None,auto,None,None,39,None,None,None,None,None,None,9,None,uniform,0.9684106614017769,ok,184.1649996850174
96,0,1,1,randomForestClassifier,None,None,None,gini,None,None,33,sqrt,16,32,None,None,None,None,0.9703849950641659,ok,185.11867678398266
97,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,52,sqrt,12,22,None,None,None,None,0.9703849950641659,ok,186.37617345596664
98,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,42,sqrt,13,26,None,None,None,None,0.9684106614017769,ok,187.34841016307473
99,1,0,1,nnClassifier,identity,None,32,None,None,constant,None,None,None,None,6,None,lbfgs,None,0.9466929911154985,ok,187.68429328501225
