,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
85,1,1,1,1,1,1,0,0,1,0,0,1,1,0,kneighborsRegressor,None,auto,None,None,8.0,None,None,None,None,None,None,1.0,None,distance,0.5412927057657604,ok,731.1055675412063
86,1,0,0,1,0,0,1,1,1,1,0,0,0,1,nnRegressor,logistic,None,25,None,None,adaptive,None,None,None,None,4,None,adam,None,0.7100042819027588,ok,743.7971256880555
87,1,1,1,0,1,1,0,0,0,1,0,1,1,1,nnRegressor,tanh,None,27,None,None,constant,None,None,None,None,6,None,lbfgs,None,0.7955432990038088,ok,747.9030566171277
88,0,1,1,1,1,1,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,20,None,None,constant,None,None,None,None,7,None,adam,None,0.7795200757643103,ok,763.7976213311777
89,1,1,1,1,1,1,0,0,1,0,0,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,21.0,auto,7.0,3.0,None,None,None,None,0.36883181956335676,ok,768.8283289270476
90,1,0,0,0,0,0,1,1,1,1,0,1,0,0,kneighborsRegressor,None,brute,None,None,18.0,None,None,None,None,None,None,5.0,None,distance,0.6487273310534764,ok,768.9330799120944
91,1,1,1,1,1,1,0,0,0,1,0,0,1,1,nnRegressor,relu,None,16,None,None,adaptive,None,None,None,None,2,None,adam,None,0.7983086002801661,ok,786.884538437007
92,1,1,1,1,1,1,0,0,1,1,1,1,1,1,nnRegressor,identity,None,22,None,None,constant,None,None,None,None,3,None,adam,None,0.7587878793371045,ok,788.6751680921298
93,0,1,1,0,1,1,1,0,1,1,0,1,1,1,nnRegressor,logistic,None,18,None,None,constant,None,None,None,None,4,None,sgd,None,0.774502907603966,ok,802.592478784034
94,1,1,1,1,1,1,0,0,1,0,0,1,1,0,randomForestRegressor,None,None,None,mae,None,None,66.0,sqrt,17.0,26.0,None,None,None,None,0.7588448924378626,ok,815.0367293830495
95,1,0,0,1,0,0,1,1,1,1,0,0,0,1,nnRegressor,tanh,None,29,None,None,constant,None,None,None,None,6,None,lbfgs,None,0.7249757404125754,ok,819.088798178127
96,1,1,1,0,1,1,0,0,0,1,0,1,1,1,kneighborsRegressor,None,auto,None,None,38.0,None,None,None,None,None,None,9.0,None,uniform,0.7564752105136363,ok,819.1538264080882
97,1,1,1,1,1,1,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,19,None,None,adaptive,None,None,None,None,5,None,adam,None,0.8144190604671164,ok,835.4915382140316
98,0,1,1,1,1,1,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,15,None,None,adaptive,None,None,None,None,8,None,adam,None,0.7781389924406058,ok,855.9686393041629
99,1,1,1,0,1,1,1,0,1,0,1,1,1,1,nnRegressor,relu,None,8,None,None,adaptive,None,None,None,None,5,None,adam,None,0.7919894147376655,ok,890.6217336310074
