,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,kneighborsRegressor,None,auto,None,None,16,None,None,None,None,None,None,3,None,uniform,0.6248918983860747,ok,0.16065894812345505
1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,kneighborsRegressor,None,kd_tree,None,None,9,None,None,None,None,None,None,2,None,distance,0.471319775871365,ok,0.1963761120568961
2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,kneighborsRegressor,None,kd_tree,None,None,28,None,None,None,None,None,None,4,None,distance,0.7332480359092184,ok,0.24217781913466752
3,1,0,0,0,1,1,1,1,1,0,0,1,0,1,nnRegressor,tanh,None,30.0,None,None,invscaling,None,None,None,None,2.0,None,sgd,None,0.5959325256064768,ok,10.237643884960562
4,1,1,0,0,1,0,0,0,0,1,0,1,1,1,nnRegressor,tanh,None,9.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,0.7675677145353165,ok,36.83462266693823
5,0,0,1,1,1,0,0,0,1,0,0,1,0,0,randomForestRegressor,None,None,None,poisson,None,None,40.0,log2,6.0,39.0,None,None,None,None,0.4976809825706543,ok,39.285274296067655
6,1,1,0,0,1,1,0,0,0,0,1,1,1,1,kneighborsRegressor,None,kd_tree,None,None,24,None,None,None,None,None,None,6,None,distance,0.761992235898984,ok,39.32580436114222
7,1,0,1,0,1,0,0,1,0,1,1,1,0,1,nnRegressor,logistic,None,24.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,0.7274373407428147,ok,42.40240077092312
8,1,0,1,0,1,0,0,0,1,0,1,1,0,1,kneighborsRegressor,None,brute,None,None,17,None,None,None,None,None,None,4,None,uniform,0.6302331272401454,ok,42.478969054995105
9,0,1,1,0,1,0,1,1,1,1,0,1,1,0,nnRegressor,tanh,None,17.0,None,None,invscaling,None,None,None,None,5.0,None,lbfgs,None,0.7567086673037751,ok,46.797305864980444
10,1,1,1,0,1,0,1,0,1,0,0,0,1,1,randomForestRegressor,None,None,None,mae,None,None,66.0,auto,14.0,35.0,None,None,None,None,0.7668556098644118,ok,74.82966429600492
11,0,0,1,1,0,1,1,0,1,0,0,0,1,1,nnRegressor,identity,None,31.0,None,None,constant,None,None,None,None,2.0,None,sgd,None,0.7063225971004878,ok,75.4687963500619
12,1,0,1,0,0,1,0,1,0,1,1,1,1,0,nnRegressor,logistic,None,31.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,0.08570348639251912,ok,84.75967681896873
13,1,1,1,1,0,1,0,0,1,0,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,31.0,auto,5.0,23.0,None,None,None,None,0.78493829285405,ok,86.80367415305227
14,1,0,1,0,1,0,1,1,1,1,0,0,0,0,nnRegressor,identity,None,14.0,None,None,adaptive,None,None,None,None,8.0,None,adam,None,0.5846328280931015,ok,88.44468953809701
15,0,1,1,1,0,0,1,0,0,0,1,1,1,0,kneighborsRegressor,None,ball_tree,None,None,2,None,None,None,None,None,None,4,None,uniform,0.6603311446488248,ok,88.48889630706981
16,0,0,0,0,0,0,1,1,0,0,1,1,0,0,randomForestRegressor,None,None,None,mae,None,None,33.0,sqrt,18.0,21.0,None,None,None,None,0.6542424947644344,ok,97.75218510814011
17,1,1,0,0,0,1,1,1,1,0,0,1,0,1,randomForestRegressor,None,None,None,mae,None,None,57.0,auto,8.0,15.0,None,None,None,None,0.7365401910229317,ok,128.03233918198384
18,1,1,0,0,1,1,0,1,0,0,0,0,1,1,randomForestRegressor,None,None,None,mae,None,None,8.0,sqrt,14.0,11.0,None,None,None,None,0.7426152280930678,ok,137.41677850997075
19,1,0,0,0,1,0,1,1,0,0,0,1,0,0,randomForestRegressor,None,None,None,mse,None,None,64.0,sqrt,20.0,13.0,None,None,None,None,0.6407143381445131,ok,138.04505910398439
20,1,1,0,1,0,1,0,0,0,1,0,1,1,1,nnRegressor,relu,None,8.0,None,None,constant,None,None,None,None,10.0,None,adam,None,0.7952370689043811,ok,174.0841151131317
21,1,1,0,1,0,1,0,0,0,1,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,91.0,auto,2.0,28.0,None,None,None,None,0.7761997622904078,ok,176.04722304595634
22,1,1,1,1,0,1,0,0,0,1,0,1,1,1,nnRegressor,relu,None,9.0,None,None,adaptive,None,None,None,None,10.0,None,adam,None,0.7818135441623444,ok,208.48125961003825
23,1,1,0,1,0,1,0,0,0,1,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,2.0,auto,2.0,6.0,None,None,None,None,0.6500620252176857,ok,209.09711219300516
24,1,1,0,1,0,1,0,0,0,1,0,0,1,1,randomForestRegressor,None,None,None,poisson,None,None,98.0,log2,6.0,2.0,None,None,None,None,0.6974481512675168,ok,212.478592247935
25,1,1,1,1,0,1,0,0,1,1,0,1,1,1,nnRegressor,relu,None,24.0,None,None,constant,None,None,None,None,10.0,None,adam,None,0.8050195026751958,ok,226.1615493891295
26,1,1,1,1,0,1,0,0,1,1,0,1,1,1,nnRegressor,relu,None,22.0,None,None,constant,None,None,None,None,10.0,None,adam,None,0.8027961102542904,ok,240.79797062510625
27,1,1,1,1,0,1,0,0,1,1,0,1,1,1,nnRegressor,relu,None,24.0,None,None,constant,None,None,None,None,10.0,None,adam,None,0.8050195026751958,ok,254.34418157907203
28,1,1,1,1,0,1,0,0,1,1,0,1,1,1,nnRegressor,relu,None,26.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.8070522521597184,ok,266.6728977889288
29,1,1,1,1,0,1,0,0,1,1,0,0,1,1,nnRegressor,relu,None,28.0,None,None,constant,None,None,None,None,4.0,None,adam,None,0.7974457644966201,ok,278.0723661489319
30,0,1,1,1,0,1,0,0,1,1,0,1,1,1,nnRegressor,relu,None,27.0,None,None,constant,None,None,None,None,4.0,None,adam,None,0.77887215366486,ok,289.9250197899528
31,1,1,1,1,0,1,0,0,1,1,0,1,1,1,nnRegressor,relu,None,18.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.7990563220338307,ok,306.84769473504275
32,0,1,1,1,0,1,0,0,1,1,0,0,1,1,kneighborsRegressor,None,auto,None,None,40,None,None,None,None,None,None,10,None,uniform,0.720744966752018,ok,306.90843355003744
33,1,1,1,1,0,1,0,0,1,1,0,1,1,1,nnRegressor,relu,None,26.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.8013293087040941,ok,309.58818908804096
34,1,1,1,1,0,1,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,21.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.8117694535532343,ok,324.6866917051375
35,1,1,1,1,0,1,0,0,1,1,1,1,1,1,nnRegressor,logistic,None,14.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.818619852014524,ok,345.75508361612447
36,0,1,1,1,0,1,0,0,1,1,1,1,1,0,kneighborsRegressor,None,brute,None,None,38,None,None,None,None,None,None,10,None,distance,0.7015843184369335,ok,345.84752243896946
