,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,randomForestRegressor,None,None,None,mae,None,None,92,log2,14,39,None,None,None,None,0.7204681947492368,ok,12.739317155908793
1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,randomForestRegressor,None,None,None,mae,None,None,65,log2,13,25,None,None,None,None,0.7603558569615789,ok,25.40855143801309
2,0,0,0,1,1,0,1,1,1,1,0,1,1,0,kneighborsRegressor,None,brute,None,None,5.0,None,None,None,None,None,None,8.0,None,distance,0.6977738628827259,ok,25.48778617591597
3,1,0,1,1,0,0,0,1,1,1,1,0,0,0,kneighborsRegressor,None,auto,None,None,34.0,None,None,None,None,None,None,9.0,None,distance,0.6453431714933151,ok,25.52184477285482
4,0,1,1,0,1,0,0,0,1,1,1,1,1,0,nnRegressor,identity,None,16.0,None,None,constant,None,None,None,None,3.0,None,adam,None,0.7227682811868359,ok,29.522957926848903
5,0,0,1,0,0,0,1,1,1,0,1,1,1,0,randomForestRegressor,None,None,None,mae,None,None,2,auto,11,29,None,None,None,None,0.6369170895041013,ok,43.304645790020004
6,1,0,1,0,0,1,1,0,0,1,0,1,0,1,nnRegressor,identity,None,22.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,0.7199155813356651,ok,46.04281046404503
7,1,0,0,0,1,1,1,1,0,0,1,1,0,0,kneighborsRegressor,None,auto,None,None,19.0,None,None,None,None,None,None,2.0,None,uniform,0.5771228182550208,ok,46.07533417386003
8,1,0,0,0,0,0,1,0,0,1,1,0,0,0,randomForestRegressor,None,None,None,mse,None,None,16,auto,14,32,None,None,None,None,0.6782191442828163,ok,47.00254717795178
9,1,0,0,1,1,0,1,0,1,1,1,0,0,1,kneighborsRegressor,None,auto,None,None,18.0,None,None,None,None,None,None,7.0,None,uniform,0.7091716083622731,ok,47.04315056093037
10,1,1,1,0,1,1,1,0,1,0,1,1,0,1,randomForestRegressor,None,None,None,mse,None,None,83,auto,18,27,None,None,None,None,0.7257638523174316,ok,48.92920520599
11,0,0,0,0,1,0,1,1,0,0,0,1,0,1,nnRegressor,tanh,None,25.0,None,None,invscaling,None,None,None,None,5.0,None,lbfgs,None,0.710004458744365,ok,52.87348733493127
12,1,0,0,0,0,0,0,1,0,0,0,1,0,1,randomForestRegressor,None,None,None,mae,None,None,13,sqrt,14,20,None,None,None,None,0.6959917667484099,ok,62.156662416877225
13,0,1,1,1,0,0,0,0,0,1,0,1,0,0,kneighborsRegressor,None,kd_tree,None,None,28.0,None,None,None,None,None,None,2.0,None,uniform,0.5444466937744133,ok,62.18340800702572
14,1,0,0,0,1,1,0,1,1,0,1,1,0,1,kneighborsRegressor,None,brute,None,None,5.0,None,None,None,None,None,None,6.0,None,uniform,0.6972233060696653,ok,62.26421567890793
15,1,0,1,0,0,1,0,1,0,1,1,0,0,1,randomForestRegressor,None,None,None,mse,None,None,16,auto,13,14,None,None,None,None,0.729080489643047,ok,63.86665647197515
16,1,0,0,0,0,1,0,0,0,0,0,0,1,1,nnRegressor,relu,None,23.0,None,None,adaptive,None,None,None,None,3.0,None,adam,None,0.7509995335477797,ok,67.70410194597207
17,1,1,1,0,0,0,0,0,1,0,1,0,0,0,kneighborsRegressor,None,brute,None,None,16.0,None,None,None,None,None,None,5.0,None,distance,0.6147151132843818,ok,67.78333725593984
18,1,1,0,0,0,0,1,0,1,1,1,0,0,1,nnRegressor,logistic,None,9.0,None,None,constant,None,None,None,None,1.0,None,adam,None,0.7111297984117011,ok,97.30035255802795
19,1,0,0,1,1,0,0,0,1,1,1,0,0,1,nnRegressor,tanh,None,18.0,None,None,adaptive,None,None,None,None,1.0,None,adam,None,0.7374960909725112,ok,113.91275318106636
20,1,1,1,1,0,1,0,1,0,0,0,0,1,1,nnRegressor,relu,None,31.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.7742608049392634,ok,123.09269220591523
21,1,1,1,1,0,1,0,1,0,0,0,0,1,1,nnRegressor,relu,None,31.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.7759762211086256,ok,132.2919213338755
22,1,1,1,1,0,1,0,1,0,0,0,0,1,1,nnRegressor,relu,None,32.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.7717939829453733,ok,141.30402436084114
23,1,1,1,1,0,1,0,1,0,0,0,0,1,1,nnRegressor,relu,None,32.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.7717939829453733,ok,150.3102678009309
24,0,1,1,1,0,1,0,1,0,0,0,0,1,1,nnRegressor,relu,None,30.0,None,None,adaptive,None,None,None,None,8.0,None,sgd,None,0.7234127956544206,ok,159.59693547384813
