,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,randomForestRegressor,None,None,None,mae,None,None,74,log2,6,32,None,None,None,None,0.5877488503786503,ok,9.942494273884222
1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,kneighborsRegressor,None,brute,None,None,10.0,None,None,None,None,None,None,5.0,None,distance,0.7035847231018673,ok,10.031539046904072
2,0,1,1,1,0,0,0,1,1,1,0,1,1,0,nnRegressor,logistic,None,11.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,0.6991593150198807,ok,13.231648677960038
3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,nnRegressor,identity,None,30.0,None,None,adaptive,None,None,None,None,5.0,None,sgd,None,0.6086682703378217,ok,20.30600681900978
4,0,0,0,0,0,1,0,0,1,1,0,1,1,1,nnRegressor,tanh,None,24.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.7063468771790771,ok,34.59131976496428
5,0,1,1,1,1,0,0,0,0,1,1,1,0,0,randomForestRegressor,None,None,None,poisson,None,None,49,auto,18,31,None,None,None,None,0.5937210683684391,ok,41.0540595240891
6,0,0,0,0,1,0,1,1,1,0,0,1,1,1,nnRegressor,tanh,None,31.0,None,None,adaptive,None,None,None,None,7.0,None,lbfgs,None,0.6956497514949737,ok,45.96033127605915
7,0,0,1,0,0,0,1,0,0,1,0,1,1,0,kneighborsRegressor,None,kd_tree,None,None,11.0,None,None,None,None,None,None,9.0,None,distance,0.6214785177490738,ok,45.993298314046115
8,0,0,0,1,1,1,1,1,1,1,1,1,1,0,kneighborsRegressor,None,kd_tree,None,None,8.0,None,None,None,None,None,None,9.0,None,uniform,0.6787595702093814,ok,46.058265689061955
9,1,1,1,1,1,1,1,0,1,0,0,0,0,1,nnRegressor,tanh,None,9.0,None,None,constant,None,None,None,None,3.0,None,adam,None,0.6671954583370882,ok,77.94110317109153
10,1,0,0,1,1,1,0,1,0,1,1,0,1,1,randomForestRegressor,None,None,None,mae,None,None,50,auto,7,25,None,None,None,None,0.7222064458733495,ok,110.60131908301264
