activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,31,gini,1,1,0,1,1,0,1,0,0,1,0,1,1,1,14,invscaling,15,log2,14,9,randomForestClassifier,3,5,sgd,uniform,0.9257028112449799
tanh,auto,28,entropy,0,1,1,0,1,1,0,0,1,0,0,0,1,1,32,adaptive,23,log2,19,13,randomForestClassifier,10,6,sgd,uniform,0.9578313253012049
identity,brute,31,entropy,1,1,0,0,0,0,0,1,0,1,1,1,0,1,25,constant,84,log2,14,17,nnClassifier,2,2,adam,distance,0.7158634538152611
tanh,brute,28,gini,0,1,1,1,1,1,0,0,1,0,1,1,0,1,34,adaptive,88,auto,3,32,kneighborsClassifier,8,2,sgd,distance,0.9558232931726908
tanh,ball_tree,30,entropy,0,1,1,0,0,1,1,0,1,1,0,1,1,0,24,invscaling,7,log2,11,6,randomForestClassifier,5,5,adam,uniform,0.9528112449799196
relu,kd_tree,22,gini,0,1,0,1,0,1,1,0,1,0,0,0,1,1,24,adaptive,63,log2,9,5,nnClassifier,4,7,sgd,distance,0.6977911646586346
tanh,kd_tree,12,gini,0,1,1,0,1,0,0,0,1,0,1,1,0,0,21,constant,89,auto,11,5,nnClassifier,8,4,adam,distance,0.7088353413654619
identity,auto,14,gini,1,1,1,1,1,0,1,1,0,0,1,0,0,0,28,invscaling,96,auto,8,17,randomForestClassifier,9,2,adam,distance,0.9678714859437751
identity,auto,28,gini,0,1,1,0,1,1,1,1,1,1,0,1,0,1,10,adaptive,6,log2,17,31,nnClassifier,2,10,lbfgs,uniform,0.7218875502008032
logistic,brute,29,entropy,0,0,0,1,1,0,0,0,0,0,1,1,1,1,34,constant,6,log2,18,30,nnClassifier,4,8,lbfgs,distance,0.7279116465863453
identity,auto,30,entropy,1,0,0,0,1,1,1,0,1,0,0,0,0,1,33,adaptive,19,log2,11,19,kneighborsClassifier,2,4,adam,distance,0.9748995983935743
tanh,auto,11,entropy,1,0,1,0,1,0,0,1,1,1,0,0,1,1,11,constant,26,log2,15,34,randomForestClassifier,5,3,sgd,uniform,0.9769076305220884
relu,brute,19,entropy,1,0,0,1,0,1,1,0,0,0,1,1,0,1,20,constant,72,auto,11,4,nnClassifier,3,10,sgd,uniform,0.7198795180722891
logistic,kd_tree,9,entropy,0,1,0,0,1,0,1,0,0,0,1,1,1,1,3,constant,76,log2,12,18,nnClassifier,4,8,adam,distance,0.6947791164658634
relu,ball_tree,8,gini,0,1,1,0,0,1,0,0,1,0,0,0,1,0,40,constant,95,log2,20,9,kneighborsClassifier,7,7,lbfgs,uniform,0.928714859437751
tanh,kd_tree,32,gini,1,1,1,0,0,1,1,0,0,1,1,1,1,0,4,adaptive,29,auto,14,3,nnClassifier,9,2,sgd,uniform,0.6967871485943775
relu,auto,22,entropy,1,0,0,0,1,0,1,1,1,0,0,1,1,1,34,adaptive,46,sqrt,13,3,kneighborsClassifier,9,10,sgd,distance,0.9809236947791165
logistic,brute,30,gini,0,1,0,0,1,0,0,0,1,0,0,1,1,1,6,adaptive,13,log2,4,6,kneighborsClassifier,8,1,lbfgs,distance,0.8965863453815262
logistic,kd_tree,17,gini,0,1,1,0,1,0,0,0,1,1,0,0,0,0,40,invscaling,67,log2,19,33,nnClassifier,8,4,sgd,uniform,0.8293172690763052
logistic,brute,30,gini,0,1,0,0,0,1,1,0,0,1,0,1,1,1,27,invscaling,63,log2,6,18,nnClassifier,8,3,sgd,uniform,0.8293172690763052
relu,auto,22,entropy,1,0,0,0,1,0,1,1,1,0,0,1,1,1,34,adaptive,46,sqrt,13,3,kneighborsClassifier,9,10,sgd,distance,0.9809236947791165
tanh,auto,11,entropy,1,0,1,0,1,0,0,1,1,1,0,0,1,1,11,constant,26,log2,15,34,randomForestClassifier,5,3,sgd,uniform,0.9769076305220884
identity,auto,30,entropy,1,0,0,0,1,1,1,0,1,0,0,0,0,1,33,adaptive,19,log2,11,19,kneighborsClassifier,2,4,adam,distance,0.9748995983935743
identity,auto,14,gini,1,1,1,1,1,0,1,1,0,0,1,0,0,0,28,invscaling,96,auto,8,17,randomForestClassifier,9,2,adam,distance,0.9678714859437751
