activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,13,gini,0,1,1,0,1,1,1,0,0,1,0,1,0,0,9,constant,20,auto,17,29,kneighborsClassifier,10,8,adam,distance,0.9236947791164659
tanh,auto,13,gini,1,1,0,1,0,1,0,0,0,1,1,0,0,0,28,invscaling,44,log2,18,21,nnClassifier,8,2,sgd,distance,0.7831325301204819
logistic,brute,32,entropy,0,1,0,1,0,0,1,0,0,1,1,0,0,1,21,adaptive,62,log2,6,2,kneighborsClassifier,3,2,sgd,uniform,0.8985943775100401
identity,ball_tree,30,entropy,0,1,0,1,0,0,0,1,1,1,1,1,1,1,2,adaptive,58,sqrt,8,28,kneighborsClassifier,2,7,lbfgs,distance,0.9588353413654619
identity,auto,9,gini,0,1,0,1,1,0,1,0,1,0,0,0,0,0,25,adaptive,59,auto,16,35,randomForestClassifier,3,2,sgd,uniform,0.9186746987951807
identity,ball_tree,32,entropy,0,1,1,0,0,0,1,0,0,1,1,0,1,1,36,constant,43,sqrt,17,35,nnClassifier,6,8,adam,uniform,0.7821285140562249
logistic,kd_tree,22,gini,1,1,1,0,1,1,1,1,1,0,0,1,1,0,19,adaptive,17,sqrt,17,15,nnClassifier,3,8,adam,distance,0.7279116465863453
relu,brute,18,gini,0,1,0,1,0,1,0,0,1,0,1,1,1,0,37,adaptive,19,sqrt,15,7,kneighborsClassifier,6,10,adam,distance,0.9186746987951807
relu,ball_tree,13,entropy,0,0,0,1,0,1,0,0,0,0,0,0,0,1,27,constant,5,log2,19,28,kneighborsClassifier,5,8,lbfgs,distance,0.8624497991967871
relu,kd_tree,27,gini,0,1,1,0,0,1,1,0,1,0,0,0,1,1,3,constant,52,log2,12,37,randomForestClassifier,6,7,lbfgs,distance,0.9487951807228916
relu,auto,22,entropy,1,0,0,1,1,0,1,0,1,1,0,0,1,1,39,adaptive,49,sqrt,16,13,nnClassifier,7,6,lbfgs,uniform,0.7289156626506024
logistic,brute,19,entropy,0,1,0,0,0,1,0,1,1,0,1,0,0,0,5,constant,67,sqrt,11,20,kneighborsClassifier,4,4,sgd,uniform,0.9397590361445783
tanh,ball_tree,23,gini,0,1,0,0,0,1,0,0,0,0,1,1,0,1,8,constant,54,sqrt,7,19,nnClassifier,3,1,sgd,distance,0.7459839357429718
tanh,brute,9,gini,1,1,0,1,0,1,1,0,1,0,0,0,1,0,21,invscaling,5,log2,2,26,randomForestClassifier,7,4,adam,uniform,0.8955823293172691
logistic,kd_tree,17,entropy,1,0,0,0,1,0,1,0,0,0,0,1,0,1,25,adaptive,12,log2,10,25,kneighborsClassifier,9,3,lbfgs,uniform,0.9497991967871486
