activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,9,gini,1,0,1,0,0,1,1,1,0,0,1,0,1,1,2,adaptive,90,auto,16,6,randomForestClassifier,5,4,sgd,uniform,0.9668674698795181
logistic,kd_tree,18,gini,0,0,0,0,1,0,0,1,1,1,1,1,0,0,14,invscaling,31,auto,6,35,randomForestClassifier,3,7,adam,uniform,0.9598393574297188
relu,brute,13,gini,1,0,1,1,0,0,0,0,0,1,1,1,1,1,13,adaptive,33,sqrt,3,17,randomForestClassifier,7,6,adam,uniform,0.9668674698795181
tanh,kd_tree,8,entropy,0,0,0,0,0,1,0,0,1,0,1,0,0,1,39,invscaling,3,sqrt,7,38,randomForestClassifier,7,6,lbfgs,uniform,0.8403614457831325
identity,brute,27,gini,1,0,1,0,1,0,1,1,1,1,0,1,1,1,23,adaptive,57,log2,20,17,randomForestClassifier,8,9,lbfgs,distance,0.9668674698795181
relu,kd_tree,13,gini,1,0,0,1,0,0,0,0,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9799196787148594
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9889558232931727
relu,kd_tree,13,gini,1,0,0,1,0,0,0,0,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9799196787148594
logistic,ball_tree,18,entropy,1,1,0,0,1,1,0,1,0,0,1,1,1,1,3,invscaling,97,log2,20,3,randomForestClassifier,8,4,lbfgs,uniform,0.9718875502008032
relu,brute,26,entropy,1,1,1,1,0,0,0,1,0,0,1,0,1,1,36,constant,100,auto,13,22,randomForestClassifier,4,7,lbfgs,distance,0.9708835341365462
tanh,ball_tree,27,entropy,1,1,0,1,1,0,0,1,1,0,1,1,1,1,13,invscaling,97,log2,20,3,randomForestClassifier,8,4,lbfgs,uniform,0.9708835341365462
logistic,ball_tree,18,entropy,1,1,0,0,1,1,0,1,0,0,1,0,1,1,36,constant,100,auto,13,22,randomForestClassifier,4,7,lbfgs,distance,0.9708835341365462
tanh,ball_tree,29,entropy,0,0,0,1,0,1,1,1,1,1,1,0,1,1,33,adaptive,27,auto,9,29,randomForestClassifier,2,5,sgd,distance,0.9698795180722891
tanh,brute,9,gini,1,0,1,0,0,1,1,1,0,0,1,0,1,1,2,adaptive,90,auto,16,6,randomForestClassifier,5,4,sgd,uniform,0.9668674698795181
relu,brute,13,gini,1,0,1,1,0,0,0,0,0,1,1,1,1,1,13,adaptive,33,sqrt,3,17,randomForestClassifier,7,6,adam,uniform,0.9668674698795181
identity,brute,27,gini,1,0,1,0,1,0,1,1,1,1,0,1,1,1,23,adaptive,57,log2,20,17,randomForestClassifier,8,9,lbfgs,distance,0.9668674698795181
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9889558232931727
relu,kd_tree,13,gini,1,0,0,1,0,0,0,0,1,0,1,1,1,1,35,invscaling,97,log2,20,3,randomForestClassifier,8,4,lbfgs,uniform,0.9387550200803213
logistic,ball_tree,18,entropy,1,1,0,0,1,1,0,1,0,0,1,0,0,1,36,constant,100,auto,13,34,randomForestClassifier,4,7,lbfgs,distance,0.9708835341365462
relu,brute,26,entropy,1,1,1,1,1,0,1,1,0,0,1,1,1,1,13,invscaling,97,log2,20,3,randomForestClassifier,8,4,sgd,uniform,0.9799196787148594
