activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,11,entropy,0,0,1,0,1,1,0,0,1,1,1,1,0,1,2,invscaling,32,auto,9,24,nnClassifier,4,3,lbfgs,uniform,0.748995983935743
relu,auto,15,gini,0,0,0,1,1,0,0,0,1,0,1,0,0,0,27,adaptive,39,sqrt,18,32,randomForestClassifier,6,4,lbfgs,distance,0.9066265060240963
tanh,brute,20,entropy,1,0,1,1,0,0,0,0,0,1,1,1,1,1,38,adaptive,76,auto,4,6,randomForestClassifier,5,6,lbfgs,uniform,0.9688755020080321
relu,kd_tree,13,gini,1,1,0,0,0,0,0,0,1,0,1,1,0,1,25,constant,26,sqrt,10,25,nnClassifier,4,10,sgd,distance,0.7429718875502008
identity,ball_tree,23,entropy,1,0,1,1,0,1,0,0,0,0,0,0,0,0,17,constant,9,auto,8,36,nnClassifier,6,4,lbfgs,distance,0.7841365461847389
identity,kd_tree,15,gini,1,0,0,0,1,1,0,0,0,0,0,1,1,0,10,invscaling,4,auto,4,21,kneighborsClassifier,6,3,adam,uniform,0.9427710843373494
relu,kd_tree,18,entropy,1,1,1,0,1,1,0,0,0,1,0,0,0,0,29,adaptive,46,log2,2,19,randomForestClassifier,3,4,lbfgs,uniform,0.9487951807228916
tanh,ball_tree,30,entropy,0,1,1,1,1,1,1,1,0,1,1,1,1,0,16,constant,19,log2,7,11,nnClassifier,5,2,adam,uniform,0.7419678714859438
identity,ball_tree,15,gini,0,1,0,1,1,1,1,1,0,0,1,1,0,1,7,adaptive,46,sqrt,17,6,randomForestClassifier,3,4,sgd,distance,0.9608433734939759
identity,ball_tree,19,entropy,0,0,1,0,1,0,0,0,0,0,0,0,1,0,39,constant,68,sqrt,2,38,kneighborsClassifier,7,10,lbfgs,distance,0.8775100401606426
relu,kd_tree,27,entropy,0,1,1,1,0,1,0,1,1,1,0,1,1,1,40,invscaling,75,sqrt,14,17,kneighborsClassifier,1,10,sgd,uniform,0.9628514056224899
identity,ball_tree,12,gini,1,1,0,1,1,1,0,1,0,1,1,0,0,0,26,invscaling,10,auto,3,21,kneighborsClassifier,7,3,lbfgs,uniform,0.8714859437751004
relu,auto,18,gini,0,1,1,1,1,0,1,1,0,1,1,0,1,0,17,invscaling,23,auto,2,33,kneighborsClassifier,9,6,lbfgs,distance,0.964859437751004
relu,auto,24,entropy,0,0,1,1,0,1,0,1,1,0,1,1,1,0,19,invscaling,15,log2,3,5,kneighborsClassifier,8,6,sgd,uniform,0.9829317269076305
relu,ball_tree,27,entropy,0,0,0,1,0,0,0,0,1,1,0,1,0,1,29,constant,73,auto,10,17,nnClassifier,6,2,sgd,distance,0.7419678714859438
tanh,brute,16,entropy,1,0,0,1,1,1,0,1,0,0,1,0,1,0,27,constant,53,auto,9,3,kneighborsClassifier,1,5,lbfgs,distance,0.9859437751004017
relu,brute,32,gini,0,0,1,0,0,1,1,1,0,0,0,0,0,1,37,adaptive,46,sqrt,2,16,nnClassifier,4,10,sgd,uniform,0.7580321285140562
relu,brute,14,gini,0,1,1,0,0,0,1,1,1,0,0,0,0,1,35,adaptive,97,log2,20,38,randomForestClassifier,8,9,sgd,uniform,0.9678714859437751
relu,ball_tree,20,gini,1,1,0,0,0,0,1,0,0,1,1,1,0,0,26,adaptive,98,auto,10,25,nnClassifier,6,4,lbfgs,uniform,0.7670682730923695
logistic,ball_tree,21,entropy,1,0,0,1,1,0,0,0,0,1,1,0,0,1,31,constant,2,sqrt,13,22,randomForestClassifier,9,1,sgd,uniform,0.8835341365461847
