activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,26,gini,0,1,1,0,0,1,0,0,1,1,0,0,0,0,18,constant,44,sqrt,3,38,nnClassifier,6,4,adam,distance,0.7319277108433735
logistic,kd_tree,15,gini,1,1,1,1,1,0,0,1,1,0,0,1,0,1,7,constant,20,auto,17,20,nnClassifier,7,8,sgd,distance,0.7198795180722891
identity,brute,25,gini,0,0,1,0,1,1,0,1,1,1,0,0,1,0,24,constant,77,auto,13,7,randomForestClassifier,1,1,sgd,uniform,0.9568273092369478
relu,auto,20,gini,0,1,1,0,1,0,1,0,1,0,0,1,1,1,22,adaptive,45,auto,20,32,kneighborsClassifier,7,8,adam,uniform,0.9508032128514057
logistic,kd_tree,20,entropy,0,1,1,0,1,1,1,1,0,1,1,1,0,0,3,invscaling,48,log2,3,14,kneighborsClassifier,7,3,sgd,distance,0.9598393574297188
relu,auto,21,gini,1,0,0,1,1,0,0,0,1,0,0,0,0,0,30,adaptive,52,log2,2,36,randomForestClassifier,2,8,sgd,uniform,0.9257028112449799
relu,ball_tree,17,entropy,0,0,0,0,0,0,1,0,0,1,0,0,0,0,38,adaptive,32,sqrt,2,7,randomForestClassifier,7,5,adam,distance,0.8353413654618473
tanh,brute,13,entropy,0,0,1,0,0,0,0,1,1,1,0,0,1,0,24,invscaling,8,sqrt,9,26,randomForestClassifier,1,5,lbfgs,uniform,0.9447791164658634
relu,auto,24,gini,1,0,0,1,1,1,0,0,1,1,1,0,1,1,18,constant,27,log2,2,14,nnClassifier,7,10,adam,uniform,0.7248995983935743
identity,auto,20,gini,0,1,0,0,0,0,0,0,1,0,1,0,1,0,36,invscaling,46,auto,11,20,kneighborsClassifier,5,5,sgd,uniform,0.8835341365461847
relu,auto,14,gini,1,0,0,1,1,0,1,0,0,0,0,1,1,0,5,invscaling,48,log2,4,40,nnClassifier,9,3,lbfgs,distance,0.7289156626506024
relu,ball_tree,32,entropy,0,0,1,1,0,1,0,1,0,0,1,1,0,0,31,invscaling,49,sqrt,18,30,kneighborsClassifier,3,1,adam,distance,0.9779116465863453
identity,auto,26,gini,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,invscaling,55,log2,8,29,kneighborsClassifier,9,1,adam,distance,0.9196787148594378
tanh,brute,16,entropy,1,0,0,1,0,0,0,0,1,0,0,1,0,1,36,constant,7,log2,12,36,kneighborsClassifier,1,10,lbfgs,uniform,0.9206827309236948
logistic,brute,21,gini,1,1,1,1,1,0,1,1,1,0,0,0,0,1,28,constant,89,log2,15,28,nnClassifier,10,6,sgd,uniform,0.7218875502008032
identity,brute,20,gini,0,0,0,1,0,0,0,1,0,0,0,0,0,0,38,invscaling,80,log2,14,11,kneighborsClassifier,9,3,adam,distance,0.8795180722891566
logistic,kd_tree,26,entropy,0,1,0,0,1,1,1,0,0,1,0,1,0,0,35,adaptive,22,sqrt,12,34,kneighborsClassifier,6,2,adam,distance,0.8865461847389559
tanh,auto,31,gini,1,1,1,0,0,0,0,1,1,0,0,0,0,0,30,adaptive,9,sqrt,10,40,randomForestClassifier,9,1,sgd,distance,0.9558232931726908
tanh,brute,27,entropy,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,invscaling,96,sqrt,6,3,nnClassifier,2,8,lbfgs,distance,0.7881526104417671
identity,brute,9,gini,1,0,0,0,1,0,1,0,1,0,1,1,1,1,27,constant,34,log2,14,21,kneighborsClassifier,5,3,adam,uniform,0.9799196787148594
identity,brute,9,gini,1,0,0,0,1,0,1,0,1,0,1,1,1,1,27,constant,34,log2,14,21,kneighborsClassifier,5,3,adam,uniform,0.9799196787148594
relu,ball_tree,32,entropy,0,0,1,1,0,1,0,1,0,0,1,1,0,0,31,invscaling,49,sqrt,18,30,kneighborsClassifier,3,1,adam,distance,0.9779116465863453
logistic,kd_tree,20,entropy,0,1,1,0,1,1,1,1,0,1,1,1,0,0,3,invscaling,48,log2,3,14,kneighborsClassifier,7,3,sgd,distance,0.9598393574297188
identity,brute,25,gini,0,0,1,0,1,1,0,1,1,1,0,0,1,0,24,constant,77,auto,13,7,randomForestClassifier,1,1,sgd,uniform,0.9568273092369478
tanh,auto,31,gini,1,1,1,0,0,0,0,1,1,0,0,0,0,0,30,adaptive,9,sqrt,10,40,randomForestClassifier,9,1,sgd,distance,0.9558232931726908
relu,auto,20,gini,0,1,1,0,1,0,1,0,1,0,0,1,1,1,22,adaptive,45,auto,20,32,kneighborsClassifier,7,8,adam,uniform,0.9508032128514057
tanh,brute,13,entropy,0,0,1,0,0,0,0,1,1,1,0,0,1,0,24,invscaling,8,sqrt,9,26,randomForestClassifier,1,5,lbfgs,uniform,0.9447791164658634
relu,auto,21,gini,1,0,0,1,1,0,0,0,1,0,0,0,0,0,30,adaptive,52,log2,2,36,randomForestClassifier,2,8,sgd,uniform,0.9257028112449799
tanh,brute,16,entropy,1,0,0,1,0,0,0,0,1,0,0,1,0,1,36,constant,7,log2,12,36,kneighborsClassifier,1,10,lbfgs,uniform,0.9206827309236948
identity,auto,26,gini,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,invscaling,55,log2,8,29,kneighborsClassifier,9,1,adam,distance,0.9196787148594378
identity,brute,9,gini,1,0,0,0,1,1,1,0,1,0,1,1,0,0,31,invscaling,49,sqrt,18,30,kneighborsClassifier,3,1,adam,distance,0.9879518072289156
relu,ball_tree,32,entropy,0,0,0,1,0,1,0,1,0,1,1,1,0,0,3,invscaling,48,log2,3,14,kneighborsClassifier,3,3,sgd,distance,0.9748995983935743
logistic,kd_tree,20,entropy,0,1,1,0,1,1,1,1,1,1,0,0,1,0,29,constant,77,auto,13,7,randomForestClassifier,8,1,sgd,uniform,0.9578313253012049
identity,brute,25,gini,0,0,1,0,1,1,0,1,1,0,0,0,0,0,30,adaptive,9,sqrt,10,40,randomForestClassifier,9,1,sgd,distance,0.9518072289156626
tanh,auto,31,gini,1,1,1,0,0,0,0,1,1,1,0,1,1,1,22,adaptive,45,auto,20,32,kneighborsClassifier,7,8,adam,uniform,0.892570281124498
relu,auto,20,gini,1,0,1,0,0,0,1,0,1,1,1,0,1,0,24,invscaling,8,sqrt,9,26,randomForestClassifier,1,5,lbfgs,uniform,0.9508032128514057
tanh,brute,13,entropy,0,0,1,0,0,0,0,1,1,0,0,0,0,0,30,adaptive,52,log2,2,36,randomForestClassifier,2,8,sgd,uniform,0.9397590361445783
relu,auto,21,gini,1,0,0,1,1,0,0,0,1,0,0,1,0,1,36,constant,7,log2,12,36,kneighborsClassifier,1,10,lbfgs,uniform,0.9387550200803213
tanh,brute,16,entropy,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,invscaling,55,log2,8,29,kneighborsClassifier,3,1,adam,distance,0.9347389558232931
identity,auto,26,gini,0,0,1,0,1,0,1,0,0,0,1,1,1,1,27,constant,34,log2,14,21,kneighborsClassifier,5,3,adam,uniform,0.9718875502008032
identity,brute,9,gini,1,0,0,0,1,1,1,0,1,0,1,1,0,0,31,invscaling,49,sqrt,18,30,kneighborsClassifier,3,1,adam,distance,0.9879518072289156
identity,brute,9,gini,1,0,0,0,1,0,1,0,1,0,1,1,1,1,27,constant,34,log2,14,21,kneighborsClassifier,5,3,adam,uniform,0.9799196787148594
relu,ball_tree,32,entropy,0,0,1,1,0,1,0,1,0,0,1,1,0,0,31,invscaling,49,sqrt,18,30,kneighborsClassifier,3,1,adam,distance,0.9779116465863453
