activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,32,mae,1,0,1,0,1,1,1,0,1,0,0,1,0,0,34,invscaling,48,auto,8,38,randomForestRegressor,7,3,sgd,uniform,0.6008727658517528
tanh,brute,31,mse,1,0,1,1,1,0,1,1,1,0,0,1,1,1,6,constant,88,sqrt,11,21,nnRegressor,10,1,sgd,uniform,0.7193087772944662
identity,ball_tree,21,poisson,1,1,1,1,1,1,1,0,0,0,1,0,0,0,15,invscaling,39,log2,9,23,nnRegressor,1,10,lbfgs,uniform,0.6070778781214226
tanh,brute,24,mae,1,0,1,0,1,0,1,0,1,0,0,0,0,1,16,adaptive,90,log2,9,34,randomForestRegressor,5,6,sgd,distance,0.6141842466577656
logistic,ball_tree,22,mse,1,1,0,1,1,1,0,0,1,1,1,0,1,1,8,constant,76,auto,12,29,kneighborsRegressor,8,8,adam,distance,0.7333502509562349
logistic,kd_tree,27,poisson,0,1,1,1,0,0,1,1,0,0,1,1,0,0,38,invscaling,58,auto,20,18,nnRegressor,4,4,sgd,distance,-0.0010031075888288221
relu,ball_tree,30,mse,1,1,0,0,0,1,0,0,0,0,1,1,1,1,7,adaptive,88,log2,19,9,randomForestRegressor,10,9,lbfgs,distance,0.7406921575507159
identity,ball_tree,22,mae,1,1,1,1,0,0,1,1,1,1,1,0,0,1,20,invscaling,78,sqrt,6,5,kneighborsRegressor,2,10,lbfgs,distance,0.6897282248752983
identity,brute,9,poisson,0,0,0,0,1,1,0,1,0,0,0,1,0,0,38,invscaling,3,sqrt,7,12,nnRegressor,2,9,sgd,uniform,0.59296295174626
identity,kd_tree,30,mse,0,0,1,1,1,1,0,1,0,1,0,0,1,1,14,invscaling,47,sqrt,7,39,randomForestRegressor,4,8,sgd,distance,0.7020632167810025
