activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,13,mae,1,0,0,1,1,1,0,0,0,1,0,1,1,1,9,constant,84,sqrt,5,13,kneighborsRegressor,6,8,sgd,distance,0.7044376651689961
relu,auto,32,poisson,0,1,1,1,1,0,0,1,1,1,1,0,1,0,26,adaptive,21,log2,6,22,randomForestRegressor,9,10,lbfgs,uniform,0.3499742880369783
identity,auto,27,poisson,1,1,1,0,0,0,1,0,0,0,1,0,1,0,22,invscaling,16,sqrt,11,9,randomForestRegressor,10,1,adam,distance,0.41890215580331713
logistic,brute,29,poisson,1,1,0,0,0,1,0,0,1,1,1,1,1,0,15,adaptive,21,log2,10,17,kneighborsRegressor,1,1,sgd,uniform,0.5510742558625599
identity,auto,9,mse,1,1,0,0,1,1,0,1,1,1,1,1,1,0,6,constant,29,log2,2,4,kneighborsRegressor,9,2,lbfgs,distance,0.6478549764924402
relu,brute,22,poisson,1,1,1,0,0,0,1,0,0,1,0,1,1,0,29,invscaling,35,log2,8,15,kneighborsRegressor,9,7,sgd,uniform,0.6994713948353803
identity,kd_tree,23,mae,1,1,1,1,1,0,0,1,0,0,0,0,0,1,39,adaptive,63,sqrt,12,2,kneighborsRegressor,2,6,lbfgs,distance,0.6213288721456178
identity,ball_tree,28,poisson,1,0,0,1,1,1,0,0,0,1,0,0,1,1,25,invscaling,61,sqrt,10,33,randomForestRegressor,3,2,sgd,uniform,0.6552426935084372
tanh,kd_tree,10,mae,1,0,0,1,0,1,1,1,0,1,0,0,0,1,24,invscaling,41,log2,17,27,randomForestRegressor,4,6,lbfgs,distance,0.6718851350381725
relu,auto,12,mae,1,1,0,0,0,0,0,0,0,1,1,1,1,0,32,constant,26,log2,9,9,kneighborsRegressor,1,4,lbfgs,uniform,0.6727760757504777
tanh,auto,29,poisson,0,1,1,0,0,1,0,0,1,0,0,0,0,0,22,invscaling,84,auto,19,21,randomForestRegressor,9,7,lbfgs,uniform,0.5333819356321927
logistic,auto,26,mse,1,0,1,0,0,0,0,0,0,1,0,0,1,1,26,invscaling,73,log2,9,5,randomForestRegressor,4,4,sgd,uniform,0.7097825538500713
logistic,auto,20,mse,0,1,1,0,1,0,1,0,0,0,0,0,0,1,32,invscaling,72,log2,14,22,randomForestRegressor,9,4,lbfgs,uniform,0.6278487988191943
logistic,ball_tree,32,mae,0,1,0,0,1,0,1,0,0,0,0,0,1,1,40,adaptive,32,sqrt,2,2,nnRegressor,7,6,adam,distance,0.7040039977312736
tanh,kd_tree,9,poisson,0,0,1,0,1,1,0,1,1,1,0,0,0,1,27,invscaling,58,log2,11,34,randomForestRegressor,8,6,adam,distance,0.6202455132058331
logistic,ball_tree,31,poisson,1,0,0,1,0,1,0,0,1,0,1,1,1,0,31,invscaling,83,log2,7,14,nnRegressor,9,4,sgd,uniform,0.13612647790367616
relu,auto,31,poisson,1,0,0,1,0,1,1,1,0,1,1,0,1,0,39,constant,87,log2,5,40,nnRegressor,3,9,adam,uniform,0.7075539228174249
identity,brute,26,mae,1,0,1,0,0,0,0,0,0,0,1,0,1,1,23,invscaling,43,auto,10,21,kneighborsRegressor,5,10,adam,distance,0.674527268687314
relu,ball_tree,26,mse,0,1,0,0,1,1,0,1,1,0,0,0,0,1,25,invscaling,83,sqrt,10,11,nnRegressor,10,3,sgd,distance,0.6475618723059093
tanh,brute,30,mae,0,0,1,0,0,1,1,0,0,1,1,1,0,1,21,invscaling,45,log2,8,23,kneighborsRegressor,8,7,sgd,distance,0.6553191284699837
logistic,auto,26,mse,1,0,1,0,0,0,0,0,0,1,0,0,1,1,26,invscaling,73,log2,9,5,randomForestRegressor,4,4,sgd,uniform,0.7097825538500713
relu,auto,31,poisson,1,0,0,1,0,1,1,1,0,1,1,0,1,0,39,constant,87,log2,5,40,nnRegressor,3,9,adam,uniform,0.7075539228174249
relu,ball_tree,13,mae,1,0,0,1,1,1,0,0,0,1,0,1,1,1,9,constant,84,sqrt,5,13,kneighborsRegressor,6,8,sgd,distance,0.7044376651689961
logistic,ball_tree,32,mae,0,1,0,0,1,0,1,0,0,0,0,0,1,1,40,adaptive,32,sqrt,2,2,nnRegressor,7,6,adam,distance,0.7040039977312736
relu,brute,22,poisson,1,1,1,0,0,0,1,0,0,1,0,1,1,0,29,invscaling,35,log2,8,15,kneighborsRegressor,9,7,sgd,uniform,0.6994713948353803
identity,brute,26,mae,1,0,1,0,0,0,0,0,0,0,1,0,1,1,23,invscaling,43,auto,10,21,kneighborsRegressor,5,10,adam,distance,0.674527268687314
relu,auto,12,mae,1,1,0,0,0,0,0,0,0,1,1,1,1,0,32,constant,26,log2,9,9,kneighborsRegressor,1,4,lbfgs,uniform,0.6727760757504777
tanh,kd_tree,10,mae,1,0,0,1,0,1,1,1,0,1,0,0,0,1,24,invscaling,41,log2,17,27,randomForestRegressor,4,6,lbfgs,distance,0.6718851350381725
tanh,brute,30,mae,0,0,1,0,0,1,1,0,0,1,1,1,0,1,21,invscaling,45,log2,8,23,kneighborsRegressor,8,7,sgd,distance,0.6553191284699837
identity,ball_tree,28,poisson,1,0,0,1,1,1,0,0,0,1,0,0,1,1,25,invscaling,61,sqrt,10,33,randomForestRegressor,3,2,sgd,uniform,0.6552426935084372
logistic,auto,26,mse,1,0,1,0,0,0,0,0,0,1,1,0,1,0,39,constant,87,log2,5,40,nnRegressor,3,9,adam,uniform,0.6788256943103244
logistic,auto,32,mae,1,0,0,1,0,1,1,1,0,1,0,1,1,1,9,constant,84,sqrt,5,13,kneighborsRegressor,6,8,sgd,distance,0.7156301418316485
relu,ball_tree,13,mae,1,0,0,1,1,1,0,0,0,0,0,0,1,1,40,adaptive,32,sqrt,2,2,nnRegressor,7,6,adam,distance,0.7064547275286318
logistic,ball_tree,32,mae,0,1,0,0,1,0,1,0,0,1,0,1,1,0,29,invscaling,2,log2,8,15,kneighborsRegressor,9,7,adam,uniform,0.676600952633319
relu,brute,22,poisson,1,1,1,0,0,0,1,0,0,0,1,0,0,1,23,invscaling,43,auto,9,21,kneighborsRegressor,5,10,adam,distance,0.6514840570864495
identity,brute,26,mae,1,0,1,0,0,0,0,0,0,1,1,1,1,0,32,constant,26,log2,3,9,kneighborsRegressor,1,4,lbfgs,uniform,0.6554383571336315
