activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,13,poisson,0,0,0,0,0,1,0,1,0,0,0,1,0,1,27,adaptive,76,log2,10,20,randomForestRegressor,8,8,sgd,distance,0.6251224837116006
logistic,brute,24,mae,1,0,1,0,0,0,1,0,1,1,1,1,0,0,7,invscaling,76,log2,15,29,kneighborsRegressor,5,9,adam,distance,0.619915401557398
relu,ball_tree,29,mae,1,1,0,1,0,0,0,1,1,1,0,1,0,0,16,invscaling,86,log2,5,29,nnRegressor,1,5,sgd,uniform,-0.03823342053899559
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,0,1,0,1,1,3,adaptive,92,sqrt,15,15,randomForestRegressor,6,1,sgd,distance,0.7178636612542805
identity,brute,29,poisson,1,0,0,0,0,0,1,0,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.726462722294879
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7322503719585793
identity,brute,29,poisson,1,0,0,0,0,0,1,0,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.726462722294879
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,0,1,0,1,1,3,adaptive,92,sqrt,15,15,randomForestRegressor,6,1,sgd,distance,0.7178636612542805
relu,ball_tree,27,mae,1,0,0,0,1,0,1,1,0,0,0,1,1,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,5,adam,uniform,0.709294752462187
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,1,1,0,1,40,constant,61,log2,5,32,nnRegressor,8,3,adam,uniform,0.6971066444856782
identity,brute,29,poisson,0,1,1,1,0,1,1,0,0,0,1,1,1,1,3,constant,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.6962462798392005
relu,ball_tree,27,mae,1,0,0,0,1,0,1,1,0,0,1,1,0,1,40,constant,61,log2,5,32,nnRegressor,8,3,sgd,uniform,0.6939215768133576
relu,kd_tree,11,poisson,1,1,0,1,1,1,0,1,1,0,1,1,0,1,7,invscaling,31,sqrt,7,19,kneighborsRegressor,10,7,adam,distance,0.6829795291406537
relu,kd_tree,11,poisson,1,1,0,1,1,1,0,1,1,1,1,1,1,0,5,constant,53,auto,14,7,kneighborsRegressor,10,4,sgd,uniform,0.679097625626691
identity,brute,29,poisson,0,1,1,1,0,1,1,0,0,0,1,1,0,1,36,invscaling,31,log2,7,19,kneighborsRegressor,10,7,adam,distance,0.6759603659608486
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7322503719585793
identity,brute,29,poisson,1,0,0,0,0,0,1,0,1,0,1,0,1,1,3,adaptive,92,sqrt,15,15,randomForestRegressor,6,1,sgd,distance,0.6446816516353142
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,0,0,1,1,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,4,adam,uniform,0.7285345741985433
relu,ball_tree,27,mae,1,0,0,0,1,0,1,1,0,0,1,1,0,0,40,constant,61,log2,5,32,nnRegressor,8,3,adam,uniform,0.6138163555985074
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,1,1,1,1,3,constant,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.730456503796383
identity,brute,29,poisson,0,1,1,1,0,1,1,0,0,0,1,1,0,1,40,adaptive,61,log2,5,32,nnRegressor,8,3,sgd,uniform,0.6657600971793103
relu,ball_tree,27,mae,1,0,0,1,1,0,1,1,0,0,1,1,0,1,7,invscaling,31,sqrt,7,19,kneighborsRegressor,7,7,adam,distance,0.6498749781482631
relu,kd_tree,11,poisson,1,1,0,1,1,1,0,1,1,1,1,1,1,0,5,constant,53,auto,14,7,kneighborsRegressor,10,4,sgd,uniform,0.679097625626691
relu,kd_tree,11,poisson,1,1,0,1,1,0,0,1,1,0,1,1,0,1,36,invscaling,31,sqrt,7,19,kneighborsRegressor,10,7,adam,distance,0.6808822305009931
identity,brute,29,poisson,0,1,1,1,0,1,1,0,0,1,1,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7059027789132322
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7322503719585793
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7322503719585793
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,1,1,1,1,3,constant,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.730456503796383
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,0,0,1,1,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,4,adam,uniform,0.7285345741985433
identity,brute,29,poisson,1,0,0,0,0,0,1,0,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.726462722294879
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,0,1,0,1,1,3,adaptive,92,sqrt,15,15,randomForestRegressor,6,1,sgd,distance,0.7178636612542805
relu,ball_tree,27,mae,1,0,0,0,1,0,1,1,0,0,0,1,1,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,5,adam,uniform,0.709294752462187
identity,brute,29,poisson,0,1,1,1,0,1,1,0,0,1,1,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7059027789132322
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,1,1,0,1,40,constant,61,log2,5,32,nnRegressor,8,3,adam,uniform,0.6971066444856782
identity,brute,29,poisson,0,1,1,1,0,1,1,0,0,0,1,1,1,1,3,constant,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.6962462798392005
logistic,brute,11,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7351912633103634
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,0,1,1,1,1,3,constant,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.7097109456702398
tanh,brute,15,mae,0,1,1,1,0,1,1,0,0,0,0,1,1,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,4,adam,uniform,0.7073906480734086
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7616942104546358
identity,brute,29,poisson,1,0,0,0,0,0,1,0,1,0,1,0,1,1,3,adaptive,92,sqrt,15,15,randomForestRegressor,6,4,sgd,distance,0.6446816516353142
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,0,0,1,0,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,5,adam,uniform,0.6945084761357909
relu,ball_tree,27,mae,1,0,0,0,1,0,1,1,0,1,1,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7511382948490118
identity,brute,29,poisson,0,1,1,1,0,1,1,0,0,0,1,1,0,1,40,constant,61,log2,5,32,nnRegressor,8,3,adam,uniform,0.6653507816692417
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,1,1,1,1,3,adaptive,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.730456503796383
identity,brute,29,poisson,0,1,1,1,0,1,1,1,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7090972204642229
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7616942104546358
relu,ball_tree,27,mae,1,0,0,0,1,0,1,1,0,1,1,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7511382948490118
logistic,brute,11,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7351912633103634
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7322503719585793
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7322503719585793
