activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,18,poisson,0,1,0,0,1,1,0,1,1,1,1,0,0,1,13,invscaling,49,auto,10,3,randomForestRegressor,1,8,lbfgs,uniform,0.5940825932847269
logistic,ball_tree,13,mse,1,1,0,0,0,0,0,1,1,0,1,1,1,1,33,constant,40,sqrt,5,24,kneighborsRegressor,3,10,sgd,distance,0.7198961638369609
identity,auto,31,mae,0,0,1,0,0,1,1,0,1,1,1,1,0,0,38,constant,82,log2,5,26,randomForestRegressor,3,4,lbfgs,uniform,0.637068111769018
relu,ball_tree,31,mse,1,1,1,0,0,0,0,1,1,0,1,1,0,1,14,constant,17,sqrt,20,40,randomForestRegressor,1,3,sgd,uniform,0.6668443818086871
relu,auto,20,poisson,0,1,1,0,0,0,1,1,0,0,1,0,1,0,16,constant,91,auto,20,22,randomForestRegressor,4,2,lbfgs,distance,0.6399377819590186
identity,brute,13,mae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,constant,29,sqrt,12,38,kneighborsRegressor,10,1,lbfgs,uniform,0.3012446336089927
logistic,ball_tree,31,mae,1,1,0,0,1,0,0,1,1,0,1,1,1,0,15,invscaling,9,auto,4,36,randomForestRegressor,2,3,adam,distance,0.7186727788995124
logistic,ball_tree,13,mse,1,0,1,1,1,1,1,0,0,1,1,0,0,1,16,invscaling,4,auto,7,17,kneighborsRegressor,9,5,sgd,distance,0.6516804882371668
identity,ball_tree,14,poisson,0,1,0,1,0,1,0,0,1,1,0,1,0,1,15,adaptive,27,auto,7,39,randomForestRegressor,9,8,adam,distance,0.3955675124127819
identity,ball_tree,16,mae,1,1,1,0,1,1,1,1,1,1,1,1,1,0,21,constant,43,log2,17,12,nnRegressor,3,3,adam,distance,0.7132659190034683
tanh,ball_tree,26,mse,0,1,1,0,1,1,0,0,0,1,0,1,0,1,33,constant,39,sqrt,7,18,randomForestRegressor,4,2,lbfgs,uniform,0.6915434892889714
relu,brute,20,poisson,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,adaptive,39,auto,20,2,kneighborsRegressor,5,9,adam,distance,-0.06143962051409613
tanh,kd_tree,10,poisson,1,0,1,1,1,0,0,0,1,1,1,1,0,1,34,invscaling,47,auto,9,40,kneighborsRegressor,7,9,sgd,distance,0.6690399552787738
logistic,brute,15,mae,0,0,1,0,1,1,1,1,1,0,0,0,0,0,17,constant,57,sqrt,8,30,randomForestRegressor,10,9,lbfgs,uniform,0.493689720831644
identity,ball_tree,24,mae,0,1,1,1,1,1,0,0,0,1,0,1,1,0,34,invscaling,48,sqrt,5,26,randomForestRegressor,3,4,sgd,distance,0.6931008280703619
identity,brute,31,mae,0,1,0,1,1,1,0,0,0,1,1,1,0,0,39,adaptive,88,auto,12,39,nnRegressor,6,5,lbfgs,distance,0.6299734208790568
tanh,kd_tree,20,poisson,1,1,1,0,0,1,1,1,1,1,0,0,0,1,28,constant,76,log2,2,34,randomForestRegressor,2,8,sgd,distance,0.5982394285212717
relu,brute,24,mse,1,1,0,1,0,1,1,1,1,0,1,0,1,1,40,adaptive,22,auto,12,8,nnRegressor,4,6,lbfgs,uniform,0.7471177970098098
logistic,ball_tree,31,mae,0,1,0,1,1,0,1,0,0,0,0,0,0,1,36,adaptive,85,sqrt,3,24,kneighborsRegressor,10,7,adam,uniform,0.5918525923656477
identity,auto,14,mse,1,1,0,0,1,1,1,1,0,1,1,0,1,0,29,constant,12,sqrt,12,29,nnRegressor,1,4,lbfgs,distance,0.7071312396517174
