activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,26,poisson,0,1,1,0,1,0,0,0,1,1,0,0,0,1,10,adaptive,54,log2,13,15,randomForestRegressor,2,5,lbfgs,distance,0.6479429846408149
identity,auto,8,poisson,0,1,1,1,0,0,0,0,0,1,0,0,0,0,11,invscaling,41,log2,11,40,randomForestRegressor,3,1,lbfgs,distance,0.5615814518347617
logistic,ball_tree,23,mae,1,0,1,0,1,1,1,0,1,0,0,0,1,1,5,invscaling,80,log2,3,36,kneighborsRegressor,7,3,sgd,distance,0.6511991066297323
relu,kd_tree,31,poisson,0,1,0,1,1,1,0,1,0,0,0,1,1,0,19,adaptive,94,auto,11,25,kneighborsRegressor,5,5,adam,distance,0.6283290293284107
relu,ball_tree,30,mae,0,1,1,0,1,0,1,1,1,1,0,0,1,0,11,constant,33,auto,5,24,kneighborsRegressor,1,6,adam,distance,0.5907923235703758
identity,ball_tree,29,mae,0,1,1,1,0,1,0,1,1,1,1,0,1,1,24,invscaling,71,log2,4,35,kneighborsRegressor,4,10,adam,distance,0.6730286347194716
logistic,kd_tree,17,poisson,1,1,1,1,0,1,0,1,0,0,1,0,0,0,14,constant,15,log2,18,25,randomForestRegressor,8,1,sgd,uniform,0.3218740334781385
logistic,kd_tree,32,mae,1,1,0,1,0,1,1,0,1,0,0,1,0,1,14,constant,52,auto,10,19,nnRegressor,4,2,sgd,uniform,0.7210287648357243
tanh,auto,28,mse,1,1,0,0,1,0,0,0,0,1,0,0,1,1,38,constant,1,auto,2,9,randomForestRegressor,3,4,adam,distance,0.7469557946143979
identity,brute,29,mae,0,1,0,0,0,1,0,1,1,0,1,1,0,0,37,invscaling,73,log2,8,38,nnRegressor,2,9,adam,distance,0.6358555464495936
identity,auto,18,poisson,0,0,0,0,0,1,1,0,0,1,1,0,1,1,18,adaptive,64,sqrt,16,14,nnRegressor,8,8,lbfgs,distance,0.681135362751307
relu,ball_tree,18,mae,1,0,1,0,0,1,1,0,0,1,1,0,1,1,23,invscaling,32,auto,3,36,nnRegressor,7,4,lbfgs,uniform,0.7290981310521941
logistic,auto,10,poisson,0,0,1,1,0,0,0,0,1,0,1,1,1,0,26,invscaling,12,sqrt,7,39,randomForestRegressor,4,8,sgd,uniform,0.20938403664069882
logistic,ball_tree,13,poisson,1,0,1,1,1,1,0,0,1,0,0,0,1,1,16,adaptive,78,sqrt,14,21,nnRegressor,3,6,lbfgs,distance,0.6788891597541353
relu,brute,16,poisson,0,1,0,1,1,0,1,0,1,0,0,0,1,0,17,constant,3,sqrt,3,33,kneighborsRegressor,10,6,lbfgs,uniform,0.5825001519404167
identity,ball_tree,17,mae,0,1,0,1,1,1,1,1,0,1,0,1,1,1,24,invscaling,40,sqrt,19,19,randomForestRegressor,4,7,sgd,uniform,0.7050141764640694
logistic,ball_tree,29,mse,1,0,0,0,1,1,1,0,1,0,1,0,0,1,31,adaptive,51,auto,7,39,kneighborsRegressor,10,9,lbfgs,uniform,0.6118128802038402
identity,ball_tree,23,mae,1,1,1,0,0,0,0,1,0,1,0,1,1,0,23,constant,30,log2,6,24,randomForestRegressor,9,7,lbfgs,uniform,0.7170614656757948
identity,auto,11,mse,1,1,0,0,0,0,1,1,0,1,1,0,1,1,18,invscaling,60,log2,5,31,nnRegressor,10,1,lbfgs,distance,0.7187252988568176
relu,auto,19,poisson,1,1,0,1,1,1,1,0,0,1,1,1,0,1,6,invscaling,97,sqrt,12,21,kneighborsRegressor,9,8,sgd,uniform,0.704381397391747
tanh,auto,28,mse,1,1,0,0,1,0,0,0,0,1,0,0,1,1,38,constant,1,auto,2,9,randomForestRegressor,3,4,adam,distance,0.7469557946143979
relu,ball_tree,18,mae,1,0,1,0,0,1,1,0,0,1,1,0,1,1,23,invscaling,32,auto,3,36,nnRegressor,7,4,lbfgs,uniform,0.7290981310521941
logistic,kd_tree,32,mae,1,1,0,1,0,1,1,0,1,0,0,1,0,1,14,constant,52,auto,10,19,nnRegressor,4,2,sgd,uniform,0.7210287648357243
identity,auto,11,mse,1,1,0,0,0,0,1,1,0,1,1,0,1,1,18,invscaling,60,log2,5,31,nnRegressor,10,1,lbfgs,distance,0.7187252988568176
identity,ball_tree,23,mae,1,1,1,0,0,0,0,1,0,1,0,1,1,0,23,constant,30,log2,6,24,randomForestRegressor,9,7,lbfgs,uniform,0.7170614656757948
identity,ball_tree,17,mae,0,1,0,1,1,1,1,1,0,1,0,1,1,1,24,invscaling,40,sqrt,19,19,randomForestRegressor,4,7,sgd,uniform,0.7050141764640694
relu,auto,19,poisson,1,1,0,1,1,1,1,0,0,1,1,1,0,1,6,invscaling,97,sqrt,12,21,kneighborsRegressor,9,8,sgd,uniform,0.704381397391747
identity,auto,18,poisson,0,0,0,0,0,1,1,0,0,1,1,0,1,1,18,adaptive,64,sqrt,16,14,nnRegressor,8,8,lbfgs,distance,0.681135362751307
logistic,ball_tree,13,poisson,1,0,1,1,1,1,0,0,1,0,0,0,1,1,16,adaptive,78,sqrt,14,21,nnRegressor,3,6,lbfgs,distance,0.6788891597541353
identity,ball_tree,29,mae,0,1,1,1,0,1,0,1,1,1,1,0,1,1,24,invscaling,71,log2,4,35,kneighborsRegressor,4,10,adam,distance,0.6730286347194716
tanh,auto,28,mse,1,1,0,0,1,1,0,0,0,1,1,0,1,1,23,invscaling,32,auto,3,36,nnRegressor,7,4,lbfgs,uniform,0.7625161258879133
relu,ball_tree,18,mae,1,0,1,0,0,1,1,0,0,0,0,1,0,1,14,constant,52,auto,10,19,nnRegressor,4,2,sgd,uniform,0.6576914690249913
logistic,kd_tree,32,mae,1,0,0,1,0,1,1,0,1,1,1,0,1,1,18,invscaling,60,log2,5,31,nnRegressor,10,1,lbfgs,distance,0.7403957574965627
identity,auto,11,mse,1,1,0,0,0,0,1,1,0,1,0,1,0,0,23,constant,62,log2,20,24,randomForestRegressor,9,7,lbfgs,uniform,0.6654955500142763
identity,ball_tree,23,mae,1,1,1,0,0,0,0,1,0,1,0,1,1,1,24,invscaling,40,sqrt,19,19,randomForestRegressor,4,7,sgd,uniform,0.7261943959421566
identity,ball_tree,17,mae,0,1,0,1,1,1,1,1,0,1,1,1,0,1,32,invscaling,97,sqrt,12,21,kneighborsRegressor,9,8,sgd,uniform,0.6858648549262032
relu,auto,19,poisson,1,1,0,1,1,1,1,0,0,1,1,0,1,1,18,adaptive,64,sqrt,16,14,nnRegressor,8,8,lbfgs,distance,0.7634416293960089
identity,auto,18,poisson,0,0,0,0,0,1,1,0,0,0,0,0,1,1,16,adaptive,97,sqrt,14,21,nnRegressor,3,6,lbfgs,distance,0.6307083530408855
logistic,ball_tree,13,poisson,1,0,1,1,1,1,0,0,0,1,1,0,1,1,24,invscaling,71,log2,4,35,kneighborsRegressor,4,10,adam,distance,0.6942629247762542
identity,ball_tree,29,mae,0,1,1,1,0,1,0,1,1,1,0,0,1,1,38,constant,1,auto,2,9,randomForestRegressor,3,4,adam,distance,0.6959944345911686
relu,auto,19,poisson,1,1,0,1,1,1,1,0,0,1,1,0,1,1,18,adaptive,64,sqrt,16,14,nnRegressor,8,8,lbfgs,distance,0.7634416293960089
tanh,auto,28,mse,1,1,0,0,1,1,0,0,0,1,1,0,1,1,23,invscaling,32,auto,3,36,nnRegressor,7,4,lbfgs,uniform,0.7625161258879133
tanh,auto,28,mse,1,1,0,0,1,0,0,0,0,1,0,0,1,1,38,constant,1,auto,2,9,randomForestRegressor,3,4,adam,distance,0.7469557946143979
logistic,kd_tree,32,mae,1,0,0,1,0,1,1,0,1,1,1,0,1,1,18,invscaling,60,log2,5,31,nnRegressor,10,1,lbfgs,distance,0.7403957574965627
relu,ball_tree,18,mae,1,0,1,0,0,1,1,0,0,1,1,0,1,1,23,invscaling,32,auto,3,36,nnRegressor,7,4,lbfgs,uniform,0.7290981310521941
identity,ball_tree,23,mae,1,1,1,0,0,0,0,1,0,1,0,1,1,1,24,invscaling,40,sqrt,19,19,randomForestRegressor,4,7,sgd,uniform,0.7261943959421566
