activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,20,gini,0,1,1,1,0,1,1,0,33,invscaling,46,auto,14,25,randomForestClassifier,2,5,sgd,uniform,0.8376068376068376
logistic,auto,8,gini,0,0,0,1,0,0,0,0,17,adaptive,50,auto,9,30,randomForestClassifier,3,6,sgd,uniform,0.5018315018315018
relu,auto,21,gini,1,1,0,0,0,1,1,1,36,invscaling,38,sqrt,18,3,randomForestClassifier,7,8,adam,distance,0.6898656898656899
relu,ball_tree,24,entropy,1,0,1,0,0,1,1,1,10,constant,65,sqrt,4,16,kneighborsClassifier,8,1,lbfgs,distance,0.5494505494505495
relu,kd_tree,24,gini,1,1,0,0,1,0,0,0,28,invscaling,18,sqrt,16,34,nnClassifier,6,3,lbfgs,uniform,0.4810744810744811
identity,kd_tree,14,gini,1,0,0,1,0,1,1,1,24,invscaling,41,sqrt,20,29,kneighborsClassifier,9,1,adam,distance,0.49572649572649574
identity,brute,20,gini,1,1,0,1,1,1,1,0,24,adaptive,25,auto,10,21,kneighborsClassifier,8,6,lbfgs,uniform,0.6532356532356532
relu,auto,14,gini,0,1,0,0,1,0,1,1,28,constant,36,log2,16,4,randomForestClassifier,5,9,adam,uniform,0.6776556776556777
identity,ball_tree,13,entropy,1,0,0,0,0,1,1,0,34,constant,3,auto,18,29,nnClassifier,8,2,adam,uniform,0.47741147741147744
relu,auto,25,entropy,0,0,1,1,1,0,1,1,17,constant,73,sqrt,19,37,kneighborsClassifier,8,10,lbfgs,uniform,0.6446886446886447
relu,ball_tree,11,entropy,1,0,0,0,1,0,1,0,40,invscaling,69,sqrt,15,22,randomForestClassifier,9,8,adam,uniform,0.4884004884004884
identity,auto,9,entropy,1,0,1,1,1,1,1,0,16,invscaling,43,sqrt,9,18,kneighborsClassifier,7,4,sgd,distance,0.6056166056166056
relu,brute,27,gini,0,0,0,1,1,0,1,0,39,adaptive,40,auto,3,28,randomForestClassifier,8,1,adam,uniform,0.5115995115995116
relu,brute,13,gini,1,1,0,1,1,0,1,0,3,constant,87,sqrt,10,35,randomForestClassifier,4,2,lbfgs,distance,0.6910866910866911
tanh,auto,28,gini,0,0,1,0,1,1,0,0,20,adaptive,28,sqrt,11,37,randomForestClassifier,7,7,lbfgs,uniform,0.6605616605616605
tanh,kd_tree,18,entropy,1,1,0,0,1,0,1,0,19,adaptive,53,sqrt,2,2,nnClassifier,10,8,lbfgs,distance,0.46153846153846156
tanh,brute,13,gini,1,0,0,1,0,1,1,0,16,invscaling,64,sqrt,6,34,nnClassifier,10,10,adam,uniform,0.452991452991453
tanh,ball_tree,21,gini,1,0,0,0,1,1,0,0,34,invscaling,22,log2,16,32,nnClassifier,4,2,sgd,distance,0.41514041514041516
identity,auto,18,gini,1,1,1,0,1,1,1,0,5,constant,25,sqrt,7,22,nnClassifier,9,8,lbfgs,uniform,0.4896214896214896
tanh,ball_tree,17,entropy,0,0,1,1,1,0,0,1,11,invscaling,61,auto,11,9,nnClassifier,8,1,adam,distance,0.5103785103785103
identity,kd_tree,20,gini,0,1,1,1,0,1,1,0,33,invscaling,46,auto,14,25,randomForestClassifier,2,5,sgd,uniform,0.8376068376068376
relu,brute,13,gini,1,1,0,1,1,0,1,0,3,constant,87,sqrt,10,35,randomForestClassifier,4,2,lbfgs,distance,0.6910866910866911
relu,auto,21,gini,1,1,0,0,0,1,1,1,36,invscaling,38,sqrt,18,3,randomForestClassifier,7,8,adam,distance,0.6898656898656899
relu,auto,14,gini,0,1,0,0,1,0,1,1,28,constant,36,log2,16,4,randomForestClassifier,5,9,adam,uniform,0.6776556776556777
