activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,16,mse,1,0,1,1,1,1,1,1,32,adaptive,60,auto,2,23,randomForestRegressor,8,7,lbfgs,uniform,0.25637015144239983,104.5984437149018
tanh,ball_tree,18,poisson,0,0,1,1,1,1,1,1,30,adaptive,63,auto,2,23,kneighborsRegressor,9,6,lbfgs,uniform,0.7755248762142241,104.59850078402087
tanh,ball_tree,28,mae,1,0,1,1,1,1,1,1,40,constant,50,auto,3,8,nnRegressor,9,6,sgd,uniform,0.01699192945861039,104.59853952308185
relu,auto,27,poisson,0,0,1,1,1,1,1,1,30,adaptive,52,auto,16,26,nnRegressor,7,6,adam,uniform,0.37226071779540393,104.59857711289078
relu,auto,18,mse,0,0,1,1,1,1,1,1,26,invscaling,46,auto,10,20,randomForestRegressor,7,7,lbfgs,distance,0.274270598215551,104.5986152018886
tanh,ball_tree,24,mae,1,0,1,1,1,1,1,1,30,constant,64,auto,11,36,kneighborsRegressor,9,8,adam,uniform,0.19631211430959083,104.59865246200934
tanh,ball_tree,26,mse,1,1,1,1,1,1,1,1,7,invscaling,21,auto,15,25,nnRegressor,9,6,sgd,uniform,0.3655160066313643,104.59868932096288
tanh,ball_tree,19,mse,1,0,1,1,1,1,1,1,23,constant,79,auto,15,23,randomForestRegressor,6,5,sgd,uniform,-0.013806358966216292,104.59872508002445
tanh,ball_tree,20,mae,0,0,1,1,1,1,1,1,30,invscaling,62,auto,8,23,kneighborsRegressor,7,6,sgd,uniform,0.21978139828524357,104.59876199997962
tanh,ball_tree,18,poisson,1,1,1,1,1,1,1,1,25,adaptive,57,auto,3,12,randomForestRegressor,2,6,sgd,uniform,0.35732801617796517,104.59879946894944
tanh,ball_tree,23,mae,0,1,1,1,1,1,1,1,7,constant,54,auto,15,11,kneighborsRegressor,8,6,sgd,distance,0.2580544316440744,104.59883630787954
relu,auto,26,mae,1,1,1,1,1,1,1,1,8,invscaling,6,auto,12,7,kneighborsRegressor,9,5,lbfgs,uniform,0.2765250984708204,104.59887323807925
tanh,ball_tree,20,mse,1,1,1,1,1,1,1,1,9,constant,70,auto,7,13,randomForestRegressor,7,4,adam,uniform,0.42279827073366794,104.59890977689065
tanh,auto,12,poisson,0,0,1,1,1,1,1,1,23,invscaling,75,auto,3,23,nnRegressor,7,6,adam,uniform,0.37298632156378464,104.59894679696299
tanh,ball_tree,21,mae,0,0,1,1,1,1,1,1,19,invscaling,63,auto,15,35,kneighborsRegressor,10,9,lbfgs,uniform,-0.09091055567868844,104.59898322587833
tanh,ball_tree,18,poisson,1,1,1,1,1,1,1,1,24,invscaling,44,auto,10,21,randomForestRegressor,5,6,adam,uniform,0.3199167586932522,104.59901968506165
relu,ball_tree,18,mae,1,1,1,1,1,1,1,1,31,constant,15,auto,9,15,kneighborsRegressor,7,10,adam,distance,0.3795883681627148,104.59905615495518
tanh,ball_tree,12,poisson,1,0,1,1,1,1,1,1,14,adaptive,90,auto,2,15,nnRegressor,9,4,sgd,distance,0.2850439724514644,104.59909253404476
tanh,auto,17,mae,1,0,1,1,1,1,1,1,11,constant,34,auto,8,24,kneighborsRegressor,9,5,lbfgs,uniform,0.007722402870360301,104.59912852407433
tanh,ball_tree,30,poisson,0,0,1,1,1,1,1,1,11,invscaling,23,auto,15,11,nnRegressor,8,6,lbfgs,uniform,0.3402361111590154,104.59916532295756
relu,auto,20,mse,1,1,1,1,1,1,1,1,29,constant,56,auto,6,19,nnRegressor,9,7,adam,distance,0.6580389134235176,272.0103487248998
relu,auto,22,mse,1,1,1,1,1,1,1,1,26,constant,59,auto,6,19,nnRegressor,9,6,adam,distance,0.7755248762142241,272.0104095439892
relu,auto,30,mse,1,1,1,1,1,1,1,1,36,constant,46,auto,7,11,nnRegressor,10,5,adam,distance,0.6759794204299099,272.01044751307927
relu,auto,30,mse,1,1,1,1,1,1,1,1,26,constant,48,auto,13,22,nnRegressor,10,7,adam,distance,0.8029107447389007,272.0105107820127
relu,auto,22,mse,1,1,1,1,1,1,1,1,22,constant,42,auto,14,16,nnRegressor,8,4,adam,distance,0.6682714428392482,272.01055680098943
relu,auto,28,mse,1,1,1,1,1,1,1,1,26,constant,60,auto,14,32,nnRegressor,10,8,adam,distance,0.7932243065424142,272.0105944608804
relu,auto,27,mse,1,1,1,1,1,1,1,1,10,constant,25,auto,13,21,nnRegressor,10,6,adam,distance,0.4366994266664349,272.01063027000055
relu,auto,23,mse,1,1,1,1,1,1,1,1,19,constant,75,auto,13,19,nnRegressor,9,7,adam,distance,0.6322432452537927,272.01066647004336
relu,auto,24,mse,1,1,1,1,1,1,1,1,26,constant,58,auto,12,19,nnRegressor,10,6,adam,distance,0.7755248762142241,272.0107028288767
relu,auto,22,mse,1,1,1,1,1,1,1,1,21,constant,53,auto,7,8,nnRegressor,6,6,adam,distance,0.34319778461906825,272.01076286798343
relu,auto,27,mse,1,1,1,1,1,1,1,1,11,constant,50,auto,13,13,nnRegressor,10,6,adam,distance,0.7819154162370552,272.010808306979
relu,auto,27,mse,1,1,1,1,1,1,1,1,12,constant,10,auto,16,10,nnRegressor,8,7,adam,distance,0.802708170973464,272.01084502693266
relu,auto,24,mse,1,1,1,1,1,1,1,1,13,constant,66,auto,11,15,nnRegressor,10,5,adam,distance,0.6874653062680791,272.0108802060131
relu,auto,16,mse,1,1,1,1,1,1,1,1,19,constant,71,auto,7,19,nnRegressor,10,6,adam,distance,0.8140133762971068,272.0109290049877
relu,auto,24,mse,1,1,1,1,1,1,1,1,15,constant,59,auto,13,31,nnRegressor,8,5,adam,distance,0.7734046180029047,272.0109657049179
relu,auto,22,mse,1,1,1,1,1,1,1,1,20,constant,41,auto,13,17,nnRegressor,9,5,adam,distance,0.37371765698575343,272.01100175408646
relu,auto,22,mse,1,1,1,1,1,1,1,1,27,constant,19,auto,13,13,nnRegressor,10,7,adam,distance,0.8205174619196927,272.0110377930105
relu,auto,16,mse,1,1,1,1,1,1,1,1,15,constant,86,auto,6,11,nnRegressor,9,7,adam,distance,0.7027548674263907,272.01107309293
relu,auto,21,mse,1,1,1,1,1,1,1,1,12,constant,30,auto,12,20,nnRegressor,10,4,adam,distance,0.7786345004677832,272.01110859191976
relu,auto,29,mse,1,1,1,1,1,1,1,1,13,constant,25,auto,13,13,nnRegressor,8,8,adam,distance,0.8320139561479305,272.0111441418994
relu,auto,24,mse,1,1,1,1,1,1,1,1,27,constant,52,auto,10,15,nnRegressor,10,7,adam,distance,0.9165151386302797,412.34727105498314
relu,auto,24,mse,1,1,1,1,1,1,1,1,25,constant,55,auto,10,15,nnRegressor,10,6,adam,distance,0.9211410406506924,412.3473402140662
relu,auto,26,mse,1,1,1,1,1,1,1,1,32,constant,42,auto,11,14,nnRegressor,10,6,adam,distance,0.9222633231954573,412.347378754057
relu,auto,30,mse,1,1,1,1,1,1,1,1,24,constant,44,auto,12,18,nnRegressor,10,7,adam,distance,0.9222633231954573,412.3474157128949
relu,auto,24,mse,1,1,1,1,1,1,1,1,26,constant,38,auto,14,12,nnRegressor,10,3,adam,distance,0.9104294459276162,412.34745247196406
relu,auto,27,mse,1,1,1,1,1,1,1,1,24,constant,56,auto,14,28,nnRegressor,10,7,adam,distance,0.9134149876279569,412.3474899819121
relu,auto,23,mse,1,1,1,1,1,1,1,1,14,constant,25,auto,12,17,nnRegressor,10,6,adam,distance,0.9189523327938022,412.34752673096955
relu,auto,24,mse,1,1,1,1,1,1,1,1,23,constant,71,auto,12,15,nnRegressor,10,8,adam,distance,0.9181348388249913,412.34756374987774
relu,auto,23,mse,1,1,1,1,1,1,1,1,25,constant,54,auto,15,15,nnRegressor,10,6,adam,distance,0.9202837895786127,412.34760031988844
relu,auto,24,mse,1,1,1,1,1,1,1,1,25,constant,49,auto,11,12,nnRegressor,10,8,adam,distance,0.9046529729731401,412.34763689897954
relu,auto,23,mse,1,1,1,1,1,1,1,1,15,constant,46,auto,12,14,nnRegressor,10,7,adam,distance,0.9189523327938022,412.347673258977
relu,auto,23,mse,1,1,1,1,1,1,1,1,16,constant,14,auto,18,12,nnRegressor,9,8,adam,distance,0.9074871275342303,412.3477095379494
relu,auto,22,mse,1,1,1,1,1,1,1,1,17,constant,62,auto,14,14,nnRegressor,10,7,adam,distance,0.9202837895786127,412.3477460669819
relu,auto,20,mse,1,1,1,1,1,1,1,1,23,constant,67,auto,11,17,nnRegressor,10,7,adam,distance,0.9156193901245225,412.3477823869325
