activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,17,mse,0,1,1,0,1,1,1,1,25,constant,26,sqrt,9,20,nnRegressor,6,5,sgd,distance,0.39766489012479356,446.9599766670726
tanh,ball_tree,24,mae,0,1,1,1,1,1,1,1,28,adaptive,39,sqrt,14,21,nnRegressor,3,7,sgd,distance,0.36553250282012084,446.9600328959059
identity,kd_tree,22,mae,0,1,1,1,1,1,0,1,17,constant,68,sqrt,6,16,randomForestRegressor,6,5,sgd,uniform,0.404631983194471,446.96007161587477
identity,ball_tree,23,mae,1,1,1,0,1,1,1,1,27,constant,57,sqrt,9,19,randomForestRegressor,5,6,sgd,distance,0.281206159721772,446.96010961499996
identity,kd_tree,12,mae,0,1,1,0,1,1,0,1,17,adaptive,26,sqrt,5,29,randomForestRegressor,5,7,sgd,uniform,0.44998586825123976,446.96014741505496
identity,ball_tree,24,mae,1,1,1,0,1,1,1,1,11,constant,26,auto,12,33,randomForestRegressor,3,8,sgd,distance,0.029457996818264776,446.9601852139458
identity,kd_tree,13,mae,1,1,1,1,1,1,0,1,31,adaptive,89,sqrt,5,23,nnRegressor,6,8,sgd,uniform,0.33827553024692136,446.9602223339025
tanh,ball_tree,24,mse,1,1,1,0,1,1,1,1,3,invscaling,26,auto,6,18,randomForestRegressor,6,6,sgd,distance,0.1579471700857431,446.9602589129936
relu,kd_tree,10,mae,1,1,1,0,1,1,1,1,33,adaptive,86,sqrt,5,11,randomForestRegressor,5,6,adam,distance,0.41353352490347706,446.9602966220118
relu,auto,15,mae,0,1,1,1,1,1,0,1,18,constant,50,auto,11,20,randomForestRegressor,5,7,sgd,distance,0.37577734498322757,446.9603338020388
identity,ball_tree,21,mae,1,1,1,0,1,1,0,1,28,adaptive,41,sqrt,5,29,randomForestRegressor,6,7,sgd,uniform,0.08850636476258877,446.9603827709798
relu,auto,12,mae,0,1,1,0,1,1,0,1,11,adaptive,96,auto,5,31,randomForestRegressor,5,5,sgd,distance,0.27028733320840725,446.96041994099505
tanh,ball_tree,15,mae,1,1,1,0,1,1,0,1,33,adaptive,22,sqrt,12,19,nnRegressor,4,7,sgd,uniform,0.312305124291112,446.9604566299822
relu,kd_tree,14,mse,0,1,1,0,1,1,1,1,15,invscaling,83,sqrt,7,29,randomForestRegressor,5,6,sgd,uniform,0.014785627712571303,446.96049309987575
identity,ball_tree,22,mse,1,1,1,1,1,1,1,1,17,invscaling,63,sqrt,9,13,randomForestRegressor,4,3,sgd,uniform,0.12672765485172266,446.96052973903716
identity,kd_tree,11,mse,0,1,1,0,1,1,1,1,12,adaptive,64,sqrt,12,30,nnRegressor,5,6,sgd,distance,0.41733003994746054,446.9605665190611
identity,ball_tree,20,mae,1,1,1,0,1,1,0,1,20,invscaling,96,sqrt,12,9,nnRegressor,7,7,adam,distance,0.4013496099064413,446.9606036879122
tanh,kd_tree,12,mae,1,1,1,1,1,1,0,1,32,invscaling,95,sqrt,2,34,nnRegressor,6,6,adam,uniform,0.0357406728347488,446.96064069797285
relu,auto,20,mae,0,1,1,0,1,1,1,1,36,adaptive,5,auto,10,33,nnRegressor,4,8,sgd,distance,0.025573336020049076,446.9606771268882
identity,ball_tree,12,mse,0,1,1,0,1,1,0,1,34,adaptive,9,sqrt,13,35,nnRegressor,6,3,sgd,distance,0.008608647199763397,446.9607135269325
