activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,8,mse,1,1,1,1,1,1,0,1,31,constant,69,auto,12,8,nnRegressor,6,1,adam,distance,0.1420856244392944,85.85497268894687
tanh,kd_tree,11,mse,1,1,1,1,1,0,0,0,28,constant,25,auto,11,29,nnRegressor,3,2,sgd,distance,0.10158493913069977,85.85502890800126
relu,auto,18,mse,1,1,1,0,1,0,0,0,33,constant,93,auto,10,11,randomForestRegressor,5,4,sgd,distance,0.31424609520110025,85.8550673678983
relu,kd_tree,20,mse,1,1,1,1,1,0,1,1,25,constant,71,auto,14,20,randomForestRegressor,5,5,sgd,distance,0.1321782510959988,85.85510496795177
tanh,ball_tree,19,mse,1,1,1,1,1,0,0,0,34,constant,56,auto,12,7,randomForestRegressor,4,2,sgd,distance,-0.25366865308911746,85.85514325695112
tanh,ball_tree,17,mse,1,1,1,0,1,0,1,0,4,constant,53,auto,10,4,nnRegressor,5,5,sgd,distance,0.12240254204863177,85.85518066701479
tanh,kd_tree,28,mse,1,1,1,0,1,0,1,1,6,constant,20,auto,12,29,randomForestRegressor,5,2,sgd,distance,0.07919794585311579,85.85521745681763
relu,kd_tree,12,mse,1,1,1,0,1,0,1,0,28,constant,66,auto,14,8,nnRegressor,5,6,adam,distance,0.3699782864802563,85.85525404685177
tanh,kd_tree,8,mse,1,1,1,0,1,0,0,0,21,constant,17,auto,13,12,randomForestRegressor,5,2,sgd,distance,0.06103459105235398,85.85529067600146
relu,auto,27,mse,1,1,1,1,1,0,0,1,13,constant,70,auto,11,24,nnRegressor,6,1,adam,distance,0.34068029739959704,85.85532710584812
identity,ball_tree,28,mse,1,1,1,0,1,1,0,0,27,constant,79,auto,11,14,randomForestRegressor,4,2,sgd,distance,-0.0038878756776421497,85.85536307585426
relu,kd_tree,12,mse,1,1,1,1,1,0,0,0,35,constant,43,auto,13,13,nnRegressor,5,3,sgd,distance,0.06617304122841194,85.85540002584457
relu,kd_tree,16,mse,1,1,1,0,1,1,0,1,20,constant,32,auto,13,11,randomForestRegressor,5,3,sgd,distance,0.14161599357913446,85.8554369348567
identity,kd_tree,11,mse,1,1,1,0,1,0,1,0,24,constant,36,auto,7,12,randomForestRegressor,6,3,sgd,distance,-0.33081370586170866,85.85547327483073
identity,ball_tree,13,mse,1,1,1,1,1,0,1,1,30,constant,12,auto,10,11,randomForestRegressor,2,5,adam,distance,0.025611614606301458,85.85550946486183
identity,auto,19,mse,1,1,1,0,1,0,1,1,10,constant,53,auto,12,20,randomForestRegressor,4,3,adam,distance,0.24428260295488335,85.85555830504745
