activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,11,entropy,1,1,1,0,1,1,1,1,9,invscaling,69,auto,6,28,nnClassifier,6,6,adam,distance,0.5873015873015873,214.89143472607248
tanh,ball_tree,12,entropy,1,1,1,0,1,1,0,1,6,invscaling,7,auto,10,6,kneighborsClassifier,7,8,adam,distance,0.48717948717948717,214.89149230509065
tanh,ball_tree,15,entropy,1,1,1,1,1,1,0,1,19,constant,93,auto,16,8,kneighborsClassifier,10,5,adam,distance,0.7582417582417582,214.89153202506714
tanh,ball_tree,27,entropy,1,1,1,1,1,1,1,1,5,constant,31,auto,7,16,kneighborsClassifier,8,4,adam,distance,0.7851037851037851,214.8915700840298
relu,ball_tree,26,entropy,1,1,0,0,1,1,0,1,6,invscaling,32,auto,16,9,kneighborsClassifier,6,8,adam,distance,0.7741147741147741,214.8916087539401
relu,ball_tree,26,gini,1,1,0,0,1,1,1,1,6,invscaling,71,auto,6,32,kneighborsClassifier,7,6,adam,distance,0.5873015873015873,214.89164608414285
tanh,ball_tree,25,gini,1,1,0,1,1,1,0,1,4,invscaling,18,auto,12,36,kneighborsClassifier,8,9,adam,distance,0.7203907203907204,214.89168329304084
tanh,ball_tree,27,gini,1,1,0,0,1,1,1,1,5,invscaling,82,auto,14,10,nnClassifier,5,6,adam,distance,0.5494505494505495,214.89172010309994
tanh,auto,22,entropy,1,1,0,1,1,1,0,1,7,constant,90,auto,7,33,kneighborsClassifier,8,6,adam,distance,0.717948717948718,214.89175713201985
tanh,ball_tree,24,entropy,1,1,0,0,1,1,0,1,6,invscaling,33,auto,19,34,kneighborsClassifier,8,7,adam,distance,0.905982905982906,214.89179375208914
tanh,ball_tree,15,gini,1,1,1,1,1,1,1,1,20,invscaling,92,auto,18,6,nnClassifier,7,8,adam,distance,0.557997557997558,214.89183113211766
tanh,auto,23,entropy,1,1,1,0,1,1,1,1,27,invscaling,9,auto,18,33,nnClassifier,7,6,adam,distance,0.5445665445665445,214.8918681209907
tanh,ball_tree,20,entropy,1,1,0,1,1,1,1,1,20,constant,35,auto,20,35,nnClassifier,8,6,adam,distance,0.5433455433455433,214.89190473104827
tanh,ball_tree,25,entropy,1,1,1,1,1,1,1,1,19,constant,95,auto,9,34,nnClassifier,9,7,adam,distance,0.5714285714285714,214.89195903996006
tanh,auto,22,entropy,1,1,1,1,1,1,0,1,4,invscaling,18,auto,18,11,nnClassifier,5,6,adam,distance,0.5946275946275946,214.89199665002525
relu,auto,15,gini,1,1,1,1,1,1,0,1,33,invscaling,51,auto,11,15,nnClassifier,7,7,adam,distance,0.5555555555555556,214.89203284913674
tanh,auto,23,gini,1,1,0,0,1,1,0,1,28,invscaling,40,auto,12,8,kneighborsClassifier,9,2,adam,distance,0.7362637362637363,214.89206928899512
tanh,ball_tree,21,gini,1,1,1,1,1,1,1,1,6,invscaling,36,auto,19,34,nnClassifier,9,6,adam,distance,0.5543345543345544,214.89210555911995
relu,ball_tree,20,entropy,1,1,0,1,1,1,0,1,28,invscaling,92,auto,12,34,nnClassifier,8,5,adam,distance,0.5567765567765568,214.89214184810407
tanh,auto,23,entropy,1,1,0,1,1,1,1,1,34,invscaling,75,auto,6,34,kneighborsClassifier,3,6,adam,distance,0.7692307692307693,214.89217791799456
relu,auto,10,gini,1,1,1,1,1,1,1,1,5,constant,65,auto,4,24,nnClassifier,4,10,adam,distance,0.5225885225885226,664.0812302860431
relu,auto,14,gini,1,1,1,1,1,1,1,1,7,constant,9,auto,12,8,nnClassifier,9,10,adam,distance,0.9242979242979243,664.081279376056
relu,auto,14,gini,1,1,1,1,1,1,1,1,15,constant,89,auto,16,6,nnClassifier,9,9,adam,distance,0.9157509157509157,664.081317645032
relu,auto,23,gini,1,1,1,1,1,1,1,1,4,constant,32,auto,11,12,nnClassifier,6,8,adam,distance,0.9194139194139194,664.0813547249418
relu,auto,22,gini,1,1,1,1,1,1,1,1,6,constant,28,auto,17,8,nnClassifier,9,8,adam,distance,0.9047619047619048,664.0813913450111
relu,auto,22,gini,1,1,1,1,1,1,1,1,7,constant,67,auto,10,28,nnClassifier,6,7,adam,distance,0.9023199023199023,664.0814277140889
relu,auto,21,gini,1,1,1,1,1,1,1,1,3,constant,14,auto,12,32,nnClassifier,8,8,adam,distance,0.9157509157509157,664.0814645439386
relu,auto,23,gini,1,1,1,1,1,1,1,1,3,constant,78,auto,10,6,nnClassifier,7,9,adam,distance,0.536019536019536,664.081500713015
relu,auto,18,gini,1,1,1,1,1,1,1,1,7,constant,86,auto,10,29,nnClassifier,7,9,adam,distance,0.9120879120879121,664.0815370930359
relu,auto,23,gini,1,1,1,1,1,1,1,1,6,constant,29,auto,15,30,nnClassifier,6,8,adam,distance,0.905982905982906,664.0815731629264
relu,auto,12,gini,1,1,1,1,1,1,1,1,16,constant,88,auto,14,2,nnClassifier,9,9,adam,distance,0.5299145299145299,664.0816091920715
relu,auto,19,gini,1,1,1,1,1,1,1,1,23,constant,5,auto,14,30,nnClassifier,8,8,adam,distance,0.5299145299145299,664.0816450919956
relu,auto,17,gini,1,1,1,1,1,1,1,1,16,constant,31,auto,16,31,nnClassifier,7,9,adam,distance,0.536019536019536,664.0816811909899
relu,auto,21,gini,1,1,1,1,1,1,1,1,15,constant,91,auto,7,30,nnClassifier,6,8,adam,distance,0.5262515262515263,664.0817173009273
relu,auto,18,gini,1,1,1,1,1,1,1,1,3,constant,14,auto,16,7,nnClassifier,5,8,adam,distance,0.5409035409035409,664.0817531310022
relu,auto,11,gini,1,1,1,1,1,1,1,1,29,constant,47,auto,9,13,nnClassifier,10,3,adam,distance,0.5299145299145299,664.0817891699262
relu,auto,20,gini,1,1,1,1,1,1,1,1,24,constant,36,auto,13,9,nnClassifier,6,6,adam,distance,0.8827838827838828,664.0818250000011
relu,auto,17,gini,1,1,1,1,1,1,1,1,6,constant,32,auto,15,30,nnClassifier,7,10,adam,distance,0.5238095238095238,664.081860858947
relu,auto,16,gini,1,1,1,1,1,1,1,1,24,constant,94,auto,8,30,nnClassifier,6,7,adam,distance,0.5470085470085471,664.0818967791274
relu,auto,19,gini,1,1,1,1,1,1,1,1,30,constant,71,auto,10,30,nnClassifier,7,9,adam,distance,0.9133089133089133,664.081932808971
relu,auto,10,gini,1,1,1,1,1,1,1,1,9,constant,61,auto,5,20,nnClassifier,3,10,adam,distance,0.5299145299145299,1635.222766424995
relu,auto,10,gini,1,1,1,1,1,1,1,1,7,constant,6,auto,11,6,nnClassifier,7,8,adam,distance,0.525030525030525,1635.2228286841419
relu,auto,12,gini,1,1,1,1,1,1,1,1,11,constant,85,auto,12,9,nnClassifier,7,8,adam,distance,0.525030525030525,1635.2228671540506
relu,auto,24,gini,1,1,1,1,1,1,1,1,7,constant,28,auto,7,10,nnClassifier,7,4,adam,distance,0.5286935286935287,1635.2229046630673
relu,auto,18,gini,1,1,1,1,1,1,1,1,6,constant,32,auto,13,6,nnClassifier,7,8,adam,distance,0.5323565323565324,1635.2229547230527
relu,auto,22,gini,1,1,1,1,1,1,1,1,7,constant,65,auto,7,24,nnClassifier,7,7,adam,distance,0.5262515262515263,1635.2229924520943
relu,auto,17,gini,1,1,1,1,1,1,1,1,7,constant,10,auto,10,28,nnClassifier,7,8,adam,distance,0.5299145299145299,1635.223029942019
relu,auto,24,gini,1,1,1,1,1,1,1,1,5,constant,74,auto,8,4,nnClassifier,7,7,adam,distance,0.5225885225885226,1635.2230671909638
relu,auto,14,gini,1,1,1,1,1,1,1,1,7,constant,82,auto,6,31,nnClassifier,7,8,adam,distance,0.5225885225885226,1635.2231041509658
relu,auto,19,gini,1,1,1,1,1,1,1,1,6,constant,31,auto,11,26,nnClassifier,7,7,adam,distance,0.5286935286935287,1635.2231413600966
relu,auto,11,gini,1,1,1,1,1,1,1,1,13,constant,84,auto,11,2,nnClassifier,9,8,adam,distance,0.5311355311355311,1635.223178490065
relu,auto,15,gini,1,1,1,1,1,1,1,1,19,constant,4,auto,15,26,nnClassifier,4,4,adam,distance,0.5201465201465202,1635.22321598907
relu,auto,13,gini,1,1,1,1,1,1,1,1,12,constant,27,auto,12,27,nnClassifier,8,6,adam,distance,0.518925518925519,1635.2232534189243
relu,auto,17,gini,1,1,1,1,1,1,1,1,11,constant,93,auto,8,26,nnClassifier,3,8,adam,distance,0.514041514041514,1635.2232908089645
relu,auto,14,gini,1,1,1,1,1,1,1,1,7,constant,10,auto,12,5,nnClassifier,3,7,adam,distance,0.5225885225885226,1635.2233280381188
relu,auto,11,gini,1,1,1,1,1,1,1,1,25,constant,43,auto,7,9,nnClassifier,9,7,adam,distance,0.5286935286935287,1635.2233649280388
relu,auto,16,gini,1,1,1,1,1,1,1,1,20,constant,32,auto,9,7,nnClassifier,7,4,adam,distance,0.5164835164835165,1635.2234018971212
relu,auto,13,gini,1,1,1,1,1,1,1,1,6,constant,28,auto,11,26,nnClassifier,10,7,adam,distance,0.518925518925519,1635.2234387770295
relu,auto,12,gini,1,1,1,1,1,1,1,1,20,constant,90,auto,6,26,nnClassifier,9,6,adam,distance,0.5213675213675214,1635.2234767060727
relu,auto,23,gini,1,1,1,1,1,1,1,1,26,constant,67,auto,6,26,nnClassifier,8,5,adam,distance,0.525030525030525,1635.2235133859795
relu,auto,10,gini,1,1,1,1,1,1,1,1,8,constant,57,auto,9,16,nnClassifier,4,7,adam,distance,0.5238095238095238,2729.820585987065
relu,auto,11,gini,1,1,1,1,1,1,1,1,5,constant,6,auto,9,5,nnClassifier,6,7,adam,distance,0.5201465201465202,2729.820658955956
relu,auto,13,gini,1,1,1,1,1,1,1,1,11,constant,81,auto,9,5,nnClassifier,7,4,adam,distance,0.5238095238095238,2729.8206969560124
relu,auto,20,gini,1,1,1,1,1,1,1,1,4,constant,24,auto,6,7,nnClassifier,9,5,adam,distance,0.5225885225885226,2729.820734715089
relu,auto,14,gini,1,1,1,1,1,1,1,1,6,constant,28,auto,9,5,nnClassifier,5,8,adam,distance,0.5225885225885226,2729.820772265084
relu,auto,26,gini,1,1,1,1,1,1,1,1,4,constant,61,auto,11,20,nnClassifier,8,8,adam,distance,0.5201465201465202,2729.8208091349807
relu,auto,21,gini,1,1,1,1,1,1,1,1,3,constant,13,auto,10,24,nnClassifier,8,8,adam,distance,0.518925518925519,2729.8208468640223
relu,auto,20,gini,1,1,1,1,1,1,1,1,6,constant,70,auto,9,8,nnClassifier,3,6,adam,distance,0.5225885225885226,2729.8208839639556
