activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,auto,24,entropy,1,0,1,1,1,1,1,1,13,invscaling,75,log2,10,7,kneighborsClassifier,4,6,sgd,distance,0.5396825396825397,63.85759035591036
relu,auto,24,entropy,1,1,1,1,1,1,1,1,13,adaptive,7,log2,5,17,kneighborsClassifier,4,8,sgd,distance,0.78998778998779,63.857654134975746
logistic,auto,19,entropy,1,0,1,1,1,1,1,1,33,invscaling,23,sqrt,6,35,kneighborsClassifier,3,5,sgd,distance,0.7130647130647131,63.8576941548381
tanh,auto,27,entropy,1,0,1,1,1,1,1,0,30,invscaling,39,auto,6,32,nnClassifier,3,6,sgd,distance,0.5177045177045178,63.85773206502199
identity,auto,19,gini,1,0,1,1,1,1,1,0,32,adaptive,20,log2,13,35,kneighborsClassifier,2,6,sgd,distance,0.7081807081807082,63.85776918497868
identity,auto,25,entropy,1,0,1,1,1,1,1,1,29,adaptive,43,auto,4,31,kneighborsClassifier,2,8,sgd,distance,0.7032967032967034,63.857806383864954
relu,auto,20,entropy,1,0,1,1,1,1,1,1,9,adaptive,19,sqrt,11,32,kneighborsClassifier,3,9,sgd,distance,0.5604395604395604,63.857843953883275
relu,auto,25,gini,1,1,1,1,1,1,1,1,9,adaptive,86,auto,15,18,kneighborsClassifier,5,7,sgd,distance,0.9181929181929182,63.857880763942376
logistic,auto,13,entropy,1,1,1,1,1,1,1,0,20,constant,75,auto,13,12,nnClassifier,5,10,sgd,distance,0.612942612942613,63.85791789391078
logistic,auto,24,entropy,1,0,1,1,1,1,1,0,36,adaptive,5,log2,5,14,kneighborsClassifier,3,10,sgd,distance,0.9365079365079365,63.857954632956535
identity,auto,25,entropy,1,0,1,1,1,1,1,0,11,invscaling,84,log2,8,14,nnClassifier,3,10,sgd,distance,0.49572649572649574,63.85799126303755
logistic,auto,25,gini,1,1,1,1,1,1,1,0,25,constant,66,log2,8,13,nnClassifier,2,9,adam,distance,0.612942612942613,63.85802854294889
identity,auto,22,gini,1,1,1,1,1,1,1,0,16,constant,32,auto,17,23,nnClassifier,6,4,sgd,distance,0.48473748473748474,63.8580651730299
tanh,auto,18,gini,1,1,1,1,1,1,1,0,29,adaptive,79,log2,13,21,kneighborsClassifier,6,10,sgd,distance,0.5665445665445665,63.85810255189426
