activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,17,gini,1,1,1,1,1,1,1,0,15,constant,20,log2,13,30,nnClassifier,5,7,adam,uniform,0.5543345543345544,112.15567746106535
logistic,kd_tree,23,entropy,1,1,1,0,1,1,1,0,7,invscaling,67,auto,18,30,randomForestClassifier,5,9,adam,uniform,0.6031746031746031,112.1557364501059
tanh,auto,12,gini,1,1,1,0,1,1,1,1,14,invscaling,43,auto,18,29,kneighborsClassifier,5,6,adam,distance,0.8998778998778999,112.15577531908639
tanh,ball_tree,28,gini,1,1,1,1,1,1,1,1,29,constant,20,sqrt,12,11,nnClassifier,6,5,adam,uniform,0.5091575091575091,112.1558120790869
relu,auto,15,entropy,1,1,1,1,1,1,1,1,6,constant,29,log2,8,11,nnClassifier,6,6,adam,distance,0.5482295482295483,112.15584901813418
logistic,ball_tree,28,entropy,1,1,1,0,1,1,1,1,30,constant,34,sqrt,17,6,nnClassifier,5,4,adam,distance,0.5677655677655677,112.15588612714782
logistic,kd_tree,15,entropy,1,1,1,0,1,1,1,0,5,invscaling,43,log2,18,14,randomForestClassifier,5,6,adam,uniform,0.9218559218559218,112.15592303615995
logistic,ball_tree,13,gini,1,1,1,1,1,1,1,0,23,invscaling,14,sqrt,18,17,randomForestClassifier,2,7,adam,uniform,0.9218559218559218,112.15595921617933
identity,ball_tree,12,gini,1,1,1,1,1,1,1,1,19,constant,84,auto,13,6,randomForestClassifier,3,6,adam,distance,0.5811965811965812,112.15599606512114
logistic,kd_tree,24,entropy,1,1,1,0,1,1,1,0,8,constant,80,auto,10,36,nnClassifier,4,6,adam,uniform,0.5518925518925519,112.15603239415213
relu,ball_tree,18,entropy,1,1,1,0,1,1,1,1,4,invscaling,63,sqrt,17,8,randomForestClassifier,4,6,adam,uniform,0.7387057387057387,112.15606888313778
logistic,ball_tree,15,gini,1,1,1,1,1,1,1,0,36,invscaling,66,sqrt,17,21,kneighborsClassifier,7,6,adam,distance,0.7521367521367521,112.15610511321574
logistic,kd_tree,14,entropy,1,1,1,0,1,1,1,0,4,invscaling,72,log2,13,26,randomForestClassifier,6,7,adam,uniform,0.7411477411477412,112.15614107204601
identity,kd_tree,16,entropy,1,1,1,0,1,1,1,0,4,invscaling,72,log2,18,15,nnClassifier,5,5,adam,distance,0.5885225885225885,112.1561770811677
logistic,kd_tree,14,entropy,1,1,1,0,1,1,1,1,4,invscaling,80,log2,18,13,randomForestClassifier,4,7,adam,uniform,0.9157509157509157,112.15621264115907
logistic,kd_tree,12,gini,1,1,1,1,1,1,1,1,12,invscaling,66,sqrt,12,28,randomForestClassifier,7,8,adam,distance,0.6019536019536019,112.15624870010652
logistic,auto,15,entropy,1,1,1,0,1,1,1,1,12,constant,82,auto,19,16,kneighborsClassifier,6,6,adam,uniform,0.6324786324786325,112.1562850291375
logistic,auto,20,gini,1,1,1,1,1,1,1,1,28,invscaling,81,log2,11,35,nnClassifier,7,7,adam,distance,0.5042735042735043,112.15632099821232
relu,kd_tree,15,gini,1,1,1,0,1,1,1,0,36,invscaling,40,log2,9,14,randomForestClassifier,5,2,adam,uniform,0.7606837606837606,112.15635684807785
identity,kd_tree,15,gini,1,1,1,1,1,1,1,0,21,invscaling,57,auto,18,17,nnClassifier,3,8,adam,distance,0.5115995115995116,112.1563925971277
relu,auto,20,gini,1,1,1,1,1,1,1,1,11,constant,24,auto,13,26,nnClassifier,4,7,adam,distance,0.525030525030525,398.0034256540239
relu,auto,21,gini,1,1,1,1,1,1,1,1,3,constant,71,auto,18,26,nnClassifier,4,9,adam,distance,0.9218559218559218,398.003488343209
relu,auto,16,gini,1,1,1,1,1,1,1,1,10,constant,47,auto,18,25,nnClassifier,7,7,adam,distance,0.9120879120879121,398.00352711207233
relu,auto,24,gini,1,1,1,1,1,1,1,1,25,constant,24,auto,14,14,nnClassifier,3,5,adam,distance,0.5128205128205128,398.0035650811624
relu,auto,15,gini,1,1,1,1,1,1,1,1,8,constant,33,auto,5,13,nnClassifier,9,8,adam,distance,0.503052503052503,398.00360237108544
relu,auto,24,gini,1,1,1,1,1,1,1,1,27,constant,38,auto,17,5,nnClassifier,5,6,adam,distance,0.5152625152625152,398.0036516902037
relu,auto,14,gini,1,1,1,1,1,1,1,1,4,constant,47,auto,18,13,nnClassifier,4,7,adam,distance,0.9218559218559218,398.00368948909454
relu,auto,14,gini,1,1,1,1,1,1,1,1,19,constant,18,auto,20,15,nnClassifier,5,6,adam,distance,0.9230769230769231,398.00372625817545
relu,auto,16,gini,1,1,1,1,1,1,1,1,15,constant,80,auto,15,10,nnClassifier,4,8,adam,distance,0.9218559218559218,398.0037634971086
relu,auto,20,gini,1,1,1,1,1,1,1,1,4,constant,83,auto,13,32,nnClassifier,3,8,adam,distance,0.5128205128205128,398.0038003870286
relu,auto,16,gini,1,1,1,1,1,1,1,1,4,constant,67,auto,17,10,nnClassifier,3,7,adam,distance,0.9218559218559218,398.00383767602034
relu,auto,13,gini,1,1,1,1,1,1,1,1,32,constant,70,auto,20,17,nnClassifier,3,8,adam,distance,0.9084249084249084,398.00387445511296
relu,auto,12,gini,1,1,1,1,1,1,1,1,2,constant,76,auto,17,23,nnClassifier,3,9,adam,distance,0.9242979242979243,398.00391101418063
relu,auto,12,gini,1,1,1,1,1,1,1,1,5,constant,76,auto,17,12,nnClassifier,4,6,adam,distance,0.5164835164835165,398.00394838419743
relu,auto,12,gini,1,1,1,1,1,1,1,1,4,constant,78,auto,17,15,nnClassifier,2,7,adam,distance,0.9255189255189256,398.0039853830822
relu,auto,16,gini,1,1,1,1,1,1,1,1,8,constant,69,auto,15,24,nnClassifier,3,7,adam,distance,0.9255189255189256,398.0040224720724
relu,auto,13,gini,1,1,1,1,1,1,1,1,8,constant,79,auto,19,14,nnClassifier,6,9,adam,distance,0.9145299145299145,398.0040590520948
relu,auto,16,gini,1,1,1,1,1,1,1,1,24,constant,79,auto,15,31,nnClassifier,3,8,adam,distance,0.5152625152625152,398.00409572105855
relu,auto,13,gini,1,1,1,1,1,1,1,1,32,constant,44,auto,13,16,nnClassifier,3,4,adam,distance,0.9230769230769231,398.0041328300722
relu,auto,15,gini,1,1,1,1,1,1,1,1,17,constant,61,auto,18,13,nnClassifier,2,8,adam,distance,0.5201465201465202,398.0041698392015
relu,auto,16,gini,1,1,1,1,1,1,1,1,7,constant,28,auto,11,22,nnClassifier,5,8,adam,distance,0.5115995115995116,1448.2467429891694
relu,auto,17,gini,1,1,1,1,1,1,1,1,5,constant,75,auto,18,22,nnClassifier,5,6,adam,distance,0.514041514041514,1448.2468037782237
relu,auto,13,gini,1,1,1,1,1,1,1,1,6,constant,51,auto,18,21,nnClassifier,5,6,adam,distance,0.5079365079365079,1448.2468424870167
relu,auto,20,gini,1,1,1,1,1,1,1,1,21,constant,28,auto,16,14,nnClassifier,7,9,adam,distance,0.5091575091575091,1448.2468797860201
