activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,28,gini,1,0,0,1,0,0,1,1,0,0,0,1,10,constant,95,sqrt,20,31,kneighborsClassifier,1,3,sgd,distance,0.7582417582417582
tanh,auto,27,entropy,1,1,1,0,1,0,1,1,0,1,0,0,32,invscaling,92,sqrt,7,39,kneighborsClassifier,8,9,sgd,distance,0.8021978021978022
identity,auto,27,gini,1,0,0,1,0,0,1,0,1,0,0,0,37,invscaling,75,sqrt,20,31,kneighborsClassifier,7,9,sgd,distance,0.7313797313797313
tanh,brute,11,entropy,0,1,1,0,1,0,0,0,0,0,0,1,11,constant,41,sqrt,20,39,kneighborsClassifier,9,1,lbfgs,uniform,0.7948717948717948
logistic,ball_tree,11,gini,0,1,1,0,1,0,0,0,1,0,1,0,29,invscaling,7,sqrt,5,5,randomForestClassifier,8,2,sgd,distance,0.8534798534798534
tanh,kd_tree,31,entropy,1,0,0,0,0,1,1,1,1,1,0,0,13,invscaling,76,log2,18,13,nnClassifier,2,7,adam,distance,0.6056166056166056
relu,brute,29,gini,1,0,1,0,0,1,1,0,1,0,1,1,17,adaptive,71,auto,17,22,randomForestClassifier,6,7,sgd,distance,0.9230769230769231
identity,kd_tree,14,entropy,1,1,1,1,0,1,0,1,0,0,1,1,21,invscaling,31,sqrt,4,27,nnClassifier,1,10,lbfgs,distance,0.5921855921855922
logistic,brute,9,entropy,1,0,0,0,1,1,1,0,0,0,0,1,39,constant,55,sqrt,20,2,randomForestClassifier,2,1,adam,distance,0.9035409035409036
tanh,brute,10,gini,1,0,0,0,1,0,1,0,0,1,1,1,14,invscaling,61,auto,10,17,nnClassifier,5,2,sgd,distance,0.6007326007326007
tanh,brute,11,gini,1,0,0,1,0,0,1,1,0,0,1,1,16,adaptive,47,sqrt,13,5,kneighborsClassifier,7,3,adam,uniform,0.7582417582417582
tanh,ball_tree,15,entropy,1,1,0,1,0,1,0,0,0,1,1,1,35,adaptive,33,log2,19,31,nnClassifier,5,1,sgd,distance,0.5995115995115995
relu,ball_tree,11,gini,1,0,0,0,1,1,1,0,1,1,0,1,29,invscaling,1,sqrt,8,21,randomForestClassifier,7,8,sgd,uniform,0.9120879120879121
tanh,auto,29,entropy,1,0,1,1,0,0,1,0,1,0,0,0,30,invscaling,6,log2,13,17,randomForestClassifier,1,3,sgd,distance,0.8766788766788767
tanh,brute,26,entropy,0,1,0,1,1,1,0,0,0,0,0,0,38,adaptive,29,log2,9,38,kneighborsClassifier,3,3,adam,distance,0.800976800976801
tanh,brute,32,entropy,1,1,0,1,0,0,1,0,0,0,1,1,7,invscaling,4,auto,3,12,kneighborsClassifier,1,8,lbfgs,uniform,0.7667887667887668
logistic,brute,17,entropy,1,1,0,1,0,1,0,1,0,0,1,1,39,constant,16,sqrt,11,9,randomForestClassifier,2,10,sgd,uniform,0.9035409035409036
tanh,auto,19,gini,0,0,0,0,1,1,0,1,0,0,1,0,21,invscaling,65,sqrt,5,32,nnClassifier,4,5,lbfgs,distance,0.5860805860805861
logistic,brute,31,entropy,0,0,1,0,1,0,1,1,0,0,0,1,16,adaptive,57,sqrt,8,39,nnClassifier,10,3,sgd,distance,0.5836385836385837
identity,auto,31,entropy,1,0,0,1,0,1,1,1,0,1,0,0,7,invscaling,80,log2,13,25,nnClassifier,6,1,sgd,uniform,0.5885225885225885
identity,ball_tree,24,gini,1,1,0,0,0,0,1,1,1,1,1,0,40,invscaling,86,auto,12,5,kneighborsClassifier,8,8,sgd,uniform,0.7374847374847375
tanh,kd_tree,11,entropy,0,1,1,1,0,0,0,1,0,0,1,1,38,invscaling,1,sqrt,8,24,randomForestClassifier,6,5,sgd,distance,0.8656898656898657
relu,brute,11,entropy,1,1,0,0,1,1,1,1,1,1,0,1,2,adaptive,4,log2,18,11,randomForestClassifier,5,3,sgd,uniform,0.9047619047619048
tanh,kd_tree,16,entropy,1,1,0,1,0,1,1,0,0,1,0,0,33,invscaling,2,sqrt,17,11,kneighborsClassifier,2,9,sgd,distance,0.8595848595848596
relu,ball_tree,28,gini,1,0,0,1,1,0,0,0,1,0,0,1,21,invscaling,37,log2,12,5,randomForestClassifier,6,2,lbfgs,distance,0.8620268620268621
relu,auto,9,gini,1,1,1,0,1,1,0,0,1,1,1,0,16,constant,57,sqrt,15,31,kneighborsClassifier,2,10,adam,distance,0.7741147741147741
identity,auto,29,gini,0,0,1,1,1,0,0,1,1,1,1,0,9,adaptive,53,log2,19,11,nnClassifier,5,7,adam,uniform,0.5702075702075702
relu,auto,12,entropy,0,1,0,1,0,1,1,0,0,1,0,0,5,constant,43,auto,16,18,nnClassifier,2,4,adam,uniform,0.6166056166056166
tanh,kd_tree,26,entropy,0,0,0,1,0,0,1,0,0,1,1,0,23,invscaling,41,log2,11,35,randomForestClassifier,7,1,sgd,distance,0.8778998778998779
tanh,auto,21,entropy,1,1,0,0,0,0,0,0,1,0,1,1,17,constant,80,auto,13,27,kneighborsClassifier,5,4,sgd,uniform,0.73992673992674
tanh,ball_tree,21,entropy,0,1,1,0,1,1,1,0,1,1,0,1,36,invscaling,21,log2,19,27,randomForestClassifier,3,1,adam,distance,0.9291819291819292
relu,ball_tree,26,gini,1,0,1,0,1,0,1,0,0,1,0,0,17,invscaling,54,sqrt,20,19,randomForestClassifier,2,9,adam,distance,0.9120879120879121
tanh,brute,13,gini,0,0,1,0,0,0,1,0,1,0,1,1,32,invscaling,39,log2,5,5,nnClassifier,1,4,sgd,distance,0.5506715506715507
tanh,kd_tree,24,entropy,1,1,1,0,1,0,0,1,1,1,0,0,6,invscaling,69,log2,2,9,kneighborsClassifier,1,7,adam,distance,0.7533577533577533
tanh,brute,31,gini,1,0,0,1,0,0,0,0,1,0,1,0,26,constant,62,sqrt,3,31,kneighborsClassifier,3,10,adam,uniform,0.7106227106227107
logistic,auto,32,entropy,1,1,0,0,0,1,0,0,1,0,1,0,34,invscaling,47,sqrt,7,35,randomForestClassifier,8,7,adam,distance,0.8815628815628815
identity,auto,16,entropy,1,1,0,1,0,0,0,0,1,1,1,1,9,constant,54,log2,3,5,kneighborsClassifier,3,10,sgd,uniform,0.7484737484737485
logistic,auto,28,gini,0,1,0,1,0,0,0,1,1,1,1,1,10,adaptive,55,auto,2,12,randomForestClassifier,1,8,sgd,distance,0.8437118437118437
logistic,auto,14,gini,0,0,0,0,0,1,1,0,1,1,1,1,32,invscaling,69,auto,5,20,randomForestClassifier,3,5,adam,distance,0.8974358974358975
relu,auto,30,gini,1,1,0,0,1,1,0,0,0,0,1,1,37,invscaling,50,auto,16,8,randomForestClassifier,5,4,lbfgs,uniform,0.9047619047619048
tanh,ball_tree,25,gini,1,0,1,0,1,1,1,1,0,1,1,0,22,adaptive,92,sqrt,7,4,nnClassifier,7,5,adam,distance,0.5970695970695971
tanh,auto,15,entropy,0,1,1,0,0,0,0,0,1,1,0,1,35,adaptive,96,sqrt,9,18,kneighborsClassifier,10,10,lbfgs,uniform,0.7582417582417582
identity,kd_tree,21,entropy,1,0,1,0,0,1,0,0,0,1,0,0,26,invscaling,33,log2,15,27,randomForestClassifier,7,1,sgd,distance,0.9181929181929182
logistic,kd_tree,29,gini,1,0,0,0,0,0,1,0,0,0,1,1,26,adaptive,29,sqrt,5,32,kneighborsClassifier,10,1,adam,uniform,0.7411477411477412
relu,auto,26,gini,1,1,1,1,1,0,1,0,1,1,1,1,35,constant,23,log2,16,22,kneighborsClassifier,2,2,sgd,uniform,0.757020757020757
identity,kd_tree,18,entropy,1,1,0,1,1,0,0,1,0,1,1,1,38,adaptive,29,sqrt,16,10,nnClassifier,9,9,adam,uniform,0.6056166056166056
identity,auto,15,entropy,1,1,0,1,1,1,1,0,0,1,1,1,35,adaptive,97,auto,16,38,nnClassifier,10,3,adam,distance,0.6166056166056166
tanh,auto,31,gini,0,1,0,0,0,0,0,0,0,0,0,0,17,adaptive,47,auto,9,37,nnClassifier,7,10,lbfgs,distance,0.6642246642246642
logistic,kd_tree,12,gini,0,0,1,1,0,0,1,0,0,0,0,1,25,adaptive,4,sqrt,13,24,kneighborsClassifier,3,1,sgd,uniform,0.7887667887667887
identity,ball_tree,22,gini,1,1,1,1,0,1,0,0,1,1,0,0,33,adaptive,41,sqrt,12,26,nnClassifier,10,4,adam,uniform,0.5873015873015873
relu,ball_tree,26,gini,0,0,1,0,0,1,1,1,0,1,0,1,2,constant,77,sqrt,13,11,nnClassifier,1,8,sgd,uniform,0.5787545787545788
relu,ball_tree,30,gini,0,1,0,1,1,0,0,1,1,1,1,1,38,constant,41,auto,4,39,randomForestClassifier,4,8,lbfgs,distance,0.8461538461538461
logistic,ball_tree,28,entropy,1,1,0,1,1,0,0,1,1,1,0,1,15,adaptive,25,sqrt,15,14,kneighborsClassifier,4,1,lbfgs,distance,0.7496947496947497
tanh,kd_tree,26,entropy,0,0,0,0,1,0,0,1,0,1,0,1,27,adaptive,44,sqrt,14,34,randomForestClassifier,2,8,sgd,uniform,0.8547008547008547
relu,brute,19,gini,0,0,0,1,1,0,0,0,1,0,1,1,37,invscaling,81,sqrt,3,31,randomForestClassifier,2,6,sgd,uniform,0.8278388278388278
logistic,brute,13,entropy,0,1,1,0,0,0,0,0,1,1,0,1,31,adaptive,52,auto,3,22,kneighborsClassifier,6,2,sgd,uniform,0.7557997557997558
identity,kd_tree,30,gini,0,0,1,0,1,0,1,0,0,1,0,0,16,constant,39,auto,13,16,randomForestClassifier,1,10,adam,distance,0.8998778998778999
relu,brute,25,entropy,1,1,1,0,1,1,1,0,0,0,0,0,10,invscaling,31,auto,18,17,randomForestClassifier,10,9,lbfgs,uniform,0.8864468864468864
relu,auto,22,entropy,0,1,1,1,1,0,1,1,0,1,1,1,33,constant,59,sqrt,3,23,kneighborsClassifier,8,3,lbfgs,uniform,0.7680097680097681
identity,kd_tree,10,entropy,1,1,1,1,0,1,0,0,0,1,0,1,20,adaptive,4,log2,14,34,randomForestClassifier,4,1,lbfgs,uniform,0.9120879120879121
identity,kd_tree,28,gini,0,1,0,0,1,0,0,0,1,0,1,0,23,invscaling,41,auto,10,23,kneighborsClassifier,4,7,sgd,distance,0.6947496947496947
logistic,kd_tree,32,gini,1,0,1,0,0,1,0,1,1,1,0,1,40,adaptive,80,sqrt,15,31,randomForestClassifier,3,8,sgd,uniform,0.9267399267399268
relu,kd_tree,13,gini,1,0,0,0,0,0,1,1,0,0,0,1,4,constant,63,auto,10,28,kneighborsClassifier,3,8,sgd,uniform,0.778998778998779
logistic,brute,26,gini,0,1,1,0,0,1,0,1,1,0,1,1,2,invscaling,70,sqrt,9,17,randomForestClassifier,2,1,adam,distance,0.9340659340659341
tanh,kd_tree,21,gini,0,1,1,1,1,1,0,1,1,0,0,1,4,adaptive,42,sqrt,11,30,randomForestClassifier,4,6,lbfgs,uniform,0.9340659340659341
identity,ball_tree,15,gini,1,0,1,1,1,0,1,1,1,1,0,1,36,invscaling,44,sqrt,11,21,randomForestClassifier,3,6,lbfgs,distance,0.9133089133089133
identity,auto,9,gini,1,1,0,0,1,0,1,0,1,1,0,1,35,invscaling,63,auto,4,20,nnClassifier,6,1,adam,distance,0.6043956043956044
tanh,auto,13,entropy,1,0,0,0,0,0,0,1,0,1,1,1,20,adaptive,27,log2,4,29,kneighborsClassifier,1,2,adam,distance,0.7435897435897436
logistic,brute,14,entropy,1,1,0,0,1,0,1,0,1,1,1,0,22,adaptive,76,sqrt,11,18,nnClassifier,6,7,adam,uniform,0.6043956043956044
relu,kd_tree,9,entropy,1,0,1,1,1,1,0,0,0,1,0,1,14,invscaling,24,log2,15,22,kneighborsClassifier,10,10,lbfgs,uniform,0.8107448107448108
tanh,brute,19,entropy,0,1,0,1,0,1,0,0,1,1,1,0,21,constant,5,auto,2,9,nnClassifier,3,3,adam,uniform,0.5958485958485958
tanh,ball_tree,18,entropy,1,1,0,1,0,1,1,1,0,0,1,1,33,adaptive,89,sqrt,2,29,nnClassifier,7,5,adam,uniform,0.6019536019536019
tanh,ball_tree,22,entropy,0,1,1,0,1,0,1,0,0,0,0,1,30,adaptive,79,sqrt,12,23,randomForestClassifier,2,7,adam,distance,0.9084249084249084
identity,brute,11,gini,1,1,1,1,1,1,1,1,0,1,0,1,4,invscaling,53,log2,9,23,nnClassifier,4,9,lbfgs,distance,0.5958485958485958
tanh,auto,16,gini,0,1,1,1,0,1,1,1,0,0,0,1,18,adaptive,25,log2,11,29,randomForestClassifier,1,6,lbfgs,uniform,0.9242979242979243
relu,auto,22,gini,1,1,1,0,0,0,0,1,1,0,0,0,21,adaptive,43,sqrt,5,19,nnClassifier,10,3,adam,uniform,0.575091575091575
tanh,ball_tree,15,entropy,1,1,0,1,0,1,1,0,0,0,1,0,4,adaptive,50,log2,7,11,randomForestClassifier,6,3,lbfgs,uniform,0.8986568986568987
relu,auto,14,entropy,1,1,1,0,0,1,0,0,1,1,0,0,20,invscaling,23,log2,19,8,kneighborsClassifier,8,10,sgd,distance,0.7753357753357754
relu,ball_tree,27,entropy,0,0,0,0,1,0,1,1,0,0,0,0,22,invscaling,46,sqrt,13,33,nnClassifier,10,9,sgd,distance,0.6007326007326007
identity,auto,27,entropy,1,0,0,0,0,1,1,0,0,0,1,1,37,adaptive,28,log2,5,2,randomForestClassifier,5,5,adam,distance,0.8815628815628815
tanh,auto,19,gini,0,0,0,0,1,0,0,0,1,1,0,0,25,constant,99,sqrt,11,27,kneighborsClassifier,8,9,adam,distance,0.7155067155067155
tanh,brute,32,entropy,0,1,1,1,1,0,0,0,1,0,0,0,40,adaptive,29,log2,12,33,nnClassifier,6,4,adam,distance,0.5836385836385837
identity,auto,23,gini,0,1,1,0,0,1,1,0,0,0,0,0,5,constant,58,sqrt,2,9,nnClassifier,10,6,sgd,uniform,0.5958485958485958
relu,ball_tree,21,entropy,0,1,1,1,0,0,0,1,1,0,0,1,6,adaptive,83,auto,2,28,randomForestClassifier,1,7,sgd,distance,0.873015873015873
