activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,13,entropy,1,0,1,1,0,1,1,0,1,1,0,1,8,constant,68,auto,8,32,nnClassifier,3,6,sgd,distance,0.5714285714285714
identity,auto,13,entropy,0,1,1,0,0,0,0,1,1,1,1,1,38,adaptive,50,auto,13,30,randomForestClassifier,9,1,adam,distance,0.8485958485958486
tanh,kd_tree,22,entropy,1,0,1,1,0,1,0,0,1,1,1,0,11,invscaling,68,log2,17,36,randomForestClassifier,10,6,adam,uniform,0.9120879120879121
tanh,brute,16,entropy,1,0,1,1,1,0,1,0,0,0,0,0,33,constant,36,sqrt,2,25,randomForestClassifier,1,1,sgd,distance,0.8669108669108669
identity,brute,26,gini,0,1,0,0,0,1,0,1,1,1,0,0,30,invscaling,14,auto,5,11,randomForestClassifier,6,4,lbfgs,uniform,0.8974358974358975
logistic,ball_tree,19,gini,0,0,0,0,0,0,0,1,0,1,0,1,2,adaptive,81,auto,5,9,kneighborsClassifier,6,1,sgd,distance,0.7228327228327228
logistic,brute,22,gini,0,0,0,0,1,1,0,1,0,0,1,0,16,constant,67,sqrt,12,19,kneighborsClassifier,10,3,sgd,uniform,0.7228327228327228
logistic,kd_tree,20,gini,0,1,0,1,1,1,1,0,0,0,0,0,9,invscaling,36,sqrt,15,12,randomForestClassifier,7,4,lbfgs,uniform,0.8681318681318682
tanh,auto,31,entropy,1,0,1,1,1,1,1,0,0,1,1,0,23,invscaling,14,sqrt,3,2,kneighborsClassifier,4,2,adam,uniform,0.8034188034188035
identity,kd_tree,28,gini,1,0,1,0,0,1,1,0,1,0,0,1,37,constant,73,log2,3,27,randomForestClassifier,3,2,sgd,uniform,0.9255189255189256
tanh,brute,8,entropy,0,0,1,1,0,1,1,0,0,1,1,1,40,constant,59,auto,9,39,nnClassifier,2,4,sgd,uniform,0.5836385836385837
logistic,brute,26,gini,1,1,0,1,1,1,1,1,0,0,1,0,30,constant,91,sqrt,7,4,kneighborsClassifier,7,7,adam,distance,0.7411477411477412
relu,brute,21,entropy,1,0,1,0,0,1,0,1,1,1,0,1,35,adaptive,68,sqrt,10,15,kneighborsClassifier,9,5,adam,distance,0.78998778998779
logistic,kd_tree,31,gini,0,0,0,1,1,1,0,0,0,0,1,1,23,adaptive,65,sqrt,7,21,kneighborsClassifier,9,2,sgd,uniform,0.7838827838827839
logistic,auto,11,entropy,0,0,0,0,1,0,0,0,0,0,0,0,28,invscaling,13,sqrt,6,30,nnClassifier,4,4,adam,uniform,0.6214896214896215
identity,kd_tree,24,entropy,0,0,1,1,1,1,1,1,1,1,1,1,35,constant,74,log2,13,28,kneighborsClassifier,4,8,lbfgs,distance,0.800976800976801
tanh,brute,22,entropy,1,0,1,0,0,0,1,0,0,0,1,1,27,adaptive,15,log2,2,27,randomForestClassifier,2,4,sgd,distance,0.8962148962148963
identity,auto,13,gini,1,1,0,0,0,1,0,0,1,1,0,1,11,constant,22,log2,13,11,nnClassifier,3,5,lbfgs,distance,0.5653235653235653
relu,ball_tree,16,gini,1,1,0,1,1,1,0,0,1,1,1,0,12,adaptive,70,sqrt,10,23,nnClassifier,9,6,adam,uniform,0.5677655677655677
logistic,ball_tree,26,gini,0,1,1,0,0,0,1,0,0,1,1,0,21,constant,89,auto,15,16,randomForestClassifier,9,1,sgd,distance,0.8742368742368742
relu,ball_tree,8,gini,0,0,0,0,1,1,0,1,1,0,1,0,23,invscaling,98,sqrt,4,38,randomForestClassifier,8,7,sgd,distance,0.905982905982906
relu,ball_tree,18,gini,1,1,1,1,0,0,0,0,1,1,1,1,12,adaptive,14,sqrt,4,18,randomForestClassifier,8,4,lbfgs,distance,0.8742368742368742
tanh,auto,13,gini,0,0,0,1,1,1,1,0,0,1,1,1,4,constant,74,auto,9,40,kneighborsClassifier,9,4,lbfgs,uniform,0.7936507936507936
logistic,kd_tree,17,entropy,0,1,1,1,1,1,1,1,0,1,1,1,26,invscaling,73,sqrt,5,8,randomForestClassifier,10,3,adam,distance,0.927960927960928
relu,brute,16,entropy,1,1,0,0,0,1,1,1,0,1,0,0,5,invscaling,26,log2,5,31,randomForestClassifier,5,4,sgd,distance,0.8864468864468864
logistic,kd_tree,15,entropy,1,1,0,1,0,0,0,0,0,0,0,1,15,invscaling,98,log2,19,7,kneighborsClassifier,10,1,lbfgs,distance,0.7765567765567766
relu,kd_tree,14,entropy,1,1,1,1,1,0,1,1,1,1,0,0,40,invscaling,36,auto,11,38,randomForestClassifier,1,5,lbfgs,uniform,0.9084249084249084
tanh,brute,25,gini,1,0,1,1,1,0,1,0,0,1,0,1,33,invscaling,5,sqrt,2,14,randomForestClassifier,4,6,lbfgs,distance,0.9035409035409036
identity,auto,19,gini,0,0,0,1,1,1,0,1,1,0,0,0,17,invscaling,52,log2,3,12,randomForestClassifier,6,3,adam,distance,0.884004884004884
identity,brute,8,gini,0,1,1,0,1,0,0,1,0,0,1,0,17,constant,90,sqrt,8,3,kneighborsClassifier,7,5,adam,uniform,0.7838827838827839
tanh,ball_tree,24,entropy,0,0,1,1,1,0,1,1,0,1,0,1,3,constant,16,log2,18,3,nnClassifier,10,8,lbfgs,distance,0.5726495726495726
tanh,ball_tree,13,entropy,0,1,1,1,0,1,0,0,0,1,1,0,8,constant,47,auto,4,7,randomForestClassifier,8,2,sgd,distance,0.9120879120879121
relu,kd_tree,17,gini,0,1,1,0,1,0,1,1,1,0,1,1,33,adaptive,48,auto,14,11,randomForestClassifier,7,8,adam,uniform,0.9047619047619048
logistic,auto,12,entropy,0,1,1,1,1,1,1,0,1,0,1,0,20,invscaling,83,sqrt,20,39,randomForestClassifier,6,8,sgd,distance,0.9181929181929182
identity,auto,22,gini,0,0,0,1,0,1,1,0,0,1,0,0,18,invscaling,54,log2,3,27,kneighborsClassifier,5,10,lbfgs,distance,0.8827838827838828
logistic,brute,20,entropy,0,1,1,0,1,1,0,1,1,0,1,1,14,constant,14,log2,2,18,nnClassifier,8,3,adam,distance,0.5885225885225885
identity,kd_tree,21,entropy,1,1,0,0,1,1,0,1,1,0,1,0,39,invscaling,97,log2,8,32,kneighborsClassifier,2,2,adam,uniform,0.7289377289377289
