activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,14,entropy,1,0,0,0,1,1,0,0,0,0,0,0,34,invscaling,69,auto,10,19,randomForestClassifier,10,2,lbfgs,uniform,0.8656898656898657
tanh,brute,24,entropy,0,1,0,0,0,1,0,0,0,0,0,1,27,constant,71,log2,8,2,nnClassifier,1,2,lbfgs,uniform,0.6117216117216118
tanh,kd_tree,10,gini,1,0,0,1,0,1,1,1,0,0,1,0,36,adaptive,15,auto,18,25,kneighborsClassifier,3,9,lbfgs,uniform,0.7667887667887668
tanh,kd_tree,22,gini,0,0,0,0,0,0,1,1,0,1,1,0,16,adaptive,78,auto,14,27,nnClassifier,10,2,sgd,uniform,0.5934065934065934
tanh,auto,30,gini,0,0,1,1,0,0,0,1,1,0,1,1,24,invscaling,33,auto,16,8,randomForestClassifier,8,4,adam,distance,0.8693528693528694
relu,brute,29,gini,1,1,0,1,1,1,0,0,0,1,0,0,30,constant,92,auto,10,26,nnClassifier,10,9,lbfgs,distance,0.6056166056166056
relu,auto,18,gini,0,1,1,0,0,0,0,1,0,1,1,1,16,constant,15,log2,10,37,nnClassifier,2,5,adam,uniform,0.6092796092796092
relu,kd_tree,19,entropy,0,0,0,0,1,1,1,1,0,0,1,0,28,adaptive,54,sqrt,14,19,randomForestClassifier,9,3,adam,uniform,0.9035409035409036
identity,auto,12,entropy,1,1,1,0,0,1,1,0,1,1,1,1,27,constant,82,auto,12,8,randomForestClassifier,3,6,lbfgs,distance,0.9096459096459096
tanh,brute,24,entropy,0,0,1,1,0,0,0,1,1,1,0,0,9,adaptive,96,auto,11,23,nnClassifier,6,5,adam,distance,0.6166056166056166
relu,ball_tree,19,entropy,0,1,1,1,1,0,0,0,1,0,0,1,37,invscaling,90,log2,10,34,nnClassifier,1,10,sgd,uniform,0.5323565323565324
logistic,auto,28,entropy,1,1,0,0,0,0,0,1,1,1,1,1,32,invscaling,79,auto,14,5,randomForestClassifier,6,8,sgd,distance,0.8595848595848596
identity,auto,30,entropy,0,0,1,0,1,1,1,1,1,0,1,0,23,constant,10,log2,14,11,nnClassifier,9,4,sgd,uniform,0.6019536019536019
tanh,ball_tree,25,entropy,1,0,0,0,0,1,0,0,0,1,0,1,38,adaptive,49,log2,4,18,nnClassifier,7,7,sgd,distance,0.612942612942613
relu,ball_tree,12,gini,0,0,1,1,1,1,1,1,0,1,1,0,21,invscaling,11,sqrt,3,14,nnClassifier,1,4,sgd,distance,0.7081807081807082
