activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,13,gini,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,34,constant,70,sqrt,18,3,kneighborsClassifier,9,7,sgd,uniform,0.6214896214896215
identity,kd_tree,14,gini,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,24,constant,45,log2,4,22,kneighborsClassifier,2,7,adam,uniform,0.5042735042735043
logistic,auto,17,entropy,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,6,adaptive,30,log2,7,3,kneighborsClassifier,7,8,lbfgs,distance,0.6227106227106227
relu,auto,19,entropy,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,37,adaptive,69,sqrt,5,9,kneighborsClassifier,2,6,lbfgs,distance,0.6153846153846154
logistic,kd_tree,11,entropy,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,5,invscaling,14,auto,8,3,nnClassifier,7,2,lbfgs,distance,0.47496947496947495
tanh,auto,25,entropy,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,2,constant,80,log2,6,22,randomForestClassifier,9,7,adam,distance,0.8791208791208791
logistic,kd_tree,25,entropy,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,18,invscaling,24,log2,9,5,randomForestClassifier,10,3,adam,distance,0.4713064713064713
identity,kd_tree,23,entropy,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,28,adaptive,75,log2,11,3,nnClassifier,6,8,adam,distance,0.3797313797313797
identity,kd_tree,10,gini,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,11,invscaling,86,sqrt,2,17,randomForestClassifier,1,10,adam,uniform,0.6544566544566545
tanh,ball_tree,15,gini,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,26,constant,56,auto,4,7,kneighborsClassifier,8,9,sgd,distance,0.6068376068376068
relu,ball_tree,15,gini,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,40,constant,54,log2,8,16,randomForestClassifier,6,10,adam,uniform,0.873015873015873
