activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,23,entropy,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,21,invscaling,90,sqrt,6,9,kneighborsClassifier,10,8,lbfgs,distance,0.5311355311355311
logistic,brute,20,gini,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,6,invscaling,44,sqrt,4,24,randomForestClassifier,3,1,sgd,uniform,0.8925518925518926
tanh,auto,15,gini,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,3,constant,52,sqrt,15,27,kneighborsClassifier,9,5,adam,uniform,0.48473748473748474
tanh,kd_tree,26,gini,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,7,invscaling,31,auto,2,11,nnClassifier,5,4,sgd,distance,0.4163614163614164
tanh,brute,9,gini,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,25,adaptive,83,log2,20,27,kneighborsClassifier,3,1,adam,distance,0.5079365079365079
logistic,auto,31,entropy,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,20,invscaling,70,sqrt,19,34,kneighborsClassifier,5,3,sgd,uniform,0.5665445665445665
identity,kd_tree,13,gini,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,5,constant,13,auto,4,26,kneighborsClassifier,8,9,adam,distance,0.5934065934065934
relu,ball_tree,16,entropy,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,6,invscaling,86,sqrt,3,5,nnClassifier,6,6,adam,distance,0.5274725274725275
relu,brute,31,entropy,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,26,adaptive,46,auto,8,10,kneighborsClassifier,10,8,lbfgs,distance,0.6056166056166056
logistic,kd_tree,22,gini,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,23,invscaling,32,log2,12,15,kneighborsClassifier,9,6,adam,uniform,0.5836385836385837
logistic,ball_tree,11,entropy,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,3,invscaling,59,auto,10,36,randomForestClassifier,1,4,lbfgs,uniform,0.4908424908424908
logistic,kd_tree,23,entropy,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,9,adaptive,43,auto,9,19,randomForestClassifier,3,3,adam,uniform,0.514041514041514
logistic,kd_tree,21,gini,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,18,constant,24,sqrt,17,16,kneighborsClassifier,6,5,adam,distance,0.4835164835164835
tanh,ball_tree,23,entropy,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,8,constant,18,auto,15,8,randomForestClassifier,4,9,sgd,distance,0.5177045177045178
identity,brute,23,entropy,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,20,invscaling,73,sqrt,5,27,nnClassifier,3,1,sgd,uniform,0.4700854700854701
logistic,kd_tree,16,entropy,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,36,constant,47,auto,18,22,kneighborsClassifier,4,4,sgd,distance,0.5091575091575091
relu,kd_tree,13,gini,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,7,invscaling,59,log2,15,28,nnClassifier,7,3,adam,distance,0.4981684981684982
relu,kd_tree,29,gini,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,16,invscaling,62,auto,18,30,kneighborsClassifier,3,4,lbfgs,distance,0.47985347985347987
identity,auto,17,gini,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,19,adaptive,46,sqrt,2,19,kneighborsClassifier,1,1,lbfgs,distance,0.5567765567765568
tanh,kd_tree,27,entropy,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,40,constant,93,sqrt,19,13,kneighborsClassifier,8,1,adam,distance,0.5531135531135531
logistic,brute,20,gini,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,6,invscaling,44,sqrt,4,24,randomForestClassifier,3,1,sgd,uniform,0.8925518925518926
relu,brute,31,entropy,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,26,adaptive,46,auto,8,10,kneighborsClassifier,10,8,lbfgs,distance,0.6056166056166056
identity,kd_tree,13,gini,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,5,constant,13,auto,4,26,kneighborsClassifier,8,9,adam,distance,0.5934065934065934
logistic,kd_tree,22,gini,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,23,invscaling,32,log2,12,15,kneighborsClassifier,9,6,adam,uniform,0.5836385836385837
logistic,auto,31,entropy,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,20,invscaling,70,sqrt,19,34,kneighborsClassifier,5,3,sgd,uniform,0.5665445665445665
identity,auto,17,gini,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,19,adaptive,46,sqrt,2,19,kneighborsClassifier,1,1,lbfgs,distance,0.5567765567765568
tanh,kd_tree,27,entropy,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,40,constant,93,sqrt,19,13,kneighborsClassifier,8,1,adam,distance,0.5531135531135531
relu,brute,23,entropy,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,21,invscaling,90,sqrt,6,9,kneighborsClassifier,10,8,lbfgs,distance,0.5311355311355311
relu,ball_tree,16,entropy,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,6,invscaling,86,sqrt,3,5,nnClassifier,6,6,adam,distance,0.5274725274725275
tanh,ball_tree,23,entropy,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,8,constant,18,auto,15,8,randomForestClassifier,4,9,sgd,distance,0.5177045177045178
logistic,brute,20,gini,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,26,adaptive,46,auto,8,10,kneighborsClassifier,10,1,lbfgs,distance,0.575091575091575
relu,brute,31,entropy,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,5,constant,13,sqrt,4,26,kneighborsClassifier,8,9,adam,distance,0.6105006105006106
identity,kd_tree,13,entropy,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,23,invscaling,32,log2,12,15,nnClassifier,9,6,adam,uniform,0.5177045177045178
logistic,kd_tree,22,gini,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,20,invscaling,70,sqrt,19,34,kneighborsClassifier,5,3,sgd,uniform,0.5653235653235653
logistic,auto,31,entropy,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,19,adaptive,46,sqrt,2,19,kneighborsClassifier,1,1,lbfgs,distance,0.5543345543345544
identity,auto,17,gini,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,40,constant,93,sqrt,19,13,kneighborsClassifier,8,1,lbfgs,distance,0.5470085470085471
tanh,kd_tree,27,entropy,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,21,invscaling,90,sqrt,6,9,kneighborsClassifier,10,8,lbfgs,distance,0.5946275946275946
relu,brute,23,entropy,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,6,invscaling,86,sqrt,3,5,nnClassifier,6,6,adam,distance,0.4627594627594628
tanh,ball_tree,16,entropy,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,8,constant,18,auto,5,8,randomForestClassifier,4,9,sgd,distance,0.8974358974358975
tanh,ball_tree,23,entropy,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,6,invscaling,44,sqrt,4,24,randomForestClassifier,3,1,sgd,uniform,0.8913308913308914
tanh,ball_tree,16,entropy,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,8,constant,18,auto,5,8,randomForestClassifier,4,9,sgd,distance,0.8974358974358975
logistic,brute,20,gini,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,6,invscaling,44,sqrt,4,24,randomForestClassifier,3,1,sgd,uniform,0.8925518925518926
tanh,ball_tree,23,entropy,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,6,invscaling,44,sqrt,4,24,randomForestClassifier,3,1,sgd,uniform,0.8913308913308914
relu,brute,31,entropy,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,5,constant,13,sqrt,4,26,kneighborsClassifier,8,9,adam,distance,0.6105006105006106
relu,brute,31,entropy,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,26,adaptive,46,auto,8,10,kneighborsClassifier,10,8,lbfgs,distance,0.6056166056166056
tanh,kd_tree,27,entropy,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,21,invscaling,90,sqrt,6,9,kneighborsClassifier,10,8,lbfgs,distance,0.5946275946275946
identity,kd_tree,13,gini,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,5,constant,13,auto,4,26,kneighborsClassifier,8,9,adam,distance,0.5934065934065934
logistic,kd_tree,22,gini,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,23,invscaling,32,log2,12,15,kneighborsClassifier,9,6,adam,uniform,0.5836385836385837
logistic,brute,20,gini,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,26,adaptive,46,auto,8,10,kneighborsClassifier,10,1,lbfgs,distance,0.575091575091575
logistic,auto,31,entropy,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,20,invscaling,70,sqrt,19,34,kneighborsClassifier,5,3,sgd,uniform,0.5665445665445665
tanh,ball_tree,16,entropy,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,6,invscaling,44,sqrt,17,24,randomForestClassifier,3,1,sgd,uniform,0.8925518925518926
logistic,brute,32,gini,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,6,invscaling,44,sqrt,4,24,randomForestClassifier,3,1,sgd,uniform,0.8925518925518926
