activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,24,gini,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,32,invscaling,45,sqrt,3,15,kneighborsClassifier,2,8,adam,distance,0.5982905982905983
relu,ball_tree,18,gini,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,9,constant,33,sqrt,9,29,randomForestClassifier,3,5,sgd,distance,0.6495726495726496
relu,auto,26,entropy,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,40,invscaling,12,sqrt,19,25,kneighborsClassifier,2,1,adam,distance,0.5164835164835165
relu,auto,20,gini,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,36,invscaling,3,log2,20,37,kneighborsClassifier,8,10,lbfgs,distance,0.6105006105006106
logistic,brute,8,gini,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,35,adaptive,84,log2,6,8,nnClassifier,9,4,adam,distance,0.5286935286935287
identity,brute,31,gini,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,20,invscaling,89,log2,13,36,nnClassifier,3,5,adam,distance,0.4993894993894994
logistic,auto,26,entropy,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,23,invscaling,50,auto,9,22,nnClassifier,5,8,lbfgs,distance,0.5042735042735043
tanh,kd_tree,19,entropy,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,23,constant,38,sqrt,10,2,randomForestClassifier,10,9,adam,distance,0.8754578754578755
identity,ball_tree,25,gini,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,17,adaptive,34,log2,13,37,randomForestClassifier,4,8,adam,distance,0.6422466422466423
relu,ball_tree,12,entropy,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,15,constant,39,auto,9,9,kneighborsClassifier,9,7,lbfgs,distance,0.4896214896214896
relu,ball_tree,29,gini,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,28,constant,95,sqrt,2,30,randomForestClassifier,8,9,lbfgs,uniform,0.5201465201465202
relu,auto,28,entropy,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,37,adaptive,1,log2,14,9,kneighborsClassifier,1,8,sgd,uniform,0.6398046398046398
identity,auto,12,entropy,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,38,adaptive,52,auto,20,3,nnClassifier,10,4,sgd,distance,0.518925518925519
relu,auto,10,gini,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,32,adaptive,26,auto,18,28,nnClassifier,10,10,adam,uniform,0.5103785103785103
tanh,brute,29,gini,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,19,adaptive,89,log2,15,16,randomForestClassifier,6,1,sgd,distance,0.6483516483516484
identity,brute,19,gini,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,28,constant,92,log2,10,9,kneighborsClassifier,6,5,lbfgs,distance,0.612942612942613
logistic,auto,8,gini,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,2,adaptive,41,auto,11,20,randomForestClassifier,9,9,sgd,uniform,0.4932844932844933
relu,auto,15,gini,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,21,constant,79,sqrt,2,2,randomForestClassifier,9,4,lbfgs,uniform,0.4945054945054945
tanh,ball_tree,24,entropy,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,11,invscaling,22,log2,19,19,kneighborsClassifier,3,1,sgd,distance,0.6031746031746031
relu,kd_tree,14,gini,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,18,constant,12,sqrt,7,29,randomForestClassifier,10,7,sgd,uniform,0.5018315018315018
tanh,kd_tree,19,entropy,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,23,constant,38,sqrt,10,2,randomForestClassifier,10,9,adam,distance,0.8754578754578755
