activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,23,gini,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,17,constant,90,sqrt,15,23,kneighborsClassifier,6,3,adam,uniform,0.6031746031746031
identity,brute,12,entropy,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,4,adaptive,79,sqrt,6,18,kneighborsClassifier,6,3,lbfgs,distance,0.5934065934065934
identity,auto,23,gini,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,15,invscaling,94,sqrt,2,39,kneighborsClassifier,4,2,adam,distance,0.590964590964591
identity,auto,18,gini,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,17,constant,90,sqrt,15,23,kneighborsClassifier,6,3,adam,uniform,0.5848595848595849
tanh,auto,18,gini,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,8,invscaling,66,sqrt,14,22,kneighborsClassifier,4,3,sgd,uniform,0.5836385836385837
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,sgd,distance,0.6471306471306472
logistic,kd_tree,23,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6471306471306472
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,2,invscaling,7,sqrt,15,5,randomForestClassifier,4,4,lbfgs,distance,0.5225885225885226
tanh,brute,14,entropy,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,14,invscaling,7,sqrt,15,5,randomForestClassifier,4,4,lbfgs,distance,0.6446886446886447
logistic,kd_tree,25,gini,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,17,constant,90,sqrt,15,23,kneighborsClassifier,6,3,sgd,uniform,0.7301587301587301
identity,auto,23,gini,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,4,constant,79,sqrt,6,18,kneighborsClassifier,6,3,lbfgs,distance,0.6007326007326007
identity,brute,12,entropy,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,15,invscaling,94,sqrt,2,39,kneighborsClassifier,4,2,adam,distance,0.5592185592185592
identity,auto,23,gini,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,17,constant,90,sqrt,15,23,kneighborsClassifier,6,3,adam,uniform,0.6031746031746031
identity,auto,18,gini,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,8,invscaling,66,sqrt,14,22,kneighborsClassifier,4,3,sgd,uniform,0.5848595848595849
tanh,auto,18,gini,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,13,constant,99,auto,7,7,randomForestClassifier,2,1,lbfgs,uniform,0.6349206349206349
logistic,kd_tree,25,gini,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,17,constant,90,sqrt,15,23,kneighborsClassifier,6,3,sgd,uniform,0.7301587301587301
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,13,constant,99,auto,7,7,randomForestClassifier,2,1,sgd,uniform,0.6483516483516484
logistic,kd_tree,25,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6471306471306472
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6471306471306472
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,sgd,distance,0.6471306471306472
logistic,kd_tree,23,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6471306471306472
tanh,brute,14,entropy,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,invscaling,7,sqrt,15,5,randomForestClassifier,4,4,lbfgs,distance,0.6446886446886447
