activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,22,gini,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,17,constant,85,log2,5,30,nnClassifier,4,6,adam,uniform,0.5079365079365079
tanh,brute,24,gini,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,9,constant,76,auto,11,33,kneighborsClassifier,3,3,lbfgs,distance,0.5775335775335775
tanh,auto,10,entropy,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,13,constant,93,sqrt,5,26,nnClassifier,4,4,adam,distance,0.4981684981684982
relu,kd_tree,15,entropy,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,19,constant,49,log2,11,7,kneighborsClassifier,6,9,lbfgs,distance,0.5067155067155067
relu,ball_tree,17,gini,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,29,invscaling,54,sqrt,10,3,nnClassifier,2,6,adam,distance,0.4993894993894994
logistic,ball_tree,17,entropy,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,5,adaptive,25,log2,17,7,kneighborsClassifier,6,7,sgd,uniform,0.4993894993894994
relu,auto,24,gini,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,10,invscaling,6,log2,8,17,nnClassifier,8,7,sgd,distance,0.17338217338217338
identity,auto,16,gini,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,6,constant,7,sqrt,20,37,randomForestClassifier,1,2,adam,uniform,0.8058608058608059
tanh,kd_tree,24,gini,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,28,invscaling,93,auto,17,37,randomForestClassifier,5,9,sgd,uniform,0.873015873015873
tanh,brute,24,gini,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,3,constant,48,log2,20,25,nnClassifier,7,3,adam,distance,0.5262515262515263
identity,brute,25,entropy,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,20,invscaling,15,sqrt,19,21,randomForestClassifier,9,8,lbfgs,uniform,0.8705738705738706
logistic,auto,19,gini,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,4,invscaling,10,sqrt,7,32,nnClassifier,1,1,lbfgs,uniform,0.5311355311355311
logistic,auto,10,entropy,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,30,constant,84,log2,14,20,nnClassifier,3,5,sgd,distance,0.46886446886446886
tanh,auto,19,gini,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,19,adaptive,62,auto,5,38,kneighborsClassifier,5,5,adam,distance,0.47985347985347987
tanh,ball_tree,11,entropy,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,10,adaptive,4,log2,15,12,kneighborsClassifier,5,8,adam,uniform,0.6117216117216118
logistic,ball_tree,27,gini,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,30,constant,44,auto,9,25,kneighborsClassifier,2,3,lbfgs,distance,0.5787545787545788
identity,brute,26,entropy,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,7,constant,47,sqrt,4,20,nnClassifier,4,4,lbfgs,distance,0.5225885225885226
relu,kd_tree,8,entropy,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,30,constant,35,sqrt,10,16,randomForestClassifier,4,8,sgd,distance,0.49572649572649574
relu,ball_tree,9,gini,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,16,constant,32,sqrt,10,26,nnClassifier,9,8,lbfgs,distance,0.4945054945054945
