,feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,64,log2,18,8,None,None,None,None,0.8407407407407408,ok,1.0543920549098402
1,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,71,log2,16,20,None,None,None,None,0.8462962962962963,ok,1.853558582952246
2,1,0,0,0,1,nnClassifier,logistic,None,9.0,None,None,invscaling,None,None,None,None,9.0,None,adam,None,0.5944444444444444,ok,29.842599736060947
3,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,79,sqrt,19,9,None,None,None,None,0.7555555555555555,ok,30.36517014889978
4,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,26,auto,17,15,None,None,None,None,0.8166666666666667,ok,30.893388853874058
5,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,10,auto,15,37,None,None,None,None,0.7925925925925926,ok,31.564490275923163
6,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,32,auto,7,25,None,None,None,None,0.774074074074074,ok,32.313093526056036
7,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,67,sqrt,15,17,None,None,None,None,0.8037037037037037,ok,33.013650483917445
8,0,0,0,1,1,nnClassifier,identity,None,9.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,0.65,ok,38.627536102896556
9,1,1,1,0,0,nnClassifier,identity,None,32.0,None,None,invscaling,None,None,None,None,4.0,None,sgd,None,0.6166666666666667,ok,39.33054609107785
10,1,1,0,1,0,kneighborsClassifier,None,auto,None,None,4.0,None,None,None,None,None,None,5.0,None,uniform,0.8425925925925926,ok,39.365334508009255
11,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,66,sqrt,4,6,None,None,None,None,0.7388888888888889,ok,39.98262199293822
12,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,90,sqrt,2,28,None,None,None,None,0.7870370370370371,ok,40.797815826023
13,1,0,0,0,1,nnClassifier,tanh,None,15.0,None,None,constant,None,None,None,None,4.0,None,sgd,None,0.5888888888888889,ok,54.965552987065166
14,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,92,log2,13,23,None,None,None,None,0.7722222222222223,ok,55.6773041728884
15,1,0,0,1,0,kneighborsClassifier,None,kd_tree,None,None,4.0,None,None,None,None,None,None,7.0,None,distance,0.7888888888888889,ok,55.698951347963884
16,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,14,auto,9,33,None,None,None,None,0.8518518518518519,ok,56.48227274394594
17,0,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,29.0,None,None,None,None,None,None,7.0,None,uniform,0.7203703703703703,ok,56.51493006688543
18,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,69,sqrt,15,16,None,None,None,None,0.8055555555555556,ok,57.550214242888615
19,0,1,1,1,0,nnClassifier,identity,None,16.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.6185185185185185,ok,57.63085504504852
20,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,43,log2,9,35,None,None,None,None,0.8537037037037037,ok,58.4508169349283
21,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,40.0,None,None,None,None,None,None,1.0,None,distance,0.8962962962962963,ok,58.499608448008075
22,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,40.0,None,None,None,None,None,None,1.0,None,distance,0.8962962962962963,ok,58.548105048015714
23,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,40.0,None,None,None,None,None,None,1.0,None,distance,0.8962962962962963,ok,58.5964412689209
24,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,40.0,None,None,None,None,None,None,1.0,None,distance,0.8962962962962963,ok,58.72484379308298
25,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,30.0,None,None,None,None,None,None,3.0,None,distance,0.8722222222222222,ok,58.76574544305913
26,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,40.0,None,None,None,None,None,None,3.0,None,distance,0.8722222222222222,ok,58.82180375093594
27,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,30.0,None,None,None,None,None,None,10.0,None,distance,0.8851851851851852,ok,58.89452346996404
28,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,17.0,None,None,None,None,None,None,2.0,None,distance,0.8962962962962963,ok,58.94834919599816
29,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,13.0,None,None,None,None,None,None,3.0,None,distance,0.8407407407407408,ok,59.00590228801593
30,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,35.0,None,None,None,None,None,None,5.0,None,distance,0.8814814814814815,ok,59.05061464291066
31,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,16.0,None,None,None,None,None,None,2.0,None,uniform,0.8611111111111112,ok,59.09921299992129
32,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,21.0,None,None,None,None,None,None,2.0,None,distance,0.8962962962962963,ok,59.15270283189602
33,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,21.0,None,None,None,None,None,None,4.0,None,distance,0.8888888888888888,ok,59.226640339940786
34,1,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,12.0,None,None,None,None,None,None,10.0,None,distance,0.8740740740740741,ok,59.271603849949315
35,1,1,1,1,1,nnClassifier,relu,None,30.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,0.6240740740740741,ok,61.35739732789807
36,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,25.0,None,None,None,None,None,None,7.0,None,uniform,0.8592592592592593,ok,61.407974120927975
37,0,1,1,0,1,kneighborsClassifier,None,brute,None,None,34.0,None,None,None,None,None,None,2.0,None,distance,0.8185185185185185,ok,61.46164084109478
38,1,1,1,1,1,nnClassifier,logistic,None,24.0,None,None,adaptive,None,None,None,None,1.0,None,adam,None,0.5796296296296296,ok,72.84152553905733
