activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,8,gini,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,36,constant,58,log2,19,12,kneighborsClassifier,2,7,adam,distance,0.5882352941176471
tanh,auto,13,gini,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,2,invscaling,11,sqrt,8,16,nnClassifier,8,1,sgd,uniform,0.08496732026143791
tanh,kd_tree,14,gini,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,37,adaptive,23,log2,6,31,nnClassifier,5,10,sgd,uniform,0.19607843137254902
identity,kd_tree,21,entropy,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,16,constant,62,log2,13,33,kneighborsClassifier,1,8,adam,uniform,0.5245098039215687
logistic,brute,18,gini,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,8,constant,67,log2,9,2,nnClassifier,7,5,lbfgs,distance,0.18137254901960784
relu,brute,27,entropy,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,12,constant,34,sqrt,14,36,nnClassifier,4,1,sgd,distance,0.17973856209150327
logistic,auto,15,gini,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,34,invscaling,31,auto,11,8,randomForestClassifier,7,2,lbfgs,distance,0.5620915032679739
relu,brute,28,gini,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,35,adaptive,71,log2,2,31,randomForestClassifier,4,3,sgd,distance,0.5620915032679739
identity,ball_tree,29,entropy,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,16,constant,10,log2,12,26,randomForestClassifier,2,4,lbfgs,uniform,0.5359477124183006
logistic,brute,14,entropy,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,36,adaptive,21,log2,16,38,randomForestClassifier,3,9,lbfgs,uniform,0.5310457516339869
identity,kd_tree,30,entropy,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,10,adaptive,3,auto,8,29,randomForestClassifier,10,8,adam,distance,0.4526143790849673
relu,kd_tree,19,gini,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,37,invscaling,60,auto,18,27,randomForestClassifier,1,5,sgd,uniform,0.5326797385620915
tanh,brute,15,gini,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,5,invscaling,50,log2,14,6,randomForestClassifier,2,4,lbfgs,uniform,0.5326797385620915
logistic,ball_tree,17,entropy,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,40,constant,75,sqrt,4,13,nnClassifier,8,10,adam,distance,0.184640522875817
logistic,brute,18,gini,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,25,invscaling,40,sqrt,9,11,kneighborsClassifier,10,7,sgd,distance,0.5915032679738562
tanh,ball_tree,9,gini,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,4,adaptive,37,sqrt,15,5,kneighborsClassifier,2,6,adam,distance,0.5866013071895425
tanh,auto,18,gini,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,17,constant,84,log2,4,26,randomForestClassifier,9,4,adam,distance,0.5637254901960784
tanh,brute,30,gini,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,18,adaptive,22,log2,5,7,randomForestClassifier,9,1,lbfgs,distance,0.5718954248366013
relu,kd_tree,12,entropy,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,27,constant,18,sqrt,6,38,randomForestClassifier,10,7,sgd,distance,0.545751633986928
logistic,brute,13,gini,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,14,invscaling,21,sqrt,14,16,randomForestClassifier,3,5,adam,distance,0.5424836601307189
logistic,brute,18,gini,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,25,invscaling,40,sqrt,9,11,kneighborsClassifier,10,7,sgd,distance,0.5915032679738562
identity,kd_tree,8,gini,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,36,constant,58,log2,19,12,kneighborsClassifier,2,7,adam,distance,0.5882352941176471
tanh,ball_tree,9,gini,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,4,adaptive,37,sqrt,15,5,kneighborsClassifier,2,6,adam,distance,0.5866013071895425
tanh,brute,30,gini,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,18,adaptive,22,log2,5,7,randomForestClassifier,9,1,lbfgs,distance,0.5718954248366013
tanh,auto,18,gini,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,17,constant,84,log2,4,26,randomForestClassifier,9,4,adam,distance,0.5637254901960784
logistic,auto,15,gini,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,34,invscaling,31,auto,11,8,randomForestClassifier,7,2,lbfgs,distance,0.5620915032679739
relu,brute,28,gini,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,35,adaptive,71,log2,2,31,randomForestClassifier,4,3,sgd,distance,0.5620915032679739
relu,kd_tree,12,entropy,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,27,constant,18,sqrt,6,38,randomForestClassifier,10,7,sgd,distance,0.545751633986928
logistic,brute,13,gini,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,14,invscaling,21,sqrt,14,16,randomForestClassifier,3,5,adam,distance,0.5424836601307189
identity,ball_tree,29,entropy,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,16,constant,10,log2,12,26,randomForestClassifier,2,4,lbfgs,uniform,0.5359477124183006
logistic,brute,18,gini,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,36,constant,58,log2,19,12,kneighborsClassifier,2,7,adam,distance,0.5931372549019608
identity,kd_tree,8,gini,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,4,constant,37,sqrt,15,5,kneighborsClassifier,2,6,adam,distance,0.5915032679738562
tanh,ball_tree,9,gini,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,18,adaptive,22,log2,5,7,nnClassifier,9,1,lbfgs,distance,0.19934640522875818
tanh,brute,29,gini,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,17,constant,84,log2,4,26,randomForestClassifier,9,4,adam,distance,0.5620915032679739
tanh,auto,18,gini,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,34,invscaling,31,auto,11,8,randomForestClassifier,7,2,lbfgs,distance,0.565359477124183
identity,auto,16,gini,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,35,adaptive,71,log2,2,31,randomForestClassifier,4,3,sgd,distance,0.5620915032679739
relu,brute,28,gini,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,27,constant,18,sqrt,6,38,randomForestClassifier,10,7,sgd,distance,0.5424836601307189
relu,kd_tree,12,entropy,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,14,invscaling,21,sqrt,14,16,randomForestClassifier,6,5,adam,distance,0.5424836601307189
logistic,brute,13,gini,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,16,constant,10,log2,12,26,randomForestClassifier,2,4,lbfgs,uniform,0.5375816993464052
identity,ball_tree,29,gini,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,25,invscaling,40,sqrt,9,11,kneighborsClassifier,10,7,sgd,distance,0.5964052287581699
identity,ball_tree,29,gini,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,25,invscaling,40,sqrt,9,11,kneighborsClassifier,10,7,sgd,distance,0.5964052287581699
logistic,brute,18,gini,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,36,constant,58,log2,19,12,kneighborsClassifier,2,7,adam,distance,0.5931372549019608
logistic,brute,18,gini,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,25,invscaling,40,sqrt,9,11,kneighborsClassifier,10,7,sgd,distance,0.5915032679738562
