activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,8,entropy,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,40,constant,23,sqrt,10,33,randomForestClassifier,8,6,sgd,distance,0.5637254901960784
relu,brute,22,gini,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,38,adaptive,20,auto,16,30,randomForestClassifier,10,10,lbfgs,distance,0.5490196078431373
tanh,ball_tree,23,entropy,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,12,adaptive,79,auto,4,25,kneighborsClassifier,3,7,adam,distance,0.5751633986928104
identity,ball_tree,19,entropy,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,6,adaptive,74,sqrt,3,33,randomForestClassifier,6,7,lbfgs,uniform,0.5588235294117647
tanh,auto,19,gini,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,15,invscaling,69,log2,8,29,nnClassifier,4,10,lbfgs,uniform,0.18790849673202614
logistic,brute,28,gini,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,18,constant,22,sqrt,6,21,randomForestClassifier,9,1,lbfgs,distance,0.5784313725490197
tanh,ball_tree,28,entropy,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,27,invscaling,43,sqrt,5,37,randomForestClassifier,8,6,adam,distance,0.5784313725490197
logistic,kd_tree,13,gini,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,15,constant,62,auto,20,10,randomForestClassifier,7,7,lbfgs,uniform,0.5392156862745098
identity,ball_tree,17,entropy,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,38,invscaling,98,sqrt,12,2,kneighborsClassifier,3,1,lbfgs,uniform,0.5702614379084967
relu,ball_tree,15,gini,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,40,constant,93,log2,11,7,kneighborsClassifier,8,1,lbfgs,uniform,0.5522875816993464
