activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,15,entropy,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,invscaling,28,auto,17,27,randomForestClassifier,9,3,sgd,distance,0.8493975903614458
logistic,brute,11,entropy,1,0,1,1,1,0,1,0,1,0,0,0,0,0,26,invscaling,64,auto,8,16,nnClassifier,5,3,adam,uniform,0.7188755020080321
identity,brute,11,entropy,1,0,0,1,0,1,0,1,0,1,1,1,1,0,10,invscaling,37,sqrt,8,13,kneighborsClassifier,5,10,sgd,distance,0.9779116465863453
tanh,ball_tree,24,entropy,0,0,1,1,1,0,1,0,0,0,1,1,0,1,22,adaptive,79,sqrt,5,40,nnClassifier,7,3,sgd,uniform,0.7128514056224899
tanh,ball_tree,17,gini,1,1,1,1,1,1,1,1,1,0,1,1,0,0,2,adaptive,34,auto,7,12,randomForestClassifier,7,5,lbfgs,uniform,0.9839357429718876
logistic,brute,31,gini,1,0,1,1,0,0,1,0,0,0,0,0,0,1,4,adaptive,6,auto,2,13,kneighborsClassifier,6,10,adam,distance,0.9628514056224899
identity,brute,17,gini,1,1,1,0,0,1,1,1,1,1,1,1,1,0,3,adaptive,98,log2,10,19,randomForestClassifier,5,9,sgd,uniform,0.9748995983935743
logistic,auto,20,gini,0,0,1,0,0,0,0,0,0,1,1,0,1,0,20,invscaling,89,sqrt,17,34,randomForestClassifier,2,6,lbfgs,uniform,0.8995983935742972
relu,kd_tree,21,gini,0,1,0,1,1,0,1,0,0,0,1,0,1,0,22,adaptive,78,log2,10,36,nnClassifier,4,7,adam,uniform,0.7058232931726908
relu,auto,22,gini,0,1,0,0,1,1,1,0,0,0,1,0,0,0,23,invscaling,61,auto,19,16,kneighborsClassifier,5,5,lbfgs,distance,0.8815261044176707
tanh,ball_tree,20,entropy,1,0,1,1,0,1,1,1,0,1,0,1,0,0,33,invscaling,85,log2,3,40,randomForestClassifier,7,4,adam,distance,0.9748995983935743
identity,kd_tree,9,gini,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,adaptive,27,sqrt,19,9,nnClassifier,9,10,lbfgs,uniform,0.7269076305220884
identity,ball_tree,9,gini,0,0,1,0,1,0,0,1,0,0,0,0,1,0,30,adaptive,81,log2,17,33,kneighborsClassifier,8,2,lbfgs,uniform,0.9317269076305221
identity,auto,15,entropy,0,1,1,1,0,0,0,1,1,1,1,1,0,1,2,adaptive,10,auto,14,26,kneighborsClassifier,9,6,adam,uniform,0.9718875502008032
relu,auto,14,entropy,1,0,0,1,0,0,1,1,1,0,1,0,0,1,20,constant,37,log2,15,3,nnClassifier,3,3,lbfgs,distance,0.7048192771084337
identity,kd_tree,27,entropy,1,1,1,1,0,1,0,0,0,0,0,0,1,0,10,invscaling,84,log2,17,18,nnClassifier,3,3,sgd,distance,0.7429718875502008
identity,brute,8,gini,0,1,1,0,0,0,0,1,0,0,1,1,0,0,7,invscaling,8,auto,18,15,nnClassifier,9,3,adam,uniform,0.7379518072289156
logistic,brute,11,entropy,1,0,1,1,1,0,1,0,1,1,0,1,0,1,20,adaptive,8,log2,15,37,randomForestClassifier,5,5,sgd,uniform,0.9698795180722891
logistic,brute,32,entropy,0,0,0,0,1,0,1,0,1,1,1,0,1,0,19,invscaling,64,log2,18,39,nnClassifier,9,4,lbfgs,distance,0.7078313253012049
relu,brute,18,entropy,0,1,0,1,0,1,1,1,0,0,1,1,1,1,20,adaptive,81,log2,7,37,randomForestClassifier,2,10,adam,distance,0.9558232931726908
