activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,10,gini,0,0,0,1,0,0,0,0,1,1,0,0,1,1,12,adaptive,64,sqrt,6,12,kneighborsClassifier,7,3,adam,uniform,0.9056224899598394
relu,auto,19,entropy,1,1,1,0,0,1,1,0,1,1,0,1,1,0,14,invscaling,59,auto,3,22,kneighborsClassifier,3,2,sgd,distance,0.8263052208835341
logistic,brute,8,gini,0,1,1,0,0,0,1,0,0,1,1,1,1,0,18,adaptive,54,auto,15,35,randomForestClassifier,7,4,sgd,distance,0.9317269076305221
identity,brute,10,entropy,0,1,0,1,0,0,0,1,0,0,1,1,0,0,36,adaptive,48,auto,2,10,randomForestClassifier,4,4,sgd,uniform,0.9598393574297188
relu,auto,9,entropy,1,0,1,0,0,0,1,1,1,0,0,0,1,1,25,constant,35,sqrt,14,15,nnClassifier,6,2,adam,uniform,0.7208835341365462
relu,kd_tree,20,entropy,1,0,1,0,1,0,1,1,1,1,1,0,1,1,5,adaptive,77,auto,18,36,kneighborsClassifier,10,10,sgd,uniform,0.9628514056224899
tanh,kd_tree,32,gini,0,1,1,1,0,1,0,1,0,0,1,1,1,0,5,invscaling,1,sqrt,2,2,kneighborsClassifier,4,8,lbfgs,uniform,0.9588353413654619
identity,ball_tree,26,entropy,0,1,0,0,0,1,1,0,1,1,1,1,1,1,34,invscaling,18,sqrt,20,39,randomForestClassifier,3,8,lbfgs,uniform,0.9548192771084337
relu,brute,20,entropy,1,0,0,1,1,0,1,0,0,0,1,0,1,1,28,adaptive,60,sqrt,11,29,kneighborsClassifier,3,9,sgd,distance,0.9748995983935743
identity,auto,12,entropy,1,0,1,1,1,1,1,0,1,1,1,0,1,0,21,constant,88,auto,11,33,kneighborsClassifier,10,3,sgd,uniform,0.998995983935743
logistic,brute,17,gini,0,1,1,1,0,0,0,1,0,0,1,1,0,1,11,invscaling,99,sqrt,3,12,randomForestClassifier,8,2,sgd,uniform,0.963855421686747
relu,ball_tree,29,gini,0,0,1,0,1,1,1,1,1,1,1,1,0,0,14,constant,12,sqrt,5,39,kneighborsClassifier,4,7,lbfgs,uniform,0.9809236947791165
relu,auto,19,gini,0,1,1,0,1,1,1,0,0,0,1,0,0,0,35,constant,26,log2,20,13,nnClassifier,3,1,lbfgs,uniform,0.7299196787148594
tanh,ball_tree,17,entropy,0,1,0,1,0,1,0,0,0,1,1,1,0,0,5,invscaling,53,log2,13,24,kneighborsClassifier,1,10,lbfgs,uniform,0.9317269076305221
logistic,kd_tree,21,gini,1,0,0,1,0,0,0,0,1,1,1,1,1,0,23,adaptive,49,sqrt,3,5,nnClassifier,4,10,sgd,uniform,0.7650602409638554
