activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,27,entropy,1,0,1,1,1,1,0,1,0,0,0,0,1,0,32,adaptive,83,auto,15,32,kneighborsClassifier,7,2,lbfgs,uniform,0.9939759036144579
identity,ball_tree,19,entropy,0,1,1,1,1,0,1,1,0,0,1,1,1,0,16,constant,76,sqrt,3,33,nnClassifier,6,3,lbfgs,distance,0.7419678714859438
logistic,auto,25,gini,0,0,1,0,0,1,0,0,1,0,0,1,1,1,13,constant,28,auto,15,6,randomForestClassifier,7,7,sgd,uniform,0.9518072289156626
tanh,auto,9,gini,1,0,1,1,0,0,0,1,1,1,1,1,0,1,6,invscaling,29,log2,20,36,randomForestClassifier,5,8,sgd,distance,0.9738955823293173
tanh,kd_tree,16,entropy,1,1,1,1,1,0,1,1,1,1,0,1,1,1,7,constant,61,sqrt,16,38,randomForestClassifier,8,6,lbfgs,distance,0.9718875502008032
identity,auto,26,entropy,1,1,0,0,1,0,0,1,0,1,1,1,0,0,22,adaptive,5,auto,9,28,kneighborsClassifier,6,1,sgd,uniform,0.8744979919678715
tanh,ball_tree,23,entropy,0,1,0,0,1,1,0,1,0,1,1,0,1,0,26,constant,85,auto,16,31,kneighborsClassifier,10,9,adam,distance,0.9618473895582329
identity,kd_tree,19,entropy,0,0,0,1,0,1,0,0,0,0,0,1,0,1,37,constant,54,auto,19,11,kneighborsClassifier,5,3,adam,uniform,0.8895582329317269
relu,auto,14,entropy,1,1,1,0,1,1,0,0,1,1,1,1,1,1,40,invscaling,88,log2,10,33,nnClassifier,2,7,sgd,distance,0.7530120481927711
relu,auto,8,gini,1,0,1,1,0,1,0,1,0,1,1,1,1,1,25,invscaling,65,sqrt,13,32,nnClassifier,3,8,lbfgs,uniform,0.7399598393574297
relu,ball_tree,17,entropy,1,0,0,0,0,1,0,0,0,0,1,0,0,1,13,adaptive,82,auto,18,2,randomForestClassifier,1,6,adam,uniform,0.892570281124498
