activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,8,entropy,0,0,1,1,0,1,0,1,1,0,1,0,1,1,26,constant,54,auto,3,40,kneighborsClassifier,9,2,adam,distance,0.9849397590361446
relu,auto,15,gini,0,1,0,1,1,1,0,1,1,1,1,1,1,0,39,invscaling,72,sqrt,17,37,randomForestClassifier,10,4,lbfgs,distance,0.9748995983935743
tanh,auto,21,gini,0,1,1,1,0,1,1,1,1,0,0,0,0,0,30,invscaling,64,auto,15,8,kneighborsClassifier,3,8,lbfgs,uniform,0.9578313253012049
logistic,kd_tree,31,entropy,0,1,1,0,1,0,1,1,0,1,0,0,1,1,30,constant,54,log2,3,40,nnClassifier,5,2,adam,uniform,0.7269076305220884
tanh,auto,18,entropy,0,1,1,0,0,1,1,0,1,0,0,0,0,1,17,invscaling,94,auto,16,25,nnClassifier,10,2,lbfgs,distance,0.7248995983935743
identity,ball_tree,24,entropy,1,0,1,1,1,0,1,0,1,0,1,1,0,1,39,constant,43,sqrt,9,21,randomForestClassifier,8,5,sgd,distance,0.9748995983935743
tanh,kd_tree,18,entropy,1,0,1,1,1,0,1,1,0,0,1,1,1,0,39,invscaling,77,log2,17,23,nnClassifier,1,4,sgd,distance,0.7309236947791165
tanh,brute,27,gini,1,0,0,0,0,1,1,0,1,1,0,1,1,0,35,adaptive,40,sqrt,8,28,nnClassifier,4,1,adam,uniform,0.7238955823293173
relu,brute,24,gini,0,0,1,1,1,1,1,1,1,0,0,1,0,0,12,invscaling,29,log2,2,18,randomForestClassifier,1,1,adam,distance,0.9748995983935743
tanh,ball_tree,25,gini,1,0,1,1,1,1,1,0,1,0,0,0,0,0,34,invscaling,99,sqrt,16,5,randomForestClassifier,7,7,adam,distance,0.9608433734939759
identity,ball_tree,14,gini,0,1,0,0,1,0,0,0,0,0,0,0,1,1,24,constant,11,log2,16,27,randomForestClassifier,10,2,sgd,distance,0.8554216867469879
relu,kd_tree,15,gini,0,0,1,1,0,1,0,1,1,1,0,0,1,1,3,adaptive,60,sqrt,15,5,nnClassifier,1,7,adam,uniform,0.7299196787148594
tanh,kd_tree,17,entropy,1,0,0,0,0,1,1,1,0,0,0,1,0,0,19,adaptive,32,log2,14,3,kneighborsClassifier,10,2,sgd,uniform,0.9608433734939759
identity,kd_tree,10,gini,1,0,0,0,1,1,0,0,1,1,0,0,1,1,11,adaptive,72,auto,16,14,randomForestClassifier,4,3,adam,uniform,0.9528112449799196
identity,ball_tree,23,gini,0,0,0,0,1,0,1,0,1,1,0,0,0,1,36,adaptive,31,log2,2,14,randomForestClassifier,2,3,adam,uniform,0.9176706827309237
tanh,auto,27,gini,1,0,0,1,1,0,0,1,0,1,0,0,0,0,39,invscaling,20,log2,7,4,nnClassifier,9,3,adam,distance,0.7359437751004017
logistic,ball_tree,26,gini,0,0,0,1,0,0,1,0,1,0,0,1,0,0,34,constant,78,sqrt,2,22,nnClassifier,2,7,adam,uniform,0.7560240963855421
identity,auto,26,entropy,0,0,0,0,0,1,0,1,1,1,0,1,0,0,4,adaptive,27,auto,11,22,nnClassifier,9,4,sgd,distance,0.7409638554216867
tanh,kd_tree,22,gini,0,0,1,0,1,0,1,1,1,1,1,0,0,1,5,adaptive,98,log2,16,17,nnClassifier,4,4,adam,uniform,0.7228915662650602
relu,auto,14,entropy,1,1,1,1,1,1,0,0,0,1,1,0,1,0,40,adaptive,53,sqrt,16,33,kneighborsClassifier,9,1,lbfgs,uniform,0.8534136546184738
tanh,kd_tree,17,entropy,1,1,0,0,1,0,0,1,0,1,1,0,0,1,7,adaptive,78,sqrt,11,27,randomForestClassifier,2,9,sgd,uniform,0.9678714859437751
relu,brute,26,gini,1,1,1,1,0,1,0,1,1,1,1,0,1,0,15,invscaling,74,sqrt,5,12,nnClassifier,5,4,lbfgs,distance,0.7269076305220884
tanh,brute,20,gini,0,0,0,1,0,0,0,1,0,0,0,1,0,1,24,constant,57,sqrt,3,14,nnClassifier,1,3,adam,distance,0.7349397590361446
identity,auto,31,entropy,0,0,1,1,1,0,1,0,1,1,1,0,0,1,14,adaptive,85,auto,5,38,randomForestClassifier,10,5,sgd,distance,0.9658634538152611
relu,brute,20,gini,0,0,0,1,1,1,1,0,1,1,0,0,1,0,3,constant,79,sqrt,5,34,randomForestClassifier,1,9,adam,uniform,0.9347389558232931
identity,ball_tree,17,entropy,1,1,0,0,1,1,0,1,0,0,0,0,1,0,14,constant,15,sqrt,9,16,randomForestClassifier,9,6,sgd,distance,0.9548192771084337
identity,kd_tree,15,gini,1,1,0,0,1,0,1,1,1,1,1,1,1,1,40,adaptive,7,log2,18,20,randomForestClassifier,1,2,adam,uniform,0.9738955823293173
identity,ball_tree,14,entropy,0,1,0,1,1,1,0,1,0,1,1,1,1,0,29,invscaling,92,auto,2,35,kneighborsClassifier,3,1,sgd,distance,0.9588353413654619
tanh,brute,16,entropy,0,1,1,1,1,1,1,0,0,0,0,0,0,1,16,constant,41,log2,7,17,randomForestClassifier,10,8,lbfgs,uniform,0.9417670682730924
logistic,kd_tree,32,entropy,0,1,1,0,1,0,1,0,1,1,0,0,0,1,10,adaptive,63,log2,7,9,nnClassifier,5,1,adam,uniform,0.7289156626506024
logistic,ball_tree,16,gini,1,0,1,0,0,0,0,0,1,1,0,0,1,1,32,invscaling,78,log2,12,8,kneighborsClassifier,3,3,lbfgs,distance,0.9789156626506024
identity,ball_tree,19,entropy,1,1,0,1,0,1,1,0,0,1,1,0,0,1,2,invscaling,41,sqrt,2,15,nnClassifier,3,8,sgd,uniform,0.7730923694779116
tanh,kd_tree,27,entropy,1,1,1,0,1,0,1,0,1,0,1,1,1,0,3,invscaling,35,log2,14,31,randomForestClassifier,10,1,adam,uniform,0.9759036144578314
logistic,kd_tree,26,gini,1,0,1,1,0,0,1,1,0,1,0,0,1,1,31,invscaling,7,auto,11,33,kneighborsClassifier,3,3,lbfgs,distance,0.9939759036144579
relu,ball_tree,9,gini,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,adaptive,80,log2,16,20,randomForestClassifier,8,8,adam,distance,0.928714859437751
identity,ball_tree,26,entropy,1,1,1,1,1,1,1,1,0,1,0,1,0,0,38,adaptive,9,log2,18,13,randomForestClassifier,1,8,adam,uniform,0.9718875502008032
tanh,ball_tree,16,entropy,1,0,0,0,0,0,1,1,1,1,0,0,0,0,32,adaptive,25,log2,11,23,kneighborsClassifier,8,4,sgd,uniform,0.9658634538152611
tanh,auto,31,entropy,1,1,1,1,0,0,0,1,1,0,0,0,1,0,2,adaptive,74,log2,17,33,nnClassifier,6,4,lbfgs,distance,0.7309236947791165
identity,brute,15,gini,0,1,1,1,0,0,1,1,0,0,1,1,1,1,34,constant,83,auto,15,11,kneighborsClassifier,4,7,sgd,distance,0.9598393574297188
tanh,auto,17,gini,0,0,1,0,0,1,0,0,1,0,0,1,0,1,10,constant,76,sqrt,7,14,randomForestClassifier,9,3,adam,uniform,0.9508032128514057
logistic,brute,30,entropy,1,1,1,0,0,0,1,1,0,1,0,1,0,1,16,constant,81,sqrt,15,33,nnClassifier,8,1,lbfgs,distance,0.7329317269076305
relu,brute,26,gini,1,0,0,1,1,0,0,0,1,1,0,1,0,1,7,adaptive,45,sqrt,7,16,randomForestClassifier,6,7,adam,uniform,0.9457831325301205
tanh,ball_tree,13,gini,0,1,0,0,1,0,1,1,0,0,0,0,1,0,24,invscaling,89,sqrt,13,18,randomForestClassifier,2,9,lbfgs,distance,0.9367469879518072
logistic,ball_tree,29,gini,0,0,0,1,1,0,1,0,0,1,1,0,0,1,24,adaptive,27,auto,14,9,kneighborsClassifier,6,7,sgd,distance,0.9528112449799196
logistic,ball_tree,25,gini,1,1,0,1,0,0,1,1,0,0,0,1,1,0,3,constant,45,auto,3,36,randomForestClassifier,5,5,sgd,distance,0.9518072289156626
relu,auto,22,gini,0,0,0,0,1,1,1,1,0,0,1,1,0,1,18,adaptive,25,auto,8,22,nnClassifier,7,10,lbfgs,distance,0.7218875502008032
relu,brute,15,entropy,1,0,1,1,1,0,1,0,1,1,0,1,0,1,37,adaptive,84,log2,12,13,kneighborsClassifier,7,1,lbfgs,distance,0.9959839357429718
relu,brute,11,gini,0,0,1,0,1,1,1,0,0,1,1,0,1,1,32,adaptive,89,sqrt,16,6,randomForestClassifier,3,8,lbfgs,distance,0.9397590361445783
logistic,brute,29,entropy,0,1,0,1,1,1,0,1,0,0,1,1,0,0,27,invscaling,87,log2,6,27,kneighborsClassifier,9,3,sgd,uniform,0.9528112449799196
tanh,ball_tree,16,gini,1,0,0,0,0,1,1,0,1,0,1,1,0,1,27,adaptive,44,log2,4,13,randomForestClassifier,9,6,lbfgs,distance,0.9618473895582329
logistic,kd_tree,10,gini,0,0,1,1,1,1,0,1,1,0,1,1,1,1,29,constant,97,sqrt,15,26,kneighborsClassifier,4,5,lbfgs,uniform,0.9939759036144579
identity,brute,30,entropy,1,0,0,0,1,1,0,0,1,0,1,1,1,0,8,invscaling,19,auto,10,28,kneighborsClassifier,7,3,sgd,uniform,0.9849397590361446
relu,kd_tree,27,gini,0,1,1,0,0,1,0,0,1,1,0,1,0,1,13,constant,4,sqrt,13,30,nnClassifier,6,4,adam,distance,0.7389558232931727
relu,kd_tree,25,entropy,1,1,0,1,1,0,0,1,0,1,0,0,1,1,19,constant,7,auto,3,23,nnClassifier,2,10,sgd,uniform,0.7228915662650602
identity,ball_tree,10,entropy,1,1,1,0,1,0,0,0,1,0,0,0,1,0,12,constant,81,sqrt,3,19,nnClassifier,8,6,sgd,distance,0.7409638554216867
tanh,ball_tree,12,entropy,0,0,0,0,0,0,1,1,0,0,0,1,0,1,6,constant,53,auto,9,34,kneighborsClassifier,10,8,sgd,distance,0.9106425702811245
