activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,26,gini,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,8,constant,34,sqrt,14,16,nnClassifier,8,9,sgd,distance,0.9915522703273495,125.92878592899069
tanh,ball_tree,22,gini,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,33,constant,32,log2,3,26,nnClassifier,7,8,sgd,distance,1.0,125.92888136790134
tanh,ball_tree,22,gini,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,36,constant,87,auto,11,17,nnClassifier,8,7,sgd,distance,0.9915522703273495,125.92895346693695
relu,ball_tree,20,gini,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,19,constant,11,auto,8,10,nnClassifier,6,5,adam,distance,0.9936642027455121,125.92903987597674
tanh,auto,15,gini,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,17,constant,79,sqrt,13,27,nnClassifier,8,7,sgd,distance,1.0,125.9291115750093
tanh,ball_tree,22,gini,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,32,constant,90,sqrt,3,16,nnClassifier,4,7,sgd,distance,0.9936642027455121,125.92918141395785
tanh,ball_tree,22,gini,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,35,constant,60,log2,7,33,nnClassifier,7,7,sgd,distance,1.0,125.92925138305873
tanh,ball_tree,28,gini,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,34,constant,84,auto,14,26,nnClassifier,6,9,sgd,distance,0.9936642027455121,125.92932045203634
tanh,ball_tree,21,gini,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,13,constant,67,sqrt,12,14,nnClassifier,6,6,sgd,distance,0.9926082365364308,125.92939050099812
tanh,ball_tree,21,gini,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,18,constant,42,auto,15,12,nnClassifier,5,6,sgd,distance,0.9915522703273495,125.92946147010662
