activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,ball_tree,12,gini,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,26,constant,73,auto,13,29,nnClassifier,5,8,lbfgs,distance,0.9926082365364308,64.90307277999818
identity,auto,13,gini,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,34,constant,67,auto,9,15,nnClassifier,1,5,adam,distance,0.9926082365364308,64.90317400894128
identity,ball_tree,12,entropy,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,5,constant,58,auto,20,34,nnClassifier,1,9,lbfgs,uniform,1.0,64.90324695804156
identity,auto,19,gini,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,31,constant,40,auto,17,34,nnClassifier,3,9,adam,uniform,1.0,64.90331884706393
tanh,ball_tree,12,gini,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,7,constant,6,auto,17,26,nnClassifier,1,9,adam,distance,0.9915522703273495,64.90338915609755
identity,ball_tree,15,entropy,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,28,constant,81,auto,16,22,nnClassifier,1,7,sgd,distance,1.0,64.90346027491614
relu,auto,12,gini,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,22,constant,8,auto,20,36,nnClassifier,6,7,adam,distance,0.9926082365364308,64.90353044401854
tanh,auto,22,entropy,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,36,constant,25,auto,19,35,nnClassifier,1,10,lbfgs,distance,0.9926082365364308,64.90360071300529
tanh,ball_tree,22,entropy,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,18,constant,68,auto,9,21,nnClassifier,2,9,lbfgs,uniform,0.9926082365364308,64.90367103205062
identity,ball_tree,12,gini,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,29,constant,58,auto,10,26,nnClassifier,6,9,adam,distance,0.9926082365364308,64.90374211105518
