activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,25,entropy,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,9,adaptive,64,log2,17,40,nnClassifier,5,5,adam,distance,1.0,113.55118785309605
relu,kd_tree,25,entropy,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,11,adaptive,84,sqrt,14,23,nnClassifier,5,5,adam,distance,1.0,113.55127800116315
relu,ball_tree,20,entropy,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,9,invscaling,76,log2,17,25,nnClassifier,5,5,adam,distance,1.0,113.5513495891355
relu,kd_tree,16,gini,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,21,invscaling,96,auto,7,5,nnClassifier,6,9,adam,distance,1.0,113.55141989816912
relu,ball_tree,26,entropy,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,27,adaptive,83,sqrt,16,27,nnClassifier,5,6,adam,distance,1.0,113.55149068613537
relu,kd_tree,25,entropy,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,33,invscaling,51,sqrt,6,10,nnClassifier,5,5,adam,distance,1.0,113.5515611351002
relu,auto,27,gini,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,10,adaptive,96,auto,12,18,nnClassifier,3,5,adam,distance,1.0,113.55163073400036
relu,kd_tree,18,gini,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,26,constant,64,auto,12,20,nnClassifier,5,7,adam,distance,0.9947201689545935,113.55170000204816
relu,kd_tree,16,entropy,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,11,invscaling,64,log2,17,24,nnClassifier,4,4,adam,distance,0.9936642027455121,113.55178350000642
relu,ball_tree,13,gini,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,34,invscaling,55,auto,17,15,nnClassifier,5,5,adam,distance,0.9989440337909187,113.55185401905328
relu,kd_tree,28,gini,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,12,constant,60,auto,14,12,nnClassifier,5,3,adam,distance,1.0,113.55192393809557
relu,ball_tree,24,entropy,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,9,constant,29,sqrt,17,16,nnClassifier,6,5,adam,distance,1.0,113.55199279612862
relu,auto,13,gini,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,36,constant,87,log2,12,31,nnClassifier,5,6,adam,distance,0.9989440337909187,113.55206149513833
relu,ball_tree,15,gini,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,23,adaptive,72,auto,5,28,nnClassifier,9,5,adam,distance,0.9978880675818373,113.55213112314232
relu,kd_tree,28,gini,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,36,adaptive,65,sqrt,11,20,nnClassifier,4,5,adam,distance,0.9989440337909187,113.55220083217137
relu,kd_tree,28,entropy,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,6,adaptive,16,auto,17,34,nnClassifier,5,5,adam,distance,1.0,113.55227045109496
