activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,kd_tree,28,entropy,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,36,constant,8,auto,6,24,nnClassifier,10,10,adam,distance,0.996832101372756,46.191601984901354
tanh,kd_tree,27,entropy,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,19,constant,38,auto,6,30,nnClassifier,9,9,adam,distance,0.996832101372756,46.19170136307366
relu,ball_tree,29,entropy,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,31,constant,11,auto,14,14,nnClassifier,10,5,adam,distance,0.9926082365364308,46.19178214203566
logistic,kd_tree,28,entropy,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,10,constant,11,auto,6,31,nnClassifier,10,8,adam,distance,1.0,46.191856120945886
identity,ball_tree,15,entropy,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,8,constant,96,auto,7,32,nnClassifier,10,9,adam,distance,0.9957761351636748,46.19192953989841
tanh,ball_tree,18,entropy,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,13,constant,78,auto,13,32,nnClassifier,10,7,adam,distance,0.996832101372756,46.192002858035266
tanh,kd_tree,19,entropy,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,34,constant,62,auto,7,20,nnClassifier,10,6,adam,distance,0.996832101372756,46.192074686987326
logistic,kd_tree,24,entropy,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,13,constant,11,auto,10,35,nnClassifier,3,8,adam,distance,0.9957761351636748,46.19214603607543
relu,auto,19,entropy,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,4,constant,60,auto,3,35,nnClassifier,2,7,adam,distance,1.0,46.192217834992334
logistic,auto,19,entropy,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,26,constant,32,auto,13,36,nnClassifier,7,10,adam,distance,0.996832101372756,46.19228912401013
tanh,kd_tree,26,entropy,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,11,constant,14,auto,12,10,nnClassifier,3,9,adam,distance,1.0,46.19236180302687
tanh,kd_tree,15,gini,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,27,constant,61,auto,15,31,nnClassifier,9,8,adam,distance,0.996832101372756,46.19243311090395
relu,auto,19,gini,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,23,constant,41,auto,15,20,nnClassifier,10,10,adam,distance,1.0,46.1925047300756
identity,kd_tree,28,gini,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,25,constant,41,auto,13,9,nnClassifier,9,3,adam,distance,1.0,46.19257629895583
tanh,ball_tree,14,entropy,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,11,constant,11,auto,17,28,nnClassifier,7,4,adam,distance,0.9936642027455121,46.19264739798382
identity,auto,30,gini,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,31,constant,61,auto,6,11,nnClassifier,10,5,adam,distance,1.0,46.19271870702505
relu,kd_tree,13,gini,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,17,constant,36,auto,6,16,nnClassifier,9,8,adam,distance,0.9957761351636748,46.19280293490738
relu,kd_tree,22,entropy,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,7,auto,5,7,nnClassifier,7,6,adam,distance,1.0,46.192874383879825
logistic,kd_tree,16,gini,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,22,constant,27,auto,3,35,nnClassifier,10,8,adam,distance,0.996832101372756,46.19294518302195
logistic,ball_tree,28,entropy,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,34,constant,14,auto,5,35,nnClassifier,6,8,adam,distance,1.0,46.19301614188589
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,12,auto,8,28,nnClassifier,10,10,adam,distance,1.0,209.03393488097936
