activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,24,gini,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,3,adaptive,73,sqrt,17,37,randomForestClassifier,10,1,lbfgs,uniform,0.9957761351636748
logistic,ball_tree,12,entropy,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,17,constant,20,log2,16,37,nnClassifier,6,3,lbfgs,distance,1.0
tanh,ball_tree,11,gini,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,7,constant,62,log2,12,3,kneighborsClassifier,9,8,sgd,uniform,0.9957761351636748
tanh,brute,12,gini,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,24,constant,20,log2,17,28,randomForestClassifier,5,3,adam,uniform,0.9957761351636748
tanh,brute,15,entropy,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,16,invscaling,75,sqrt,12,22,randomForestClassifier,10,7,adam,uniform,0.9957761351636748
relu,auto,20,entropy,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,20,constant,14,sqrt,9,3,randomForestClassifier,8,1,lbfgs,distance,0.9957761351636748
relu,ball_tree,32,gini,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,31,invscaling,61,log2,13,9,nnClassifier,10,5,sgd,distance,1.0
logistic,brute,19,entropy,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,26,adaptive,31,auto,5,30,randomForestClassifier,9,4,sgd,distance,0.9957761351636748
logistic,ball_tree,24,gini,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,20,adaptive,9,log2,2,16,randomForestClassifier,4,3,sgd,uniform,0.9957761351636748
identity,ball_tree,18,gini,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,36,invscaling,13,auto,4,16,randomForestClassifier,1,9,lbfgs,distance,0.9957761351636748
tanh,kd_tree,20,entropy,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,7,adaptive,31,log2,15,3,nnClassifier,2,9,adam,uniform,1.0
relu,brute,27,entropy,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,2,invscaling,87,auto,13,24,nnClassifier,4,2,lbfgs,uniform,1.0
identity,auto,18,gini,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,17,invscaling,92,auto,15,31,nnClassifier,2,1,sgd,uniform,1.0
logistic,ball_tree,10,entropy,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,8,invscaling,23,sqrt,12,8,randomForestClassifier,6,6,sgd,uniform,0.9957761351636748
tanh,auto,20,gini,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,33,invscaling,92,log2,16,25,kneighborsClassifier,2,1,lbfgs,distance,0.9915522703273495
identity,auto,22,entropy,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,34,adaptive,4,auto,10,4,kneighborsClassifier,7,10,adam,uniform,0.9957761351636748
logistic,brute,29,gini,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,6,adaptive,71,auto,7,28,randomForestClassifier,10,4,lbfgs,uniform,0.9957761351636748
tanh,kd_tree,28,gini,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,6,adaptive,58,sqrt,12,14,randomForestClassifier,3,9,adam,uniform,0.9957761351636748
identity,auto,12,gini,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,36,constant,38,log2,16,33,nnClassifier,8,9,adam,uniform,1.0
logistic,auto,12,entropy,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,34,constant,4,sqrt,11,9,kneighborsClassifier,2,8,lbfgs,uniform,0.9957761351636748
logistic,ball_tree,12,entropy,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,17,constant,20,log2,16,37,nnClassifier,6,3,lbfgs,distance,1.0
relu,ball_tree,32,gini,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,31,invscaling,61,log2,13,9,nnClassifier,10,5,sgd,distance,1.0
tanh,kd_tree,20,entropy,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,7,adaptive,31,log2,15,3,nnClassifier,2,9,adam,uniform,1.0
relu,brute,27,entropy,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,2,invscaling,87,auto,13,24,nnClassifier,4,2,lbfgs,uniform,1.0
identity,auto,18,gini,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,17,invscaling,92,auto,15,31,nnClassifier,2,1,sgd,uniform,1.0
identity,auto,12,gini,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,36,constant,38,log2,16,33,nnClassifier,8,9,adam,uniform,1.0
logistic,auto,24,gini,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,3,adaptive,73,sqrt,17,37,randomForestClassifier,10,1,lbfgs,uniform,0.9957761351636748
tanh,ball_tree,11,gini,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,7,constant,62,log2,12,3,kneighborsClassifier,9,8,sgd,uniform,0.9957761351636748
tanh,brute,12,gini,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,24,constant,20,log2,17,28,randomForestClassifier,5,3,adam,uniform,0.9957761351636748
tanh,brute,15,entropy,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,16,invscaling,75,sqrt,12,22,randomForestClassifier,10,7,adam,uniform,0.9957761351636748
logistic,ball_tree,12,entropy,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,31,invscaling,61,log2,13,9,nnClassifier,10,5,sgd,distance,1.0
relu,ball_tree,32,gini,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,7,adaptive,31,log2,15,3,nnClassifier,2,9,adam,uniform,1.0
tanh,kd_tree,20,entropy,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,2,invscaling,87,auto,13,24,nnClassifier,4,2,lbfgs,uniform,1.0
relu,brute,27,entropy,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,2,invscaling,92,sqrt,15,31,nnClassifier,2,1,sgd,uniform,1.0
identity,auto,18,entropy,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,36,constant,38,log2,16,14,nnClassifier,8,9,adam,uniform,1.0
identity,auto,12,gini,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,3,adaptive,73,sqrt,17,37,randomForestClassifier,10,1,lbfgs,uniform,0.9957761351636748
logistic,auto,24,gini,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,7,constant,62,log2,10,3,kneighborsClassifier,9,8,sgd,uniform,0.9957761351636748
tanh,ball_tree,11,gini,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,24,constant,20,log2,17,28,randomForestClassifier,5,3,adam,uniform,0.9957761351636748
tanh,brute,12,gini,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,16,constant,75,sqrt,12,22,randomForestClassifier,10,7,sgd,uniform,0.9957761351636748
tanh,brute,15,entropy,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,17,constant,20,log2,16,37,kneighborsClassifier,6,3,lbfgs,distance,0.9947201689545935
logistic,ball_tree,12,entropy,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,17,constant,20,log2,16,37,nnClassifier,6,3,lbfgs,distance,1.0
relu,ball_tree,32,gini,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,31,invscaling,61,log2,13,9,nnClassifier,10,5,sgd,distance,1.0
tanh,kd_tree,20,entropy,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,7,adaptive,31,log2,15,3,nnClassifier,2,9,adam,uniform,1.0
relu,brute,27,entropy,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,2,invscaling,87,auto,13,24,nnClassifier,4,2,lbfgs,uniform,1.0
