activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,20,entropy,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,3,invscaling,34,auto,17,7,randomForestClassifier,4,2,sgd,uniform,0.9915522703273495
identity,kd_tree,17,entropy,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,22,adaptive,80,auto,19,7,nnClassifier,2,1,adam,uniform,1.0
relu,brute,22,gini,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,39,invscaling,30,sqrt,10,6,nnClassifier,1,3,adam,uniform,1.0
identity,auto,13,entropy,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,18,adaptive,34,auto,12,21,nnClassifier,9,9,lbfgs,distance,1.0
tanh,ball_tree,29,gini,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,21,constant,32,auto,13,31,kneighborsClassifier,1,2,lbfgs,distance,0.9947201689545935
tanh,auto,17,gini,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,25,invscaling,20,auto,5,36,randomForestClassifier,4,6,adam,uniform,0.9915522703273495
tanh,brute,25,entropy,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,29,constant,77,sqrt,3,32,nnClassifier,10,7,sgd,distance,1.0
logistic,brute,26,gini,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,9,invscaling,26,sqrt,11,27,nnClassifier,2,6,sgd,uniform,1.0
relu,brute,17,entropy,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,2,constant,31,sqrt,3,23,kneighborsClassifier,6,7,lbfgs,uniform,0.9915522703273495
logistic,kd_tree,11,gini,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,8,adaptive,31,auto,18,29,kneighborsClassifier,8,7,lbfgs,uniform,0.9915522703273495
identity,auto,24,entropy,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,34,constant,98,sqrt,11,5,kneighborsClassifier,10,3,adam,uniform,0.9915522703273495
tanh,kd_tree,9,gini,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,3,adaptive,44,auto,8,32,kneighborsClassifier,2,2,lbfgs,distance,0.9926082365364308
tanh,kd_tree,14,gini,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,37,invscaling,69,log2,20,39,randomForestClassifier,9,10,adam,distance,0.9915522703273495
logistic,ball_tree,12,gini,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,3,adaptive,98,log2,18,27,nnClassifier,10,7,lbfgs,distance,1.0
logistic,kd_tree,13,gini,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,10,constant,79,sqrt,16,24,nnClassifier,1,2,lbfgs,distance,1.0
relu,ball_tree,12,entropy,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,36,constant,73,auto,3,5,nnClassifier,5,4,adam,uniform,1.0
relu,ball_tree,19,entropy,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,18,invscaling,70,sqrt,14,17,kneighborsClassifier,5,6,lbfgs,uniform,0.9915522703273495
relu,ball_tree,21,gini,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,23,constant,81,log2,4,18,nnClassifier,7,10,lbfgs,distance,1.0
identity,auto,11,gini,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,24,constant,62,log2,15,26,kneighborsClassifier,9,8,sgd,distance,0.9936642027455121
identity,kd_tree,31,gini,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,21,adaptive,99,log2,2,35,randomForestClassifier,10,8,adam,uniform,0.9915522703273495
identity,kd_tree,17,entropy,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,22,adaptive,80,auto,19,7,nnClassifier,2,1,adam,uniform,1.0
relu,brute,22,gini,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,39,invscaling,30,sqrt,10,6,nnClassifier,1,3,adam,uniform,1.0
identity,auto,13,entropy,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,18,adaptive,34,auto,12,21,nnClassifier,9,9,lbfgs,distance,1.0
tanh,brute,25,entropy,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,29,constant,77,sqrt,3,32,nnClassifier,10,7,sgd,distance,1.0
logistic,brute,26,gini,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,9,invscaling,26,sqrt,11,27,nnClassifier,2,6,sgd,uniform,1.0
logistic,ball_tree,12,gini,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,3,adaptive,98,log2,18,27,nnClassifier,10,7,lbfgs,distance,1.0
logistic,kd_tree,13,gini,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,10,constant,79,sqrt,16,24,nnClassifier,1,2,lbfgs,distance,1.0
relu,ball_tree,12,entropy,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,36,constant,73,auto,3,5,nnClassifier,5,4,adam,uniform,1.0
