activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,26,gini,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,28,adaptive,22,auto,2,11,kneighborsClassifier,8,4,sgd,distance,0.9936642027455121
tanh,brute,22,gini,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,36,constant,92,auto,4,26,randomForestClassifier,9,8,adam,uniform,0.9957761351636748
logistic,kd_tree,32,gini,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,33,adaptive,71,log2,9,6,nnClassifier,1,3,sgd,distance,1.0
tanh,ball_tree,16,gini,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,21,adaptive,73,auto,16,29,kneighborsClassifier,7,3,adam,distance,0.9936642027455121
tanh,ball_tree,14,entropy,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,26,adaptive,25,sqrt,7,17,kneighborsClassifier,9,7,sgd,uniform,0.9957761351636748
relu,brute,30,entropy,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,26,invscaling,24,sqrt,7,31,kneighborsClassifier,9,10,adam,uniform,0.9936642027455121
logistic,ball_tree,15,gini,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,20,adaptive,19,log2,13,19,nnClassifier,3,10,sgd,uniform,1.0
identity,ball_tree,20,entropy,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,33,adaptive,40,log2,12,12,nnClassifier,6,6,adam,uniform,1.0
logistic,kd_tree,26,gini,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,22,adaptive,89,sqrt,4,4,kneighborsClassifier,3,6,adam,distance,0.9936642027455121
tanh,kd_tree,8,entropy,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,9,constant,40,sqrt,8,12,nnClassifier,3,7,lbfgs,uniform,1.0
