activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,11,gini,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,17,invscaling,38,sqrt,2,39,nnClassifier,10,2,lbfgs,uniform,1.0
relu,brute,24,gini,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,20,invscaling,2,sqrt,18,2,kneighborsClassifier,1,5,sgd,uniform,0.9936642027455121
relu,auto,23,gini,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,12,constant,87,log2,11,37,kneighborsClassifier,6,9,sgd,distance,0.9947201689545935
logistic,kd_tree,9,gini,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,11,adaptive,54,sqrt,10,6,nnClassifier,9,8,lbfgs,uniform,1.0
identity,ball_tree,10,gini,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,14,adaptive,83,log2,13,23,kneighborsClassifier,1,9,adam,distance,0.9926082365364308
tanh,brute,18,gini,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,30,constant,19,auto,15,34,randomForestClassifier,9,8,sgd,distance,0.9947201689545935
tanh,ball_tree,31,entropy,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,28,constant,57,log2,3,34,kneighborsClassifier,4,7,sgd,uniform,0.9947201689545935
relu,kd_tree,32,gini,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,11,invscaling,26,log2,4,34,nnClassifier,8,8,lbfgs,distance,1.0
identity,ball_tree,12,gini,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,33,adaptive,36,log2,7,26,randomForestClassifier,4,7,lbfgs,distance,0.9947201689545935
tanh,auto,28,entropy,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,13,invscaling,54,sqrt,10,25,randomForestClassifier,10,6,adam,distance,0.9947201689545935
relu,ball_tree,21,entropy,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,21,constant,55,auto,18,31,kneighborsClassifier,9,7,lbfgs,distance,0.9936642027455121
identity,brute,25,gini,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,37,adaptive,68,auto,15,31,randomForestClassifier,4,1,sgd,distance,0.9947201689545935
logistic,ball_tree,14,gini,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,21,adaptive,59,log2,4,13,randomForestClassifier,4,9,adam,uniform,0.9947201689545935
identity,brute,13,gini,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,2,adaptive,83,auto,9,14,randomForestClassifier,8,7,adam,uniform,0.9947201689545935
logistic,auto,21,gini,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,32,adaptive,22,auto,4,24,kneighborsClassifier,7,7,sgd,distance,0.9926082365364308
relu,brute,12,entropy,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,40,adaptive,9,log2,6,29,kneighborsClassifier,2,9,lbfgs,uniform,0.9936642027455121
tanh,ball_tree,25,entropy,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,3,invscaling,63,auto,17,28,randomForestClassifier,4,9,adam,distance,0.9947201689545935
