activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,29,entropy,0,0,0,0,0,0,13,constant,3,auto,15,27,kneighborsClassifier,1,4,adam,uniform,0
identity,ball_tree,20,gini,0,0,0,1,1,0,35,constant,92,auto,6,10,nnClassifier,7,5,lbfgs,distance,1.0
logistic,brute,12,gini,1,0,0,0,0,1,2,invscaling,22,sqrt,14,2,nnClassifier,1,5,lbfgs,uniform,1.0
relu,auto,31,entropy,0,0,0,0,0,1,34,invscaling,87,auto,9,30,kneighborsClassifier,8,1,sgd,distance,0.9695885509838998
relu,auto,19,entropy,0,1,0,1,1,1,34,constant,22,auto,10,13,kneighborsClassifier,8,4,adam,distance,0.9928443649373881
relu,ball_tree,27,entropy,0,1,0,0,1,0,39,adaptive,11,log2,6,9,randomForestClassifier,9,9,adam,distance,0.9856887298747764
identity,auto,23,entropy,1,1,1,0,0,1,21,adaptive,17,log2,8,4,nnClassifier,8,4,lbfgs,uniform,1.0
relu,brute,8,entropy,0,0,0,0,1,1,10,invscaling,54,auto,11,26,kneighborsClassifier,3,7,adam,distance,0.9901610017889088
tanh,ball_tree,17,entropy,1,0,1,0,1,1,8,adaptive,51,log2,10,27,nnClassifier,5,7,lbfgs,uniform,1.0
identity,auto,14,entropy,1,0,1,0,0,1,2,invscaling,14,sqrt,7,36,randomForestClassifier,5,3,sgd,distance,0.9865831842576028
identity,brute,26,gini,1,1,1,1,0,0,39,invscaling,40,log2,10,32,randomForestClassifier,10,4,sgd,distance,0.9847942754919499
relu,brute,14,gini,1,1,1,0,1,1,34,invscaling,30,auto,17,11,randomForestClassifier,9,10,adam,uniform,0.9901610017889088
identity,auto,20,gini,1,1,1,1,0,0,13,adaptive,63,auto,15,8,randomForestClassifier,10,2,sgd,distance,0.9838998211091234
identity,ball_tree,22,gini,0,0,1,1,1,0,15,constant,48,log2,11,29,nnClassifier,9,5,sgd,distance,1.0
relu,ball_tree,10,entropy,1,1,0,1,1,1,9,adaptive,32,auto,18,35,randomForestClassifier,4,10,sgd,uniform,0.9919499105545617
relu,auto,25,entropy,1,1,0,0,0,1,11,constant,14,log2,4,36,randomForestClassifier,8,10,adam,uniform,0.9821109123434705
logistic,kd_tree,27,entropy,1,0,0,1,1,1,27,invscaling,39,sqrt,13,29,kneighborsClassifier,9,4,adam,distance,0.9874776386404294
relu,ball_tree,11,gini,0,0,1,0,1,0,32,adaptive,47,log2,5,25,kneighborsClassifier,4,9,adam,distance,0.9838998211091234
relu,brute,23,gini,0,1,0,0,0,1,8,adaptive,43,log2,9,7,kneighborsClassifier,4,10,sgd,distance,0.9794275491949911
identity,kd_tree,26,entropy,0,1,1,0,0,0,27,adaptive,14,sqrt,12,39,kneighborsClassifier,3,9,adam,uniform,0.9838998211091234
identity,kd_tree,8,entropy,1,0,1,0,0,0,37,adaptive,23,log2,4,34,kneighborsClassifier,9,9,adam,distance,0.9740608228980322
logistic,auto,15,gini,0,0,0,0,0,1,26,constant,99,log2,8,38,kneighborsClassifier,10,4,lbfgs,uniform,0.9821109123434705
logistic,ball_tree,29,entropy,1,0,1,1,1,0,9,invscaling,60,log2,7,9,kneighborsClassifier,1,6,sgd,uniform,0.9892665474060823
identity,auto,18,entropy,1,1,0,1,0,1,27,constant,96,log2,17,27,nnClassifier,7,7,lbfgs,uniform,1.0
identity,auto,28,entropy,1,0,0,1,0,1,31,adaptive,28,auto,9,26,kneighborsClassifier,1,9,sgd,uniform,0.983005366726297
tanh,brute,25,entropy,0,0,0,0,0,1,35,invscaling,85,auto,9,16,kneighborsClassifier,9,2,lbfgs,uniform,0.9794275491949911
relu,kd_tree,30,gini,1,0,0,0,0,1,37,adaptive,62,sqrt,3,12,nnClassifier,8,8,lbfgs,uniform,1.0
tanh,brute,16,gini,1,0,0,0,1,1,38,invscaling,1,log2,5,34,nnClassifier,9,10,lbfgs,uniform,1.0
logistic,brute,31,entropy,0,0,0,0,0,1,18,adaptive,8,sqrt,13,24,kneighborsClassifier,5,1,lbfgs,distance,0.9669051878354203
identity,auto,30,entropy,0,0,0,0,1,1,25,adaptive,33,auto,12,26,randomForestClassifier,4,10,adam,distance,0.9883720930232558
relu,brute,15,gini,1,0,1,1,0,0,7,invscaling,75,sqrt,12,13,randomForestClassifier,10,1,adam,distance,0.983005366726297
tanh,brute,30,entropy,1,1,1,1,1,0,22,constant,63,log2,10,5,randomForestClassifier,10,7,sgd,uniform,0.9892665474060823
identity,ball_tree,22,entropy,1,0,0,0,0,1,8,constant,53,sqrt,14,31,nnClassifier,5,1,adam,distance,1.0
logistic,auto,14,entropy,0,0,0,1,1,1,16,adaptive,100,log2,19,26,randomForestClassifier,5,9,lbfgs,uniform,0.9910554561717353
relu,auto,11,gini,1,0,1,1,1,0,15,constant,95,log2,20,11,randomForestClassifier,10,8,sgd,uniform,0.9910554561717353
identity,brute,18,gini,0,0,0,0,0,0,26,adaptive,95,log2,11,6,nnClassifier,5,1,adam,uniform,0
identity,kd_tree,13,gini,1,1,1,0,1,0,14,invscaling,91,auto,4,33,randomForestClassifier,2,3,lbfgs,uniform,0.9883720930232558
tanh,ball_tree,31,entropy,0,1,0,1,1,1,6,invscaling,6,auto,16,26,nnClassifier,5,5,lbfgs,distance,1.0
identity,brute,15,gini,0,0,1,0,0,0,29,invscaling,86,log2,4,26,randomForestClassifier,6,1,adam,distance,0.9821109123434705
tanh,auto,9,entropy,0,0,0,0,1,1,2,invscaling,55,auto,15,3,randomForestClassifier,7,10,adam,uniform,0.9883720930232558
relu,brute,27,entropy,0,0,1,1,0,1,12,adaptive,82,auto,12,10,nnClassifier,2,10,adam,uniform,1.0
tanh,brute,31,gini,0,1,0,0,1,1,34,adaptive,91,auto,2,21,randomForestClassifier,5,1,adam,uniform,0.9901610017889088
logistic,brute,14,gini,0,1,1,0,0,0,11,constant,78,sqrt,17,15,randomForestClassifier,4,3,adam,distance,0.9856887298747764
tanh,auto,10,gini,1,1,1,0,0,1,7,adaptive,96,log2,7,20,randomForestClassifier,7,4,lbfgs,uniform,0.9838998211091234
identity,auto,24,gini,0,0,1,0,1,1,3,adaptive,80,sqrt,15,11,randomForestClassifier,5,6,lbfgs,distance,0.9892665474060823
logistic,brute,17,gini,1,0,0,1,1,0,11,adaptive,85,sqrt,6,14,nnClassifier,10,2,lbfgs,uniform,1.0
logistic,kd_tree,23,entropy,1,1,1,0,1,1,40,constant,16,auto,4,9,nnClassifier,5,6,sgd,uniform,1.0
relu,auto,27,gini,1,0,0,1,1,1,5,adaptive,89,sqrt,9,5,nnClassifier,9,4,sgd,uniform,1.0
identity,ball_tree,29,gini,0,0,1,0,1,1,24,adaptive,86,sqrt,3,8,kneighborsClassifier,3,2,sgd,uniform,0.9901610017889088
logistic,kd_tree,23,entropy,0,1,1,1,1,0,16,invscaling,17,log2,6,31,kneighborsClassifier,2,2,sgd,distance,0.9847942754919499
tanh,ball_tree,21,entropy,1,1,1,1,0,0,21,constant,17,sqrt,17,23,nnClassifier,10,5,lbfgs,uniform,1.0
logistic,auto,29,entropy,1,1,1,0,0,1,25,adaptive,7,sqrt,9,37,randomForestClassifier,5,6,adam,uniform,0.9838998211091234
relu,ball_tree,8,gini,0,0,0,0,1,0,6,constant,25,log2,5,35,nnClassifier,8,7,adam,distance,1.0
identity,kd_tree,23,gini,1,0,1,0,0,0,39,adaptive,22,auto,7,33,kneighborsClassifier,7,2,adam,uniform,0.9803220035778175
tanh,brute,23,gini,1,0,1,0,1,0,33,invscaling,61,log2,17,11,randomForestClassifier,3,4,lbfgs,distance,0.9856887298747764
identity,auto,28,entropy,0,0,0,0,0,0,25,constant,70,log2,11,18,randomForestClassifier,8,3,sgd,distance,0
tanh,auto,31,gini,0,0,1,0,1,1,10,invscaling,39,auto,6,3,randomForestClassifier,1,1,sgd,distance,0.9892665474060823
logistic,ball_tree,14,gini,0,1,0,1,1,0,34,adaptive,20,sqrt,19,13,nnClassifier,4,4,adam,uniform,1.0
relu,auto,27,gini,1,1,0,1,0,1,6,adaptive,5,auto,5,35,randomForestClassifier,2,7,adam,distance,0.9838998211091234
relu,ball_tree,16,entropy,0,1,0,0,0,1,14,adaptive,14,auto,13,4,kneighborsClassifier,9,10,lbfgs,distance,0.9794275491949911
relu,auto,8,gini,0,0,0,1,0,1,33,invscaling,75,auto,5,25,randomForestClassifier,5,10,sgd,uniform,0.983005366726297
logistic,ball_tree,27,gini,0,1,0,0,1,1,38,adaptive,36,log2,4,20,nnClassifier,5,3,lbfgs,uniform,1.0
logistic,brute,25,entropy,1,1,0,1,0,1,33,adaptive,77,log2,8,25,nnClassifier,10,7,adam,distance,1.0
relu,auto,14,entropy,1,0,0,0,0,1,26,constant,6,auto,6,18,kneighborsClassifier,2,6,adam,uniform,0.981216457960644
relu,kd_tree,32,gini,0,1,1,1,1,1,14,invscaling,68,sqrt,18,32,kneighborsClassifier,8,5,adam,distance,0.9928443649373881
relu,brute,9,entropy,1,1,0,1,1,1,3,invscaling,27,auto,17,2,kneighborsClassifier,7,3,adam,distance,0.9883720930232558
identity,ball_tree,18,gini,1,1,1,0,1,0,18,adaptive,20,auto,19,26,randomForestClassifier,6,7,adam,uniform,0.9865831842576028
logistic,kd_tree,18,gini,0,0,1,0,1,1,34,invscaling,84,sqrt,19,10,nnClassifier,6,7,lbfgs,distance,1.0
tanh,auto,28,entropy,1,0,1,0,0,1,25,constant,44,sqrt,6,24,randomForestClassifier,3,8,sgd,distance,0.9856887298747764
relu,auto,18,gini,0,0,0,1,0,1,29,constant,51,log2,10,26,kneighborsClassifier,2,10,sgd,uniform,0.981216457960644
logistic,ball_tree,22,entropy,0,1,1,1,0,1,33,constant,86,sqrt,19,16,randomForestClassifier,2,9,sgd,uniform,0.9865831842576028
tanh,brute,13,gini,0,0,0,1,1,1,3,invscaling,76,sqrt,13,6,nnClassifier,5,2,adam,uniform,1.0
relu,brute,8,entropy,1,0,1,1,1,1,16,adaptive,63,auto,17,37,nnClassifier,6,5,lbfgs,distance,1.0
logistic,auto,11,gini,0,0,1,0,0,1,16,constant,4,sqrt,20,30,randomForestClassifier,1,5,sgd,distance,0.9838998211091234
relu,brute,16,gini,0,1,0,1,0,1,8,invscaling,49,auto,8,13,kneighborsClassifier,6,5,adam,distance,0.9821109123434705
identity,brute,9,gini,0,0,1,0,1,0,2,constant,64,sqrt,14,29,randomForestClassifier,8,1,sgd,uniform,0.9883720930232558
logistic,kd_tree,13,gini,0,1,1,0,1,0,13,constant,50,auto,3,20,randomForestClassifier,8,1,sgd,distance,0.9874776386404294
identity,ball_tree,16,entropy,1,1,0,0,1,1,40,adaptive,39,sqrt,10,19,randomForestClassifier,10,7,sgd,distance,0.9892665474060823
