activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,32,gini,0,0,1,0,0,0,38,invscaling,95,auto,10,38,randomForestClassifier,7,1,adam,uniform,0.9794275491949911
logistic,brute,22,gini,0,1,1,1,0,1,35,invscaling,80,log2,14,3,nnClassifier,7,4,sgd,distance,1.0
relu,auto,16,entropy,0,1,1,1,0,1,23,adaptive,72,log2,19,3,kneighborsClassifier,3,7,lbfgs,distance,0.9847942754919499
tanh,auto,31,gini,1,1,1,1,0,0,22,invscaling,42,log2,12,38,nnClassifier,3,1,adam,uniform,1.0
tanh,brute,21,entropy,0,0,1,1,0,0,28,adaptive,80,auto,6,22,kneighborsClassifier,6,3,adam,uniform,0.983005366726297
logistic,ball_tree,17,gini,0,0,0,1,0,0,7,invscaling,12,sqrt,15,20,randomForestClassifier,4,3,lbfgs,uniform,0.983005366726297
logistic,kd_tree,25,gini,0,0,1,1,0,1,16,adaptive,21,sqrt,7,4,nnClassifier,5,6,lbfgs,uniform,1.0
logistic,ball_tree,11,gini,0,1,0,0,0,1,29,constant,28,auto,9,25,kneighborsClassifier,3,10,adam,distance,0.9731663685152058
relu,brute,20,gini,1,1,1,0,0,0,30,adaptive,58,log2,7,12,nnClassifier,1,10,adam,distance,1.0
identity,brute,23,entropy,0,1,1,1,0,0,25,invscaling,17,log2,15,4,nnClassifier,3,8,lbfgs,distance,1.0
tanh,ball_tree,11,gini,0,0,1,1,1,0,13,adaptive,12,auto,9,25,nnClassifier,1,4,adam,uniform,1.0
relu,ball_tree,10,gini,0,0,0,1,1,0,28,invscaling,79,auto,11,5,nnClassifier,3,4,sgd,uniform,1.0
relu,kd_tree,10,entropy,1,0,0,0,1,1,6,adaptive,54,sqrt,8,27,randomForestClassifier,2,9,sgd,distance,0.9838998211091234
relu,ball_tree,32,entropy,0,1,1,0,0,0,34,adaptive,53,log2,9,36,kneighborsClassifier,3,8,sgd,uniform,0.981216457960644
relu,ball_tree,22,entropy,0,1,1,1,0,0,33,invscaling,34,auto,5,32,nnClassifier,4,5,lbfgs,distance,1.0
