feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,0,0,0,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,59,auto,13,17,nan,nan,NA,NA,0.011122260400136863,6.635510444641113
1,1,1,1,1,0,0,0,nnRegressor,identity,NA,15,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,0.3606474336887404,11.649540424346924
1,1,0,1,0,1,0,0,nnRegressor,identity,NA,20,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,0.030856531941345633,21.238929986953735
0,1,1,0,1,1,1,0,nnRegressor,identity,NA,27,NA,nan,adaptive,nan,NA,nan,nan,9,nan,lbfgs,NA,0.38035077773876236,26.048664808273315
0,1,0,0,0,0,1,1,nnRegressor,identity,NA,21,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.008339029029929224,30.27749276161194
0,1,1,0,1,0,1,1,nnRegressor,identity,NA,29,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.3703137236369486,39.3919575214386
0,0,0,0,1,1,1,0,nnRegressor,logistic,NA,9,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,0.09166456438578552,44.531468629837036
1,0,1,0,0,0,1,1,nnRegressor,identity,NA,17,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,0.3161433140718295,49.147024393081665
0,1,1,1,1,1,0,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,69,auto,7,24,nan,nan,NA,NA,0.4391113802375449,119.70406317710876
0,1,1,0,0,0,1,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,36,auto,19,3,nan,nan,NA,NA,0.2694048298881718,130.24146580696106
0,1,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,96,sqrt,4,17,nan,nan,NA,NA,0.3814704843280041,140.6481430530548
1,1,1,1,1,0,0,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,59,auto,2,31,nan,nan,NA,NA,0.39023851506179974,147.37148547172546
1,1,1,1,1,1,0,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,57,log2,20,32,nan,nan,NA,NA,0.4379586256889899,177.42001032829285
