activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,24,mse,1,1,1,1,0,1,21,constant,20,sqrt,16,18,nnRegressor,7,7,adam,distance,-2.2764966413882437,136.24171413993463
relu,auto,26,mse,1,0,1,0,1,1,18,constant,72,auto,8,12,nnRegressor,7,6,adam,distance,-3.925275721386136,136.2417705799453
tanh,auto,14,mse,1,0,1,1,1,1,13,constant,41,sqrt,14,9,nnRegressor,5,7,adam,uniform,-39.10020260866338,136.24180668895133
tanh,auto,23,mse,1,0,1,1,1,1,14,constant,70,sqrt,9,36,randomForestRegressor,5,4,adam,uniform,0.2188560535833971,136.24184179888107
identity,auto,22,mse,1,0,1,1,0,1,11,constant,79,sqrt,17,14,randomForestRegressor,8,7,adam,uniform,-0.07250537866230444,136.24187726783566
logistic,auto,14,mse,1,1,1,1,0,1,25,constant,40,sqrt,9,19,nnRegressor,7,7,adam,distance,-1.7719330980298427,136.24191266787238
logistic,auto,15,mse,1,0,1,1,0,1,28,constant,23,sqrt,18,13,randomForestRegressor,7,7,adam,distance,-0.1128229175747244,136.24194708792493
tanh,auto,13,mse,1,1,1,0,1,1,29,constant,52,sqrt,9,13,randomForestRegressor,6,4,adam,distance,0.49065325489900447,136.2419963569846
logistic,auto,22,mse,1,1,1,1,1,1,11,constant,14,sqrt,13,18,randomForestRegressor,4,5,adam,uniform,0.4485804823401387,136.24203116679564
identity,auto,21,mse,1,0,1,1,0,1,11,constant,95,sqrt,11,12,nnRegressor,3,7,adam,uniform,0.45426345531227663,136.24206562596373
identity,auto,25,mse,1,1,1,1,0,1,11,constant,8,sqrt,5,31,nnRegressor,6,6,adam,distance,0.4512845244442796,136.24209974589758
logistic,auto,20,mse,1,0,1,0,1,1,35,constant,71,sqrt,19,9,randomForestRegressor,9,5,adam,distance,-0.005521977897571251,136.24213394592516
logistic,auto,19,mse,1,1,1,0,1,1,16,constant,26,sqrt,7,25,randomForestRegressor,6,8,adam,uniform,-0.005521977897571251,136.242169004865
identity,auto,17,mse,1,0,1,1,0,1,38,constant,93,sqrt,10,25,randomForestRegressor,3,5,adam,uniform,0.015742840642535172,136.2422030849848
identity,auto,18,mse,1,0,1,1,1,1,30,constant,19,sqrt,14,34,randomForestRegressor,7,7,adam,uniform,0.36272023573351,136.24223725381307
identity,auto,12,mse,1,0,1,1,1,1,16,constant,93,auto,16,8,randomForestRegressor,5,8,adam,uniform,-0.005521977897571251,136.242271293886
relu,auto,17,mse,1,0,1,1,1,1,30,constant,94,auto,12,36,randomForestRegressor,7,6,adam,distance,0.4007566033027419,136.24230580381118
logistic,auto,24,mse,1,0,1,0,0,1,37,constant,21,sqrt,17,9,randomForestRegressor,7,7,adam,uniform,0.5108169760051025,136.2423399228137
tanh,auto,16,mse,1,1,1,1,0,1,7,constant,52,sqrt,15,29,nnRegressor,7,6,adam,uniform,-5.745163408890441,136.24237412284128
relu,auto,23,mse,1,1,1,0,0,1,7,constant,80,auto,10,32,randomForestRegressor,7,5,adam,uniform,-0.8988585016770936,136.24240832286887
relu,auto,24,mse,1,1,1,1,1,1,17,constant,24,auto,12,22,nnRegressor,8,8,adam,distance,-1.9496839120821234,185.4818924558349
relu,auto,22,mse,1,1,1,1,1,1,14,constant,68,auto,6,16,nnRegressor,7,6,adam,distance,-19.658867318277398,185.481958364835
relu,auto,18,mse,1,1,1,1,1,1,17,constant,37,auto,14,13,nnRegressor,3,8,adam,distance,-25.92174789530724,185.4820047239773
relu,auto,24,mse,1,1,1,1,1,1,17,constant,66,auto,9,32,nnRegressor,8,7,adam,distance,0.6485568319782591,185.48204089398496
relu,auto,20,mse,1,1,1,1,1,1,15,constant,75,auto,13,18,nnRegressor,7,8,adam,distance,0.5208736987170154,185.48207654291764
relu,auto,18,mse,1,1,1,1,1,1,21,constant,36,auto,8,23,nnRegressor,8,7,adam,distance,0.4133580317732771,185.48211208288558
relu,auto,19,mse,1,1,1,1,1,1,24,constant,23,auto,16,17,nnRegressor,6,9,adam,distance,0.5211157540056579,185.48214774299413
relu,auto,17,mse,1,1,1,1,1,1,25,constant,48,auto,7,16,nnRegressor,8,7,adam,distance,0.6530184289632888,185.48218285199255
relu,auto,21,mse,1,1,1,1,1,1,15,constant,18,auto,9,20,nnRegressor,6,9,adam,distance,0.6488292551913946,185.48221737192944
relu,auto,19,mse,1,1,1,1,1,1,15,constant,91,auto,7,16,nnRegressor,6,4,adam,distance,-83.41984182174039,185.48225204180926
relu,auto,22,mse,1,1,1,1,1,1,15,constant,12,auto,4,27,nnRegressor,10,3,adam,distance,-0.846506422752975,185.4822869708296
relu,auto,21,mse,1,1,1,1,1,1,31,constant,67,auto,15,13,nnRegressor,8,6,adam,distance,0.6471823273301054,185.48232169100083
relu,auto,21,mse,1,1,1,1,1,1,18,constant,26,auto,9,23,nnRegressor,5,9,adam,distance,0.656038857011048,185.4823564197868
relu,auto,21,mse,1,1,1,1,1,1,34,constant,89,auto,6,23,nnRegressor,7,9,adam,distance,0.5220210896470667,185.48239083983935
relu,auto,21,mse,1,1,1,1,1,1,26,constant,23,auto,10,30,nnRegressor,7,8,adam,distance,0.6484465734963186,185.48242540983483
relu,auto,16,mse,1,1,1,1,1,1,18,constant,89,auto,16,12,nnRegressor,8,7,adam,distance,0.646281808051266,185.48246051883325
relu,auto,21,mse,1,1,1,1,1,1,26,constant,90,auto,11,32,nnRegressor,8,9,adam,distance,0.6475419376028474,185.48249572888017
relu,auto,20,mse,1,1,1,1,1,1,35,constant,25,auto,13,13,nnRegressor,7,8,adam,distance,0.5108169760051025,185.4825309489388
relu,auto,15,mse,1,1,1,1,1,1,11,constant,48,auto,11,25,nnRegressor,4,2,adam,distance,-18.97009019359909,185.48256559786387
relu,auto,21,mse,1,1,1,1,1,1,11,constant,76,auto,12,28,nnRegressor,6,9,adam,distance,0.5172094006571295,185.48260027798824
relu,auto,20,mse,1,1,1,1,1,1,16,constant,24,auto,11,21,nnRegressor,4,7,adam,distance,-9.512882844797911,269.3793537809979
relu,auto,26,mse,1,1,1,1,1,1,14,constant,64,auto,5,20,nnRegressor,6,5,adam,distance,-14.11993804350262,269.37941294000484
relu,auto,20,mse,1,1,1,1,1,1,19,constant,33,auto,10,17,nnRegressor,5,8,adam,distance,-5.111442895048285,269.3794499298092
relu,auto,20,mse,1,1,1,1,1,1,14,constant,62,auto,5,30,nnRegressor,6,8,adam,distance,-9.512882844797911,269.37948516895995
relu,auto,19,mse,1,1,1,1,1,1,12,constant,71,auto,9,22,nnRegressor,8,7,adam,distance,-8.862506359797393,269.37952020880766
relu,auto,21,mse,1,1,1,1,1,1,21,constant,35,auto,7,25,nnRegressor,7,9,adam,distance,-3.1336744770853606,269.3795553490054
relu,auto,17,mse,1,1,1,1,1,1,23,constant,27,auto,15,21,nnRegressor,6,6,adam,distance,0.007586427557760178,269.379590268014
relu,auto,20,mse,1,1,1,1,1,1,21,constant,45,auto,7,20,nnRegressor,4,6,adam,distance,-3.5600381239703447,269.3796260978561
relu,auto,18,mse,1,1,1,1,1,1,16,constant,22,auto,5,24,nnRegressor,4,5,adam,distance,-0.3941033449163731,269.3796609179117
relu,auto,15,mse,1,1,1,1,1,1,11,constant,87,auto,5,20,nnRegressor,2,3,adam,distance,0.007586427557760178,269.3796956469305
relu,auto,24,mse,1,1,1,1,1,1,11,constant,8,auto,2,26,nnRegressor,6,7,adam,distance,-4.304875683220703,269.379730616929
relu,auto,19,mse,1,1,1,1,1,1,27,constant,63,auto,14,17,nnRegressor,5,5,adam,distance,-6.841959418812951,269.3797655659728
relu,auto,17,mse,1,1,1,1,1,1,18,constant,26,auto,5,23,nnRegressor,6,9,adam,distance,-15.336664528438376,269.37980006588623
relu,auto,17,mse,1,1,1,1,1,1,30,constant,85,auto,7,25,nnRegressor,3,7,adam,distance,-10.551573254004726,269.37983508594334
relu,auto,21,mse,1,1,1,1,1,1,22,constant,20,auto,9,26,nnRegressor,5,7,adam,distance,-10.551573254004726,269.3798696049489
relu,auto,15,mse,1,1,1,1,1,1,14,constant,85,auto,15,13,nnRegressor,4,9,adam,distance,-4.476668899519643,269.3799041749444
relu,auto,17,mse,1,1,1,1,1,1,23,constant,86,auto,10,30,nnRegressor,6,5,adam,distance,-6.841959418812951,269.3799387249164
relu,auto,17,mse,1,1,1,1,1,1,32,constant,24,auto,16,17,nnRegressor,5,6,adam,distance,-8.862506359797393,269.379985003965
relu,auto,15,mse,1,1,1,1,1,1,12,constant,44,auto,7,24,nnRegressor,8,6,adam,distance,-8.139898084544367,269.38002012390643
relu,auto,19,mse,1,1,1,1,1,1,15,constant,72,auto,8,27,nnRegressor,6,9,adam,distance,-0.3941033449163731,269.38005481287837
relu,auto,24,mse,1,1,1,1,1,1,20,constant,22,auto,8,22,nnRegressor,7,7,adam,distance,-6.096238709802395,356.25432676193304
relu,auto,22,mse,1,1,1,1,1,1,15,constant,60,auto,6,24,nnRegressor,5,9,adam,distance,-1.3692084173064143,356.2543934008572
relu,auto,18,mse,1,1,1,1,1,1,15,constant,29,auto,12,21,nnRegressor,4,8,adam,distance,-15.924018434512991,356.2544313608669
relu,auto,18,mse,1,1,1,1,1,1,13,constant,58,auto,5,26,nnRegressor,3,4,adam,distance,-0.08962828557235447,356.254467719933
relu,auto,23,mse,1,1,1,1,1,1,10,constant,67,auto,13,18,nnRegressor,6,6,adam,distance,-5.374897067291516,356.2545269699767
