activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,kd_tree,8,mse,1,1,1,0,1,1,25,constant,100,sqrt,7,2,randomForestRegressor,10,4,adam,uniform,0.6743874388335098,172.36575553007424
tanh,auto,11,mse,1,1,1,0,1,1,25,constant,98,sqrt,7,3,randomForestRegressor,6,2,adam,distance,0.4857252756235042,172.36581792891957
identity,kd_tree,27,mse,1,1,1,0,1,1,16,constant,47,auto,10,21,randomForestRegressor,10,9,adam,uniform,0.5233864712344534,172.36586714792065
tanh,kd_tree,20,mse,1,1,1,1,1,1,25,constant,97,sqrt,9,29,nnRegressor,10,7,adam,uniform,-3.324448689729662,172.36590423807502
logistic,auto,10,mse,1,1,1,0,1,1,7,constant,36,sqrt,19,11,randomForestRegressor,5,5,adam,uniform,0.49939193821010885,172.36594113707542
relu,ball_tree,10,mse,1,1,1,0,1,1,26,constant,23,sqrt,6,7,nnRegressor,5,4,adam,uniform,-0.05332324048613102,172.36597710684873
logistic,auto,25,mse,1,1,1,0,1,1,11,constant,65,sqrt,7,23,randomForestRegressor,6,5,adam,uniform,0.26249297045629916,172.3660126759205
relu,kd_tree,22,mse,1,1,1,0,1,1,15,constant,48,sqrt,7,19,randomForestRegressor,10,6,adam,distance,-0.0009807808818522723,172.36604876606725
tanh,ball_tree,22,mse,1,1,1,0,1,1,16,constant,46,sqrt,7,18,randomForestRegressor,5,2,adam,uniform,0.508749094333207,172.36608559498563
logistic,ball_tree,12,mse,1,1,1,1,1,1,29,constant,26,sqrt,11,33,nnRegressor,5,7,adam,distance,-0.4417769925716273,172.36612131493166
tanh,kd_tree,10,mse,1,1,1,1,1,1,6,constant,30,sqrt,11,10,randomForestRegressor,10,4,adam,distance,-0.0009807808818522723,172.36615720391273
relu,kd_tree,23,mse,1,1,1,1,1,1,31,constant,64,sqrt,10,9,randomForestRegressor,7,7,adam,distance,0.5016409905580053,172.36619308404624
logistic,kd_tree,20,mse,1,1,1,0,1,1,17,constant,32,auto,7,26,nnRegressor,5,4,adam,uniform,-0.2528190348548509,172.36622809292749
logistic,ball_tree,24,mse,1,1,1,0,1,1,28,constant,30,auto,9,18,randomForestRegressor,10,4,adam,uniform,-0.0009807808818522723,172.3662635430228
tanh,kd_tree,8,mse,1,1,1,0,1,1,24,constant,100,auto,12,11,nnRegressor,10,6,adam,distance,-0.052931860876412884,172.36629940196872
tanh,kd_tree,14,mse,1,1,1,0,1,1,8,constant,21,auto,7,9,nnRegressor,3,2,adam,uniform,-0.23959061540334559,172.36633500200696
logistic,auto,10,mse,1,1,1,0,1,1,28,constant,78,sqrt,11,24,randomForestRegressor,8,5,adam,uniform,-0.06986078799025353,172.3663704409264
tanh,kd_tree,8,mse,1,1,1,0,1,1,20,constant,28,sqrt,6,3,nnRegressor,10,4,adam,distance,-3.6612512214603585,172.36640581092797
logistic,kd_tree,26,mse,1,1,1,1,1,1,24,constant,82,sqrt,7,4,randomForestRegressor,5,3,adam,distance,-0.0009807808818522723,172.36644060001709
tanh,auto,14,mse,1,1,1,1,1,1,21,constant,32,sqrt,6,12,randomForestRegressor,5,4,adam,distance,0.29106986981460414,172.3664755700156
relu,auto,8,mse,1,1,1,1,1,1,25,constant,100,auto,7,2,nnRegressor,10,4,adam,distance,0.6743874388335098,242.26484913099557
relu,auto,9,mse,1,1,1,1,1,1,24,constant,100,auto,6,2,nnRegressor,8,4,adam,distance,0.6743874388335098,242.26490522990935
relu,auto,23,mse,1,1,1,1,1,1,20,constant,51,auto,7,17,nnRegressor,10,5,adam,distance,0.6682098025461103,242.26494126906618
relu,auto,21,mse,1,1,1,1,1,1,24,constant,100,auto,13,25,nnRegressor,10,7,adam,distance,-3.4836231891407454,242.26497671892866
relu,auto,8,mse,1,1,1,1,1,1,11,constant,40,auto,15,7,nnRegressor,9,5,adam,distance,0.6723340842028241,242.2650121578481
relu,auto,10,mse,1,1,1,1,1,1,30,constant,27,auto,5,9,nnRegressor,9,4,adam,distance,-6.823705991603055,242.26504675787874
relu,auto,21,mse,1,1,1,1,1,1,15,constant,69,auto,5,19,nnRegressor,10,6,adam,distance,0.6739259193826874,242.26508069690317
relu,auto,18,mse,1,1,1,1,1,1,19,constant,52,auto,7,15,nnRegressor,10,2,adam,distance,0.6728239029944361,242.26511495700106
relu,auto,18,mse,1,1,1,1,1,1,20,constant,50,auto,8,14,nnRegressor,9,4,adam,distance,0.6726742761656023,242.26514881593175
relu,auto,8,mse,1,1,1,1,1,1,25,constant,30,auto,7,29,nnRegressor,9,3,adam,distance,0.5720614867992412,242.26518315589055
relu,auto,8,mse,1,1,1,1,1,1,10,constant,34,auto,9,6,nnRegressor,10,4,adam,distance,0.6711206995802412,242.26521711493842
relu,auto,20,mse,1,1,1,1,1,1,27,constant,68,auto,6,5,nnRegressor,10,6,adam,distance,0.6730644492246476,242.2652507550083
relu,auto,16,mse,1,1,1,1,1,1,21,constant,36,auto,8,22,nnRegressor,9,2,adam,distance,0.5244676582692472,242.26528435386717
relu,auto,20,mse,1,1,1,1,1,1,24,constant,34,auto,7,14,nnRegressor,10,4,adam,distance,0.6663338402413876,242.26531799393706
relu,auto,8,mse,1,1,1,1,1,1,23,constant,100,auto,10,7,nnRegressor,10,3,adam,distance,0.3556110316321248,242.26535189291462
relu,auto,10,mse,1,1,1,1,1,1,12,constant,25,auto,7,5,nnRegressor,7,3,adam,distance,-1.7530891175443162,242.2653862030711
relu,auto,8,mse,1,1,1,1,1,1,24,constant,82,auto,7,20,nnRegressor,10,2,adam,distance,0.673731344762063,242.26541994186118
relu,auto,8,mse,1,1,1,1,1,1,24,constant,32,auto,5,2,nnRegressor,10,5,adam,distance,0.3556110316321248,242.26545353187248
relu,auto,22,mse,1,1,1,1,1,1,24,constant,86,auto,7,3,nnRegressor,9,3,adam,distance,0.6687595121838645,242.26548698102124
relu,auto,10,mse,1,1,1,1,1,1,23,constant,36,auto,8,8,nnRegressor,9,2,adam,distance,0.6676608142612377,242.26552048092708
relu,auto,8,mse,1,1,1,1,1,1,25,constant,100,auto,7,2,nnRegressor,10,4,adam,distance,0.3794816021160258,372.50297598098405
relu,auto,8,mse,1,1,1,1,1,1,25,constant,99,auto,9,2,nnRegressor,8,1,adam,distance,-0.11067770184801073,372.5030313199386
relu,auto,19,mse,1,1,1,1,1,1,24,constant,55,auto,10,13,nnRegressor,10,9,adam,distance,-6.298825668013588,372.5030680599157
relu,auto,17,mse,1,1,1,1,1,1,28,constant,98,auto,13,21,nnRegressor,10,6,adam,distance,-4.976894800837111,372.5031071389094
relu,auto,8,mse,1,1,1,1,1,1,15,constant,44,auto,12,3,nnRegressor,6,4,adam,distance,0.5888937485621011,372.50314484885894
relu,auto,8,mse,1,1,1,1,1,1,26,constant,31,auto,4,10,nnRegressor,10,4,adam,distance,0.5363175986775619,372.50318038789555
relu,auto,17,mse,1,1,1,1,1,1,16,constant,73,auto,8,15,nnRegressor,10,3,adam,distance,-4.976894800837111,372.5032158480026
relu,auto,17,mse,1,1,1,1,1,1,23,constant,52,auto,7,11,nnRegressor,10,3,adam,distance,-16.948891089771557,372.5032508568838
relu,auto,14,mse,1,1,1,1,1,1,23,constant,54,auto,5,10,nnRegressor,8,5,adam,distance,-4.27622054072088,372.5032858469058
relu,auto,8,mse,1,1,1,1,1,1,23,constant,34,auto,5,25,nnRegressor,10,2,adam,distance,0.5888937485621011,372.5033205358777
relu,auto,9,mse,1,1,1,1,1,1,14,constant,38,auto,8,2,nnRegressor,10,4,adam,distance,0.3794816021160258,372.503355036024
relu,auto,16,mse,1,1,1,1,1,1,24,constant,72,auto,7,3,nnRegressor,8,6,adam,distance,-5.144501182816316,372.5033896348905
relu,auto,12,mse,1,1,1,1,1,1,24,constant,38,auto,5,18,nnRegressor,8,6,adam,distance,-1.1135201146246527,372.503424604889
relu,auto,16,mse,1,1,1,1,1,1,25,constant,38,auto,8,15,nnRegressor,10,4,adam,distance,-5.144501182816316,372.50345921400003
relu,auto,8,mse,1,1,1,1,1,1,26,constant,100,auto,6,3,nnRegressor,10,3,adam,distance,0.3794816021160258,372.5034938938916
relu,auto,14,mse,1,1,1,1,1,1,16,constant,29,auto,7,2,nnRegressor,6,5,adam,distance,-2.828845474208887,372.5035286829807
relu,auto,10,mse,1,1,1,1,1,1,28,constant,85,auto,8,16,nnRegressor,10,2,adam,distance,0.3794816021160258,372.50356319290586
relu,auto,8,mse,1,1,1,1,1,1,27,constant,36,auto,8,2,nnRegressor,10,5,adam,distance,0.3794816021160258,372.50359792192467
relu,auto,18,mse,1,1,1,1,1,1,25,constant,90,auto,7,4,nnRegressor,5,3,adam,distance,-3.5972363681229265,372.50363249192014
relu,auto,10,mse,1,1,1,1,1,1,22,constant,40,auto,5,4,nnRegressor,5,6,adam,distance,0.5363175986775619,372.5036671210546
relu,auto,8,mse,1,1,1,1,1,1,25,constant,100,auto,7,2,nnRegressor,10,4,adam,distance,0.3794816021160258,505.1035658940673
